Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1996,Cycling Women's Points Race,AUS,Cycling,0,0,1,0,1
1996,Cycling Women's Points Race,AUT,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,BLR,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,CHN,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,CUB,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,ESA,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,ESP,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,FIN,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,FRA,Cycling,1,0,0,0,1
1996,Cycling Women's Points Race,GBR,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,GER,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,ITA,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,JPN,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,KAZ,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,KOR,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,LTU,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,MEX,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,NED,Cycling,0,1,0,0,1
1996,Cycling Women's Points Race,NOR,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,NZL,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,RUS,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,USA,Cycling,0,0,0,1,1
1996,Cycling Women's Points Race,VEN,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,AUS,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,AUT,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,COL,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,ESA,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,ESP,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,FRA,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,GBR,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,GER,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,ITA,Cycling,1,0,0,0,1
2000,Cycling Women's Points Race,JPN,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,LTU,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,MEX,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,NED,Cycling,0,1,0,0,1
2000,Cycling Women's Points Race,NZL,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,RUS,Cycling,0,0,1,0,1
2000,Cycling Women's Points Race,TPE,Cycling,0,0,0,1,1
2000,Cycling Women's Points Race,USA,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,AUS,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,CHN,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,COL,Cycling,0,0,1,0,1
2004,Cycling Women's Points Race,CUB,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,CZE,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,ESP,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,FRA,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,GBR,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,GER,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,GRE,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,INA,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,ITA,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,KOR,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,MEX,Cycling,0,1,0,0,1
2004,Cycling Women's Points Race,NED,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,NZL,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,RUS,Cycling,1,0,0,0,1
2004,Cycling Women's Points Race,UKR,Cycling,0,0,0,1,1
2004,Cycling Women's Points Race,USA,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,AUS,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,CAN,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,CHN,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,COL,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,CUB,Cycling,0,1,0,0,1
2008,Cycling Women's Points Race,CZE,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,DEN,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,ESA,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,ESP,Cycling,0,0,1,0,1
2008,Cycling Women's Points Race,FRA,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,GBR,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,GER,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,HKG,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,ITA,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,JPN,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,KOR,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,LTU,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,NED,Cycling,1,0,0,0,1
2008,Cycling Women's Points Race,NZL,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,RUS,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,UKR,Cycling,0,0,0,1,1
2008,Cycling Women's Points Race,USA,Cycling,0,0,0,1,1
