Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1984,"Cycling Women's Road Race, Individual",AUT,Cycling,0,0,0,2,2
1984,"Cycling Women's Road Race, Individual",CAN,Cycling,0,0,0,3,3
1984,"Cycling Women's Road Race, Individual",CAY,Cycling,0,0,0,1,1
1984,"Cycling Women's Road Race, Individual",CHN,Cycling,0,0,0,3,3
1984,"Cycling Women's Road Race, Individual",DEN,Cycling,0,0,0,1,1
1984,"Cycling Women's Road Race, Individual",FIJ,Cycling,0,0,0,1,1
1984,"Cycling Women's Road Race, Individual",FRA,Cycling,0,0,0,4,4
1984,"Cycling Women's Road Race, Individual",FRG,Cycling,0,0,1,3,4
1984,"Cycling Women's Road Race, Individual",GBR,Cycling,0,0,0,4,4
1984,"Cycling Women's Road Race, Individual",ITA,Cycling,0,0,0,4,4
1984,"Cycling Women's Road Race, Individual",JPN,Cycling,0,0,0,1,1
1984,"Cycling Women's Road Race, Individual",KOR,Cycling,0,0,0,3,3
1984,"Cycling Women's Road Race, Individual",NED,Cycling,0,0,0,3,3
1984,"Cycling Women's Road Race, Individual",NOR,Cycling,0,0,0,3,3
1984,"Cycling Women's Road Race, Individual",SWE,Cycling,0,0,0,4,4
1984,"Cycling Women's Road Race, Individual",USA,Cycling,1,1,0,2,4
1988,"Cycling Women's Road Race, Individual",AUS,Cycling,0,0,0,3,3
1988,"Cycling Women's Road Race, Individual",BEL,Cycling,0,0,0,2,2
1988,"Cycling Women's Road Race, Individual",CAN,Cycling,0,0,0,3,3
1988,"Cycling Women's Road Race, Individual",CHN,Cycling,0,0,0,3,3
1988,"Cycling Women's Road Race, Individual",DEN,Cycling,0,0,0,1,1
1988,"Cycling Women's Road Race, Individual",FIN,Cycling,0,0,0,1,1
1988,"Cycling Women's Road Race, Individual",FRA,Cycling,0,0,0,3,3
1988,"Cycling Women's Road Race, Individual",FRG,Cycling,0,1,0,2,3
1988,"Cycling Women's Road Race, Individual",GBR,Cycling,0,0,0,3,3
1988,"Cycling Women's Road Race, Individual",GDR,Cycling,0,0,0,2,2
1988,"Cycling Women's Road Race, Individual",ISV,Cycling,0,0,0,1,1
1988,"Cycling Women's Road Race, Individual",ITA,Cycling,0,0,0,3,3
1988,"Cycling Women's Road Race, Individual",JPN,Cycling,0,0,0,2,2
1988,"Cycling Women's Road Race, Individual",KOR,Cycling,0,0,0,3,3
1988,"Cycling Women's Road Race, Individual",LIE,Cycling,0,0,0,1,1
1988,"Cycling Women's Road Race, Individual",NED,Cycling,1,0,0,2,3
1988,"Cycling Women's Road Race, Individual",NOR,Cycling,0,0,0,2,2
1988,"Cycling Women's Road Race, Individual",NZL,Cycling,0,0,0,1,1
1988,"Cycling Women's Road Race, Individual",SUI,Cycling,0,0,0,3,3
1988,"Cycling Women's Road Race, Individual",SWE,Cycling,0,0,0,3,3
1988,"Cycling Women's Road Race, Individual",TPE,Cycling,0,0,0,1,1
1988,"Cycling Women's Road Race, Individual",URS,Cycling,0,0,1,2,3
1988,"Cycling Women's Road Race, Individual",USA,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",AUS,Cycling,1,0,0,2,3
1992,"Cycling Women's Road Race, Individual",BEL,Cycling,0,0,0,1,1
1992,"Cycling Women's Road Race, Individual",BIZ,Cycling,0,0,0,1,1
1992,"Cycling Women's Road Race, Individual",BRA,Cycling,0,0,0,1,1
1992,"Cycling Women's Road Race, Individual",CAN,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",DEN,Cycling,0,0,0,1,1
1992,"Cycling Women's Road Race, Individual",ESP,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",EUN,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",FIN,Cycling,0,0,0,1,1
1992,"Cycling Women's Road Race, Individual",FRA,Cycling,0,1,0,2,3
1992,"Cycling Women's Road Race, Individual",GBR,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",GER,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",GUM,Cycling,0,0,0,1,1
1992,"Cycling Women's Road Race, Individual",HUN,Cycling,0,0,0,1,1
1992,"Cycling Women's Road Race, Individual",ITA,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",JPN,Cycling,0,0,0,1,1
1992,"Cycling Women's Road Race, Individual",LIE,Cycling,0,0,0,1,1
1992,"Cycling Women's Road Race, Individual",LTU,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",NED,Cycling,0,0,1,2,3
1992,"Cycling Women's Road Race, Individual",NOR,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",NZL,Cycling,0,0,0,2,2
1992,"Cycling Women's Road Race, Individual",PRK,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",RSA,Cycling,0,0,0,1,1
1992,"Cycling Women's Road Race, Individual",SUI,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",SWE,Cycling,0,0,0,3,3
1992,"Cycling Women's Road Race, Individual",USA,Cycling,0,0,0,3,3
1996,"Cycling Women's Road Race, Individual",AUS,Cycling,0,0,0,3,3
1996,"Cycling Women's Road Race, Individual",AUT,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",BEL,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",BIZ,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",BLR,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",CAN,Cycling,0,0,1,2,3
1996,"Cycling Women's Road Race, Individual",CHN,Cycling,0,0,0,2,2
1996,"Cycling Women's Road Race, Individual",COL,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",CUB,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",ESA,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",ESP,Cycling,0,0,0,3,3
1996,"Cycling Women's Road Race, Individual",FIN,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",FRA,Cycling,1,0,0,2,3
1996,"Cycling Women's Road Race, Individual",GBR,Cycling,0,0,0,3,3
1996,"Cycling Women's Road Race, Individual",GER,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",ITA,Cycling,0,1,0,2,3
1996,"Cycling Women's Road Race, Individual",KAZ,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",KOR,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",LTU,Cycling,0,0,0,3,3
1996,"Cycling Women's Road Race, Individual",NED,Cycling,0,0,0,3,3
1996,"Cycling Women's Road Race, Individual",NOR,Cycling,0,0,0,2,2
1996,"Cycling Women's Road Race, Individual",NZL,Cycling,0,0,0,3,3
1996,"Cycling Women's Road Race, Individual",POR,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",RSA,Cycling,0,0,0,2,2
1996,"Cycling Women's Road Race, Individual",RUS,Cycling,0,0,0,3,3
1996,"Cycling Women's Road Race, Individual",SUI,Cycling,0,0,0,3,3
1996,"Cycling Women's Road Race, Individual",SVK,Cycling,0,0,0,2,2
1996,"Cycling Women's Road Race, Individual",SWE,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",UKR,Cycling,0,0,0,1,1
1996,"Cycling Women's Road Race, Individual",USA,Cycling,0,0,0,3,3
2000,"Cycling Women's Road Race, Individual",AUS,Cycling,0,0,0,3,3
2000,"Cycling Women's Road Race, Individual",BEL,Cycling,0,0,0,3,3
2000,"Cycling Women's Road Race, Individual",BRA,Cycling,0,0,0,2,2
2000,"Cycling Women's Road Race, Individual",CAN,Cycling,0,0,0,3,3
2000,"Cycling Women's Road Race, Individual",CUB,Cycling,0,0,0,2,2
2000,"Cycling Women's Road Race, Individual",ESP,Cycling,0,0,0,3,3
2000,"Cycling Women's Road Race, Individual",FIN,Cycling,0,0,0,1,1
2000,"Cycling Women's Road Race, Individual",FRA,Cycling,0,0,0,3,3
2000,"Cycling Women's Road Race, Individual",GBR,Cycling,0,0,0,3,3
2000,"Cycling Women's Road Race, Individual",GER,Cycling,0,1,0,2,3
2000,"Cycling Women's Road Race, Individual",IRL,Cycling,0,0,0,1,1
2000,"Cycling Women's Road Race, Individual",ITA,Cycling,0,0,0,3,3
2000,"Cycling Women's Road Race, Individual",JPN,Cycling,0,0,0,1,1
2000,"Cycling Women's Road Race, Individual",LTU,Cycling,0,0,1,2,3
2000,"Cycling Women's Road Race, Individual",NED,Cycling,1,0,0,2,3
2000,"Cycling Women's Road Race, Individual",NOR,Cycling,0,0,0,3,3
2000,"Cycling Women's Road Race, Individual",NZL,Cycling,0,0,0,3,3
2000,"Cycling Women's Road Race, Individual",RUS,Cycling,0,0,0,3,3
