Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1988,Cycling Women's Sprint,AUS,Cycling,0,0,0,1,1
1988,Cycling Women's Sprint,CAN,Cycling,0,0,0,1,1
1988,Cycling Women's Sprint,CHN,Cycling,0,0,0,1,1
1988,Cycling Women's Sprint,FRA,Cycling,0,0,0,1,1
1988,Cycling Women's Sprint,GBR,Cycling,0,0,0,1,1
1988,Cycling Women's Sprint,GDR,Cycling,0,1,0,0,1
1988,Cycling Women's Sprint,ITA,Cycling,0,0,0,1,1
1988,Cycling Women's Sprint,JPN,Cycling,0,0,0,1,1
1988,Cycling Women's Sprint,KOR,Cycling,0,0,0,1,1
1988,Cycling Women's Sprint,TPE,Cycling,0,0,0,1,1
1988,Cycling Women's Sprint,URS,Cycling,1,0,0,0,1
1988,Cycling Women's Sprint,USA,Cycling,0,0,1,0,1
1992,Cycling Women's Sprint,CAN,Cycling,0,0,0,1,1
1992,Cycling Women's Sprint,CHN,Cycling,0,0,0,1,1
1992,Cycling Women's Sprint,EST,Cycling,1,0,0,0,1
1992,Cycling Women's Sprint,EUN,Cycling,0,0,0,1,1
1992,Cycling Women's Sprint,FRA,Cycling,0,0,0,1,1
1992,Cycling Women's Sprint,GER,Cycling,0,1,0,0,1
1992,Cycling Women's Sprint,JPN,Cycling,0,0,0,1,1
1992,Cycling Women's Sprint,LTU,Cycling,0,0,0,1,1
1992,Cycling Women's Sprint,NCA,Cycling,0,0,0,1,1
1992,Cycling Women's Sprint,NED,Cycling,0,0,1,0,1
1992,Cycling Women's Sprint,USA,Cycling,0,0,0,1,1
1992,Cycling Women's Sprint,VEN,Cycling,0,0,0,1,1
1996,Cycling Women's Sprint,AUS,Cycling,0,1,0,0,1
1996,Cycling Women's Sprint,CAN,Cycling,0,0,0,1,1
1996,Cycling Women's Sprint,CHN,Cycling,0,0,0,1,1
1996,Cycling Women's Sprint,EST,Cycling,0,0,0,1,1
1996,Cycling Women's Sprint,FIN,Cycling,0,0,0,1,1
1996,Cycling Women's Sprint,FRA,Cycling,1,0,0,0,1
1996,Cycling Women's Sprint,GER,Cycling,0,0,0,1,1
1996,Cycling Women's Sprint,LTU,Cycling,0,0,0,1,1
1996,Cycling Women's Sprint,MEX,Cycling,0,0,0,1,1
1996,Cycling Women's Sprint,NED,Cycling,0,0,1,0,1
1996,Cycling Women's Sprint,NZL,Cycling,0,0,0,1,1
1996,Cycling Women's Sprint,RUS,Cycling,0,0,0,1,1
1996,Cycling Women's Sprint,USA,Cycling,0,0,0,1,1
1996,Cycling Women's Sprint,VEN,Cycling,0,0,0,1,1
2000,Cycling Women's Sprint,AUS,Cycling,0,0,0,1,1
2000,Cycling Women's Sprint,CAN,Cycling,0,0,0,1,1
2000,Cycling Women's Sprint,CHN,Cycling,0,0,0,1,1
2000,Cycling Women's Sprint,FIN,Cycling,0,0,0,1,1
2000,Cycling Women's Sprint,FRA,Cycling,1,0,0,0,1
2000,Cycling Women's Sprint,GER,Cycling,0,0,0,1,1
