Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,Diving Men's Plain High,CAN,Diving,0,0,0,1,1
1912,Diving Men's Plain High,FIN,Diving,0,0,0,6,6
1912,Diving Men's Plain High,GBR,Diving,0,0,0,1,1
1912,Diving Men's Plain High,GER,Diving,0,0,0,4,4
1912,Diving Men's Plain High,ITA,Diving,0,0,0,1,1
1912,Diving Men's Plain High,NOR,Diving,0,0,0,3,3
1912,Diving Men's Plain High,RUS,Diving,0,0,0,1,1
1912,Diving Men's Plain High,SWE,Diving,1,1,1,9,12
1912,Diving Men's Plain High,USA,Diving,0,0,0,2,2
1920,Diving Men's Plain High,BEL,Diving,0,0,0,2,2
1920,Diving Men's Plain High,BRA,Diving,0,0,0,1,1
1920,Diving Men's Plain High,CAN,Diving,0,0,0,1,1
1920,Diving Men's Plain High,DEN,Diving,0,0,0,2,2
1920,Diving Men's Plain High,FIN,Diving,0,0,0,2,2
1920,Diving Men's Plain High,GBR,Diving,0,0,0,2,2
1920,Diving Men's Plain High,ITA,Diving,0,0,0,1,1
1920,Diving Men's Plain High,JPN,Diving,0,0,0,1,1
1920,Diving Men's Plain High,NOR,Diving,0,0,0,2,2
1920,Diving Men's Plain High,SWE,Diving,1,1,1,1,4
1920,Diving Men's Plain High,USA,Diving,0,0,0,4,4
1924,Diving Men's Plain High,AUS,Diving,1,0,0,0,1
1924,Diving Men's Plain High,BEL,Diving,0,0,0,1,1
1924,Diving Men's Plain High,DEN,Diving,0,0,0,3,3
1924,Diving Men's Plain High,ESP,Diving,0,0,0,3,3
1924,Diving Men's Plain High,FIN,Diving,0,0,0,3,3
1924,Diving Men's Plain High,FRA,Diving,0,0,0,3,3
1924,Diving Men's Plain High,GBR,Diving,0,0,1,2,3
1924,Diving Men's Plain High,NED,Diving,0,0,0,2,2
1924,Diving Men's Plain High,SWE,Diving,0,1,0,2,3
1924,Diving Men's Plain High,USA,Diving,0,0,0,3,3
