Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1920,Diving Women's Springboard,USA,Diving,1,1,1,1,4
1924,Diving Women's Springboard,AUT,Diving,0,0,0,2,2
1924,Diving Women's Springboard,FRA,Diving,0,0,0,3,3
1924,Diving Women's Springboard,GBR,Diving,0,0,0,3,3
1924,Diving Women's Springboard,NED,Diving,0,0,0,2,2
1924,Diving Women's Springboard,SWE,Diving,0,0,0,3,3
1924,Diving Women's Springboard,TCH,Diving,0,0,0,1,1
1924,Diving Women's Springboard,USA,Diving,1,1,1,0,3
1928,Diving Women's Springboard,AUT,Diving,0,0,0,1,1
1928,Diving Women's Springboard,GER,Diving,0,0,0,3,3
1928,Diving Women's Springboard,NED,Diving,0,0,0,3,3
1928,Diving Women's Springboard,USA,Diving,1,1,1,0,3
1932,Diving Women's Springboard,AUT,Diving,0,0,0,1,1
1932,Diving Women's Springboard,CAN,Diving,0,0,0,1,1
1932,Diving Women's Springboard,DEN,Diving,0,0,0,1,1
1932,Diving Women's Springboard,GER,Diving,0,0,0,1,1
1932,Diving Women's Springboard,JPN,Diving,0,0,0,1,1
1932,Diving Women's Springboard,USA,Diving,1,1,1,0,3
1936,Diving Women's Springboard,AUT,Diving,0,0,0,1,1
1936,Diving Women's Springboard,CAN,Diving,0,0,0,2,2
1936,Diving Women's Springboard,FRA,Diving,0,0,0,1,1
1936,Diving Women's Springboard,GBR,Diving,0,0,0,2,2
1936,Diving Women's Springboard,GER,Diving,0,0,0,3,3
1936,Diving Women's Springboard,JPN,Diving,0,0,0,2,2
1936,Diving Women's Springboard,NOR,Diving,0,0,0,1,1
1936,Diving Women's Springboard,SUI,Diving,0,0,0,1,1
1936,Diving Women's Springboard,USA,Diving,1,1,1,0,3
1948,Diving Women's Springboard,AUT,Diving,0,0,0,2,2
1948,Diving Women's Springboard,DEN,Diving,0,0,0,1,1
1948,Diving Women's Springboard,FRA,Diving,0,0,0,3,3
1948,Diving Women's Springboard,GBR,Diving,0,0,0,3,3
1948,Diving Women's Springboard,HUN,Diving,0,0,0,1,1
1948,Diving Women's Springboard,MEX,Diving,0,0,0,1,1
1948,Diving Women's Springboard,NED,Diving,0,0,0,2,2
1948,Diving Women's Springboard,NOR,Diving,0,0,0,1,1
1948,Diving Women's Springboard,USA,Diving,1,1,1,0,3
1952,Diving Women's Springboard,FRA,Diving,0,1,0,1,2
1952,Diving Women's Springboard,GBR,Diving,0,0,0,3,3
1952,Diving Women's Springboard,JPN,Diving,0,0,0,1,1
1952,Diving Women's Springboard,NED,Diving,0,0,0,2,2
1952,Diving Women's Springboard,SWE,Diving,0,0,0,1,1
1952,Diving Women's Springboard,URS,Diving,0,0,0,3,3
1952,Diving Women's Springboard,USA,Diving,1,0,1,1,3
1956,Diving Women's Springboard,AUS,Diving,0,0,0,3,3
1956,Diving Women's Springboard,CAN,Diving,0,0,1,0,1
1956,Diving Women's Springboard,CHI,Diving,0,0,0,1,1
1956,Diving Women's Springboard,FRA,Diving,0,0,0,1,1
1956,Diving Women's Springboard,GBR,Diving,0,0,0,2,2
1956,Diving Women's Springboard,JPN,Diving,0,0,0,2,2
1956,Diving Women's Springboard,SWE,Diving,0,0,0,2,2
1956,Diving Women's Springboard,URS,Diving,0,0,0,3,3
1956,Diving Women's Springboard,USA,Diving,1,1,0,1,3
1960,Diving Women's Springboard,ARG,Diving,0,0,0,1,1
1960,Diving Women's Springboard,AUS,Diving,0,0,0,1,1
1960,Diving Women's Springboard,CAN,Diving,0,0,0,1,1
1960,Diving Women's Springboard,FRA,Diving,0,0,0,1,1
1960,Diving Women's Springboard,GBR,Diving,0,0,1,1,2
1960,Diving Women's Springboard,GER,Diving,1,0,0,1,2
1960,Diving Women's Springboard,JPN,Diving,0,0,0,2,2
1960,Diving Women's Springboard,MEX,Diving,0,0,0,1,1
1960,Diving Women's Springboard,NED,Diving,0,0,0,2,2
1960,Diving Women's Springboard,RHO,Diving,0,0,0,1,1
1960,Diving Women's Springboard,URS,Diving,0,0,0,2,2
1960,Diving Women's Springboard,USA,Diving,0,1,0,1,2
1964,Diving Women's Springboard,AUS,Diving,0,0,0,2,2
1964,Diving Women's Springboard,AUT,Diving,0,0,0,3,3
1964,Diving Women's Springboard,CAN,Diving,0,0,0,2,2
1964,Diving Women's Springboard,GER,Diving,1,0,0,2,3
1964,Diving Women's Springboard,JPN,Diving,0,0,0,2,2
1964,Diving Women's Springboard,SWE,Diving,0,0,0,1,1
1964,Diving Women's Springboard,URS,Diving,0,0,0,3,3
1964,Diving Women's Springboard,USA,Diving,0,1,1,1,3
1964,Diving Women's Springboard,ZIM,Diving,0,0,0,2,2
1968,Diving Women's Springboard,AUS,Diving,0,0,0,1,1
1968,Diving Women's Springboard,AUT,Diving,0,0,0,1,1
1968,Diving Women's Springboard,CAN,Diving,0,0,0,2,2
1968,Diving Women's Springboard,COL,Diving,0,0,0,1,1
1968,Diving Women's Springboard,FIN,Diving,0,0,0,1,1
1968,Diving Women's Springboard,FRG,Diving,0,0,0,1,1
1968,Diving Women's Springboard,GBR,Diving,0,0,0,1,1
1968,Diving Women's Springboard,GDR,Diving,0,0,0,1,1
1968,Diving Women's Springboard,KOR,Diving,0,0,0,1,1
1968,Diving Women's Springboard,MEX,Diving,0,0,0,1,1
1968,Diving Women's Springboard,NED,Diving,0,0,0,2,2
1968,Diving Women's Springboard,POL,Diving,0,0,0,2,2
1968,Diving Women's Springboard,TCH,Diving,0,0,0,1,1
1968,Diving Women's Springboard,URS,Diving,0,1,0,2,3
1968,Diving Women's Springboard,USA,Diving,1,0,1,1,3
1972,Diving Women's Springboard,AUS,Diving,0,0,0,1,1
1972,Diving Women's Springboard,CAN,Diving,0,0,0,3,3
1972,Diving Women's Springboard,FIN,Diving,0,0,0,1,1
1972,Diving Women's Springboard,FRA,Diving,0,0,0,1,1
1972,Diving Women's Springboard,FRG,Diving,0,0,0,1,1
1972,Diving Women's Springboard,GBR,Diving,0,0,0,2,2
