Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2000,Diving Women's Synchronized Springboard,AUS,Diving,0,0,0,2,2
2000,Diving Women's Synchronized Springboard,CAN,Diving,0,0,0,2,2
2000,Diving Women's Synchronized Springboard,CHN,Diving,0,2,0,0,2
2000,Diving Women's Synchronized Springboard,GER,Diving,0,0,0,2,2
2000,Diving Women's Synchronized Springboard,MEX,Diving,0,0,0,2,2
2000,Diving Women's Synchronized Springboard,RUS,Diving,2,0,0,0,2
2000,Diving Women's Synchronized Springboard,SUI,Diving,0,0,0,2,2
2000,Diving Women's Synchronized Springboard,UKR,Diving,0,0,2,0,2
2004,Diving Women's Synchronized Springboard,AUS,Diving,0,0,2,0,2
2004,Diving Women's Synchronized Springboard,CAN,Diving,0,0,0,2,2
2004,Diving Women's Synchronized Springboard,CHN,Diving,2,0,0,0,2
2004,Diving Women's Synchronized Springboard,GBR,Diving,0,0,0,2,2
2004,Diving Women's Synchronized Springboard,GER,Diving,0,0,0,2,2
2004,Diving Women's Synchronized Springboard,GRE,Diving,0,0,0,2,2
2004,Diving Women's Synchronized Springboard,MEX,Diving,0,0,0,2,2
2004,Diving Women's Synchronized Springboard,RUS,Diving,0,2,0,0,2
2008,Diving Women's Synchronized Springboard,AUS,Diving,0,0,0,2,2
2008,Diving Women's Synchronized Springboard,CHN,Diving,2,0,0,0,2
2008,Diving Women's Synchronized Springboard,GBR,Diving,0,0,0,2,2
2008,Diving Women's Synchronized Springboard,GER,Diving,0,0,2,0,2
2008,Diving Women's Synchronized Springboard,ITA,Diving,0,0,0,2,2
2008,Diving Women's Synchronized Springboard,RUS,Diving,0,2,0,0,2
2008,Diving Women's Synchronized Springboard,UKR,Diving,0,0,0,2,2
2008,Diving Women's Synchronized Springboard,USA,Diving,0,0,0,2,2
2012,Diving Women's Synchronized Springboard,AUS,Diving,0,0,0,2,2
2012,Diving Women's Synchronized Springboard,CAN,Diving,0,0,2,0,2
2012,Diving Women's Synchronized Springboard,CHN,Diving,2,0,0,0,2
2012,Diving Women's Synchronized Springboard,GBR,Diving,0,0,0,2,2
2012,Diving Women's Synchronized Springboard,ITA,Diving,0,0,0,2,2
2012,Diving Women's Synchronized Springboard,MAS,Diving,0,0,0,2,2
2012,Diving Women's Synchronized Springboard,UKR,Diving,0,0,0,2,2
2012,Diving Women's Synchronized Springboard,USA,Diving,0,2,0,0,2
2016,Diving Women's Synchronized Springboard,AUS,Diving,0,0,2,0,2
2016,Diving Women's Synchronized Springboard,BRA,Diving,0,0,0,2,2
2016,Diving Women's Synchronized Springboard,CAN,Diving,0,0,0,2,2
2016,Diving Women's Synchronized Springboard,CHN,Diving,2,0,0,0,2
2016,Diving Women's Synchronized Springboard,GBR,Diving,0,0,0,2,2
2016,Diving Women's Synchronized Springboard,GER,Diving,0,0,0,2,2
2016,Diving Women's Synchronized Springboard,ITA,Diving,0,2,0,0,2
2016,Diving Women's Synchronized Springboard,MAS,Diving,0,0,0,2,2
