Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Eventing Individual,AUS,Equestrian,0,0,1,3,4
2020,Eventing Individual,AUT,Equestrian,0,0,0,2,2
2020,Eventing Individual,BEL,Equestrian,0,0,0,1,1
2020,Eventing Individual,BLR,Equestrian,0,0,0,1,1
2020,Eventing Individual,BRA,Equestrian,0,0,0,4,4
2020,Eventing Individual,CAN,Equestrian,0,0,0,2,2
2020,Eventing Individual,CHN,Equestrian,0,0,0,3,3
2020,Eventing Individual,CZE,Equestrian,0,0,0,2,2
2020,Eventing Individual,DEN,Equestrian,0,0,0,1,1
2020,Eventing Individual,ECU,Equestrian,0,0,0,1,1
2020,Eventing Individual,ESP,Equestrian,0,0,0,1,1
2020,Eventing Individual,FRA,Equestrian,0,0,0,4,4
2020,Eventing Individual,GBR,Equestrian,0,1,0,2,3
2020,Eventing Individual,GER,Equestrian,1,0,0,2,3
2020,Eventing Individual,HKG,Equestrian,0,0,0,1,1
2020,Eventing Individual,IND,Equestrian,0,0,0,1,1
2020,Eventing Individual,IRL,Equestrian,0,0,0,4,4
2020,Eventing Individual,ITA,Equestrian,0,0,0,3,3
2020,Eventing Individual,JPN,Equestrian,0,0,0,4,4
2020,Eventing Individual,NED,Equestrian,0,0,0,2,2
2020,Eventing Individual,NZL,Equestrian,0,0,0,3,3
2020,Eventing Individual,POL,Equestrian,0,0,0,2,2
2020,Eventing Individual,PUR,Equestrian,0,0,0,1,1
2020,Eventing Individual,ROC,Equestrian,0,0,0,2,2
2020,Eventing Individual,RSA,Equestrian,0,0,0,1,1
2020,Eventing Individual,SUI,Equestrian,0,0,0,4,4
2020,Eventing Individual,SWE,Equestrian,0,0,0,4,4
2020,Eventing Individual,THA,Equestrian,0,0,0,3,3
2020,Eventing Individual,USA,Equestrian,0,0,0,3,3
2024,Eventing Individual,AUS,Equestrian,0,1,0,3,4
2024,Eventing Individual,AUT,Equestrian,0,0,0,2,2
2024,Eventing Individual,BEL,Equestrian,0,0,0,4,4
2024,Eventing Individual,BRA,Equestrian,0,0,0,4,4
2024,Eventing Individual,CAN,Equestrian,0,0,0,4,4
2024,Eventing Individual,CHN,Equestrian,0,0,0,2,2
2024,Eventing Individual,CZE,Equestrian,0,0,0,2,2
2024,Eventing Individual,DEN,Equestrian,0,0,0,1,1
2024,Eventing Individual,ECU,Equestrian,0,0,0,2,2
2024,Eventing Individual,ESP,Equestrian,0,0,0,2,2
2024,Eventing Individual,FIN,Equestrian,0,0,0,2,2
2024,Eventing Individual,FRA,Equestrian,0,0,0,4,4
2024,Eventing Individual,GBR,Equestrian,0,0,1,3,4
2024,Eventing Individual,GER,Equestrian,1,0,0,3,4
2024,Eventing Individual,HUN,Equestrian,0,0,0,1,1
2024,Eventing Individual,IRL,Equestrian,0,0,0,4,4
2024,Eventing Individual,ITA,Equestrian,0,0,0,4,4
2024,Eventing Individual,JPN,Equestrian,0,0,0,4,4
2024,Eventing Individual,MAR,Equestrian,0,0,0,1,1
2024,Eventing Individual,NED,Equestrian,0,0,0,4,4
2024,Eventing Individual,NZL,Equestrian,0,0,0,4,4
2024,Eventing Individual,POL,Equestrian,0,0,0,4,4
2024,Eventing Individual,POR,Equestrian,0,0,0,1,1
2024,Eventing Individual,RSA,Equestrian,0,0,0,1,1
2024,Eventing Individual,SUI,Equestrian,0,0,0,4,4
2024,Eventing Individual,SWE,Equestrian,0,0,0,4,4
2024,Eventing Individual,USA,Equestrian,0,0,0,4,4
