Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Jumping Team,ARG,Equestrian,0,0,0,4,4
2020,Jumping Team,AUS,Equestrian,0,0,0,2,2
2020,Jumping Team,BEL,Equestrian,0,0,4,1,5
2020,Jumping Team,BRA,Equestrian,0,0,0,4,4
2020,Jumping Team,CHN,Equestrian,0,0,0,4,4
2020,Jumping Team,CZE,Equestrian,0,0,0,4,4
2020,Jumping Team,EGY,Equestrian,0,0,0,4,4
2020,Jumping Team,FRA,Equestrian,0,0,0,4,4
2020,Jumping Team,GBR,Equestrian,0,0,0,4,4
2020,Jumping Team,GER,Equestrian,0,0,0,4,4
2020,Jumping Team,IRL,Equestrian,0,0,0,3,3
2020,Jumping Team,ISR,Equestrian,0,0,0,4,4
2020,Jumping Team,JPN,Equestrian,0,0,0,4,4
2020,Jumping Team,MAR,Equestrian,0,0,0,4,4
2020,Jumping Team,MEX,Equestrian,0,0,0,4,4
2020,Jumping Team,NED,Equestrian,0,0,0,4,4
2020,Jumping Team,NZL,Equestrian,0,0,0,4,4
2020,Jumping Team,SUI,Equestrian,0,0,0,4,4
2020,Jumping Team,SWE,Equestrian,4,0,0,0,4
2020,Jumping Team,USA,Equestrian,0,4,0,0,4
2024,Jumping Team,AUS,Equestrian,0,0,0,4,4
2024,Jumping Team,AUT,Equestrian,0,0,0,4,4
2024,Jumping Team,BEL,Equestrian,0,0,0,4,4
2024,Jumping Team,BRA,Equestrian,0,0,0,4,4
2024,Jumping Team,CAN,Equestrian,0,0,0,4,4
2024,Jumping Team,ESP,Equestrian,0,0,0,3,3
2024,Jumping Team,FRA,Equestrian,0,0,4,0,4
2024,Jumping Team,GBR,Equestrian,4,0,0,0,4
2024,Jumping Team,GER,Equestrian,0,0,0,4,4
2024,Jumping Team,IRL,Equestrian,0,0,0,3,3
2024,Jumping Team,ISR,Equestrian,0,0,0,3,3
2024,Jumping Team,JPN,Equestrian,0,0,0,4,4
2024,Jumping Team,KSA,Equestrian,0,0,0,3,3
2024,Jumping Team,MEX,Equestrian,0,0,0,2,2
2024,Jumping Team,NED,Equestrian,0,0,0,4,4
2024,Jumping Team,POL,Equestrian,0,0,0,4,4
2024,Jumping Team,SUI,Equestrian,0,0,0,4,4
2024,Jumping Team,SWE,Equestrian,0,0,0,4,4
2024,Jumping Team,UAE,Equestrian,0,0,0,3,3
2024,Jumping Team,USA,Equestrian,0,4,0,0,4
