Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,"Equestrianism Men's Jumping, Team",BEL,Equestrianism,0,0,0,3,3
1912,"Equestrianism Men's Jumping, Team",FRA,Equestrianism,0,4,0,0,4
1912,"Equestrianism Men's Jumping, Team",GER,Equestrianism,0,0,4,0,4
1912,"Equestrianism Men's Jumping, Team",RUS,Equestrianism,0,0,0,4,4
1912,"Equestrianism Men's Jumping, Team",SWE,Equestrianism,4,0,0,0,4
1912,"Equestrianism Men's Jumping, Team",USA,Equestrianism,0,0,0,3,3
1920,"Equestrianism Men's Jumping, Team",BEL,Equestrianism,0,4,0,0,4
1920,"Equestrianism Men's Jumping, Team",FRA,Equestrianism,0,0,0,4,4
1920,"Equestrianism Men's Jumping, Team",ITA,Equestrianism,0,0,4,0,4
1920,"Equestrianism Men's Jumping, Team",SWE,Equestrianism,4,0,0,0,4
1920,"Equestrianism Men's Jumping, Team",USA,Equestrianism,0,0,0,4,4
1924,"Equestrianism Men's Jumping, Team",BEL,Equestrianism,0,0,0,4,4
1924,"Equestrianism Men's Jumping, Team",ESP,Equestrianism,0,0,0,4,4
1924,"Equestrianism Men's Jumping, Team",FRA,Equestrianism,0,0,0,4,4
1924,"Equestrianism Men's Jumping, Team",GBR,Equestrianism,0,0,0,4,4
1924,"Equestrianism Men's Jumping, Team",ITA,Equestrianism,0,0,0,4,4
1924,"Equestrianism Men's Jumping, Team",POL,Equestrianism,0,0,0,4,4
1924,"Equestrianism Men's Jumping, Team",POR,Equestrianism,0,0,4,0,4
1924,"Equestrianism Men's Jumping, Team",SUI,Equestrianism,0,4,0,0,4
1924,"Equestrianism Men's Jumping, Team",SWE,Equestrianism,4,0,0,0,4
1924,"Equestrianism Men's Jumping, Team",TCH,Equestrianism,0,0,0,3,3
1924,"Equestrianism Men's Jumping, Team",USA,Equestrianism,0,0,0,4,4
1928,"Equestrianism Men's Jumping, Team",ARG,Equestrianism,0,0,0,3,3
1928,"Equestrianism Men's Jumping, Team",BEL,Equestrianism,0,0,0,3,3
1928,"Equestrianism Men's Jumping, Team",ESP,Equestrianism,3,0,0,0,3
1928,"Equestrianism Men's Jumping, Team",FRA,Equestrianism,0,0,0,3,3
1928,"Equestrianism Men's Jumping, Team",GER,Equestrianism,0,0,0,3,3
1928,"Equestrianism Men's Jumping, Team",HUN,Equestrianism,0,0,0,3,3
1928,"Equestrianism Men's Jumping, Team",ITA,Equestrianism,0,0,0,3,3
1928,"Equestrianism Men's Jumping, Team",NED,Equestrianism,0,0,0,3,3
1928,"Equestrianism Men's Jumping, Team",NOR,Equestrianism,0,0,0,3,3
1928,"Equestrianism Men's Jumping, Team",POL,Equestrianism,0,3,0,0,3
1928,"Equestrianism Men's Jumping, Team",POR,Equestrianism,0,0,0,3,3
1928,"Equestrianism Men's Jumping, Team",SUI,Equestrianism,0,0,0,3,3
1928,"Equestrianism Men's Jumping, Team",SWE,Equestrianism,0,0,3,0,3
1928,"Equestrianism Men's Jumping, Team",TCH,Equestrianism,0,0,0,3,3
1928,"Equestrianism Men's Jumping, Team",USA,Equestrianism,0,0,0,3,3
1932,"Equestrianism Men's Jumping, Team",MEX,Equestrianism,0,0,0,3,3
1932,"Equestrianism Men's Jumping, Team",SWE,Equestrianism,0,0,0,3,3
1932,"Equestrianism Men's Jumping, Team",USA,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",AUT,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",BEL,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",FRA,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",GBR,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",GER,Equestrianism,3,0,0,0,3
1936,"Equestrianism Men's Jumping, Team",HUN,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",ITA,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",JPN,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",NED,Equestrianism,0,3,0,0,3
1936,"Equestrianism Men's Jumping, Team",NOR,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",POL,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",POR,Equestrianism,0,0,3,0,3
1936,"Equestrianism Men's Jumping, Team",ROU,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",SUI,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",SWE,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",TCH,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",TUR,Equestrianism,0,0,0,3,3
1936,"Equestrianism Men's Jumping, Team",USA,Equestrianism,0,0,0,3,3
1948,"Equestrianism Men's Jumping, Team",ARG,Equestrianism,0,0,0,3,3
1948,"Equestrianism Men's Jumping, Team",BRA,Equestrianism,0,0,0,3,3
1948,"Equestrianism Men's Jumping, Team",DEN,Equestrianism,0,0,0,3,3
1948,"Equestrianism Men's Jumping, Team",ESP,Equestrianism,0,3,0,0,3
1948,"Equestrianism Men's Jumping, Team",FRA,Equestrianism,0,0,0,3,3
1948,"Equestrianism Men's Jumping, Team",GBR,Equestrianism,0,0,3,0,3
1948,"Equestrianism Men's Jumping, Team",IRL,Equestrianism,0,0,0,3,3
1948,"Equestrianism Men's Jumping, Team",ITA,Equestrianism,0,0,0,3,3
1948,"Equestrianism Men's Jumping, Team",MEX,Equestrianism,3,0,0,0,3
