Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1900,"Equestrianism Mixed Jumping, Individual",AUT,Equestrianism,0,0,0,1,1
1900,"Equestrianism Mixed Jumping, Individual",BEL,Equestrianism,1,1,0,0,2
1900,"Equestrianism Mixed Jumping, Individual",FRA,Equestrianism,0,0,1,11,12
1956,"Equestrianism Mixed Jumping, Individual",ARG,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",AUS,Equestrianism,0,0,0,1,1
1956,"Equestrianism Mixed Jumping, Individual",AUT,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",BEL,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",BRA,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",CAM,Equestrianism,0,0,0,2,2
1956,"Equestrianism Mixed Jumping, Individual",EGY,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",ESP,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",FIN,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",FRA,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",GBR,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",GER,Equestrianism,1,0,0,2,3
1956,"Equestrianism Mixed Jumping, Individual",HUN,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",IRL,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",ITA,Equestrianism,0,1,1,1,3
1956,"Equestrianism Mixed Jumping, Individual",JPN,Equestrianism,0,0,0,2,2
1956,"Equestrianism Mixed Jumping, Individual",NOR,Equestrianism,0,0,0,1,1
1956,"Equestrianism Mixed Jumping, Individual",POR,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",SUI,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",SWE,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",TUR,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",URS,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",USA,Equestrianism,0,0,0,3,3
1956,"Equestrianism Mixed Jumping, Individual",VEN,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",ARG,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",AUT,Equestrianism,0,0,0,1,1
1960,"Equestrianism Mixed Jumping, Individual",BEL,Equestrianism,0,0,0,2,2
1960,"Equestrianism Mixed Jumping, Individual",BRA,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",ESP,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",FRA,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",GBR,Equestrianism,0,0,1,2,3
1960,"Equestrianism Mixed Jumping, Individual",GER,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",HUN,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",IRL,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",ITA,Equestrianism,1,1,0,0,2
1960,"Equestrianism Mixed Jumping, Individual",JPN,Equestrianism,0,0,0,2,2
1960,"Equestrianism Mixed Jumping, Individual",KOR,Equestrianism,0,0,0,2,2
1960,"Equestrianism Mixed Jumping, Individual",NZL,Equestrianism,0,0,0,1,1
1960,"Equestrianism Mixed Jumping, Individual",POR,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",ROU,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",SUI,Equestrianism,0,0,0,2,2
1960,"Equestrianism Mixed Jumping, Individual",SWE,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",TUR,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",UAR,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",URS,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",URU,Equestrianism,0,0,0,3,3
1960,"Equestrianism Mixed Jumping, Individual",USA,Equestrianism,0,0,0,3,3
1964,"Equestrianism Mixed Jumping, Individual",ARG,Equestrianism,0,0,0,3,3
1964,"Equestrianism Mixed Jumping, Individual",AUS,Equestrianism,0,0,0,3,3
1964,"Equestrianism Mixed Jumping, Individual",BRA,Equestrianism,0,0,0,1,1
1964,"Equestrianism Mixed Jumping, Individual",CHI,Equestrianism,0,0,0,1,1
1964,"Equestrianism Mixed Jumping, Individual",ESP,Equestrianism,0,0,0,3,3
1964,"Equestrianism Mixed Jumping, Individual",FRA,Equestrianism,1,0,0,2,3
1964,"Equestrianism Mixed Jumping, Individual",GBR,Equestrianism,0,0,1,2,3
1964,"Equestrianism Mixed Jumping, Individual",GER,Equestrianism,0,1,0,2,3
1964,"Equestrianism Mixed Jumping, Individual",ITA,Equestrianism,0,0,0,3,3
1964,"Equestrianism Mixed Jumping, Individual",JPN,Equestrianism,0,0,0,3,3
1964,"Equestrianism Mixed Jumping, Individual",KOR,Equestrianism,0,0,0,3,3
1964,"Equestrianism Mixed Jumping, Individual",MEX,Equestrianism,0,0,0,3,3
1964,"Equestrianism Mixed Jumping, Individual",NZL,Equestrianism,0,0,0,3,3
1964,"Equestrianism Mixed Jumping, Individual",POR,Equestrianism,0,0,0,2,2
