Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1964,"Equestrianism Mixed Three-Day Event, Team",ARG,Equestrianism,0,0,0,4,4
1964,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,0,0,0,4,4
1964,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,0,0,0,4,4
1964,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,0,0,0,4,4
1964,"Equestrianism Mixed Three-Day Event, Team",GER,Equestrianism,0,0,4,0,4
1964,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,4,4
1964,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,4,0,0,0,4
1964,"Equestrianism Mixed Three-Day Event, Team",JPN,Equestrianism,0,0,0,4,4
1964,"Equestrianism Mixed Three-Day Event, Team",KOR,Equestrianism,0,0,0,4,4
1964,"Equestrianism Mixed Three-Day Event, Team",MEX,Equestrianism,0,0,0,4,4
1964,"Equestrianism Mixed Three-Day Event, Team",URS,Equestrianism,0,0,0,4,4
1964,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,0,4,0,0,4
1968,"Equestrianism Mixed Three-Day Event, Team",ARG,Equestrianism,0,0,0,4,4
1968,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,0,0,4,0,4
1968,"Equestrianism Mixed Three-Day Event, Team",CAN,Equestrianism,0,0,0,4,4
1968,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,0,0,0,4,4
1968,"Equestrianism Mixed Three-Day Event, Team",FRG,Equestrianism,0,0,0,4,4
1968,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,4,0,0,0,4
1968,"Equestrianism Mixed Three-Day Event, Team",GDR,Equestrianism,0,0,0,4,4
1968,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,4,4
1968,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,0,0,4,4
1968,"Equestrianism Mixed Three-Day Event, Team",MEX,Equestrianism,0,0,0,4,4
1968,"Equestrianism Mixed Three-Day Event, Team",URS,Equestrianism,0,0,0,4,4
1968,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,0,4,0,0,4
1972,"Equestrianism Mixed Three-Day Event, Team",ARG,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",AUT,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",BUL,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",CAN,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",FRG,Equestrianism,0,0,4,0,4
1972,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,4,0,0,0,4
1972,"Equestrianism Mixed Three-Day Event, Team",GDR,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",HUN,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",MEX,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",NED,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",POL,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",SUI,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",URS,Equestrianism,0,0,0,4,4
1972,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,0,4,0,0,4
1976,"Equestrianism Mixed Three-Day Event, Team",ARG,Equestrianism,0,0,0,4,4
1976,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,0,0,4,0,4
1976,"Equestrianism Mixed Three-Day Event, Team",CAN,Equestrianism,0,0,0,4,4
1976,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,0,0,0,4,4
1976,"Equestrianism Mixed Three-Day Event, Team",FRG,Equestrianism,0,4,0,0,4
1976,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,0,0,0,4,4
1976,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,4,4
1976,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,0,0,4,4
1976,"Equestrianism Mixed Three-Day Event, Team",JPN,Equestrianism,0,0,0,3,3
1976,"Equestrianism Mixed Three-Day Event, Team",MEX,Equestrianism,0,0,0,4,4
1976,"Equestrianism Mixed Three-Day Event, Team",URS,Equestrianism,0,0,0,4,4
1976,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,4,0,0,0,4
1980,"Equestrianism Mixed Three-Day Event, Team",BUL,Equestrianism,0,0,0,4,4
1980,"Equestrianism Mixed Three-Day Event, Team",HUN,Equestrianism,0,0,0,4,4
1980,"Equestrianism Mixed Three-Day Event, Team",IND,Equestrianism,0,0,0,4,4
1980,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,4,0,0,4
1980,"Equestrianism Mixed Three-Day Event, Team",MEX,Equestrianism,0,0,4,0,4
1980,"Equestrianism Mixed Three-Day Event, Team",POL,Equestrianism,0,0,0,4,4
1980,"Equestrianism Mixed Three-Day Event, Team",URS,Equestrianism,4,0,0,0,4
1984,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,0,0,0,4,4
1984,"Equestrianism Mixed Three-Day Event, Team",CAN,Equestrianism,0,0,0,4,4
1984,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,0,0,0,4,4
1984,"Equestrianism Mixed Three-Day Event, Team",FRG,Equestrianism,0,0,4,0,4
1984,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,0,4,0,0,4
1984,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,4,4
1984,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,0,0,4,4
1984,"Equestrianism Mixed Three-Day Event, Team",MEX,Equestrianism,0,0,0,4,4
1984,"Equestrianism Mixed Three-Day Event, Team",NZL,Equestrianism,0,0,0,4,4
1984,"Equestrianism Mixed Three-Day Event, Team",SWE,Equestrianism,0,0,0,4,4
1984,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,4,0,0,0,4
1988,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,0,0,0,4,4
1988,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,0,0,0,4,4
1988,"Equestrianism Mixed Three-Day Event, Team",FRG,Equestrianism,4,0,0,0,4
1988,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,0,4,0,0,4
1988,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,0,0,4,4
1988,"Equestrianism Mixed Three-Day Event, Team",JPN,Equestrianism,0,0,0,4,4
1988,"Equestrianism Mixed Three-Day Event, Team",KOR,Equestrianism,0,0,0,4,4
1988,"Equestrianism Mixed Three-Day Event, Team",NZL,Equestrianism,0,0,4,0,4
1988,"Equestrianism Mixed Three-Day Event, Team",POL,Equestrianism,0,0,0,4,4
1988,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,4,0,0,0,4
1992,"Equestrianism Mixed Three-Day Event, Team",BEL,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",CAN,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",ESP,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",EUN,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",GER,Equestrianism,0,0,4,0,4
1992,"Equestrianism Mixed Three-Day Event, Team",HUN,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",JPN,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",NED,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",NZL,Equestrianism,0,4,0,0,4
1992,"Equestrianism Mixed Three-Day Event, Team",POL,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",POR,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",SWE,Equestrianism,0,0,0,4,4
1992,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,4,0,0,0,4
1996,"Equestrianism Mixed Three-Day Event, Team",BRA,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",CAN,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",ESP,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",GER,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",HUN,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",JPN,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",NZL,Equestrianism,0,0,4,0,4
1996,"Equestrianism Mixed Three-Day Event, Team",POL,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",SUI,Equestrianism,0,0,0,3,3
1996,"Equestrianism Mixed Three-Day Event, Team",SWE,Equestrianism,0,0,0,4,4
1996,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,0,4,0,0,4
2000,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,4,0,0,0,4
2000,"Equestrianism Mixed Three-Day Event, Team",BEL,Equestrianism,0,0,0,4,4
2000,"Equestrianism Mixed Three-Day Event, Team",BRA,Equestrianism,0,0,0,4,4
2000,"Equestrianism Mixed Three-Day Event, Team",ESP,Equestrianism,0,0,0,3,3
2000,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,0,0,0,4,4
2000,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,0,4,0,0,4
2000,"Equestrianism Mixed Three-Day Event, Team",GER,Equestrianism,0,0,0,4,4
2000,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,4,4
2000,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,0,0,4,4
2000,"Equestrianism Mixed Three-Day Event, Team",JPN,Equestrianism,0,0,0,4,4
2000,"Equestrianism Mixed Three-Day Event, Team",NZL,Equestrianism,0,0,0,4,4
2000,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,0,0,4,0,4
2004,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,0,0,0,5,5
2004,"Equestrianism Mixed Three-Day Event, Team",AUT,Equestrianism,0,0,0,5,5
2004,"Equestrianism Mixed Three-Day Event, Team",BEL,Equestrianism,0,0,0,5,5
2004,"Equestrianism Mixed Three-Day Event, Team",BRA,Equestrianism,0,0,0,5,5
2004,"Equestrianism Mixed Three-Day Event, Team",CAN,Equestrianism,0,0,0,5,5
2004,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,5,0,0,0,5
2004,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,0,5,0,0,5
2004,"Equestrianism Mixed Three-Day Event, Team",GER,Equestrianism,0,0,0,5,5
2004,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,5,5
2004,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,0,0,4,4
2004,"Equestrianism Mixed Three-Day Event, Team",NZL,Equestrianism,0,0,0,5,5
2004,"Equestrianism Mixed Three-Day Event, Team",POL,Equestrianism,0,0,0,3,3
2004,"Equestrianism Mixed Three-Day Event, Team",SWE,Equestrianism,0,0,0,3,3
2004,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,0,0,5,0,5
2008,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,0,5,0,0,5
2008,"Equestrianism Mixed Three-Day Event, Team",BRA,Equestrianism,0,0,0,4,4
2008,"Equestrianism Mixed Three-Day Event, Team",CAN,Equestrianism,0,0,0,5,5
2008,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,0,0,0,3,3
2008,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,0,0,5,0,5
2008,"Equestrianism Mixed Three-Day Event, Team",GER,Equestrianism,5,0,0,0,5
2008,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,5,5
2008,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,0,0,5,5
2008,"Equestrianism Mixed Three-Day Event, Team",NZL,Equestrianism,0,0,0,5,5
2008,"Equestrianism Mixed Three-Day Event, Team",SWE,Equestrianism,0,0,0,5,5
2008,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,0,0,0,5,5
2012,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,0,0,0,5,5
2012,"Equestrianism Mixed Three-Day Event, Team",BEL,Equestrianism,0,0,0,5,5
2012,"Equestrianism Mixed Three-Day Event, Team",BRA,Equestrianism,0,0,0,4,4
2012,"Equestrianism Mixed Three-Day Event, Team",CAN,Equestrianism,0,0,0,5,5
2012,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,0,0,0,5,5
2012,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,0,5,0,0,5
2012,"Equestrianism Mixed Three-Day Event, Team",GER,Equestrianism,5,0,0,0,5
2012,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,5,5
2012,"Equestrianism Mixed Three-Day Event, Team",JPN,Equestrianism,0,0,0,5,5
2012,"Equestrianism Mixed Three-Day Event, Team",NED,Equestrianism,0,0,0,3,3
2012,"Equestrianism Mixed Three-Day Event, Team",NZL,Equestrianism,0,0,5,0,5
2012,"Equestrianism Mixed Three-Day Event, Team",SWE,Equestrianism,0,0,0,5,5
2012,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,0,0,0,5,5
2016,"Equestrianism Mixed Three-Day Event, Team",AUS,Equestrianism,0,0,4,0,4
2016,"Equestrianism Mixed Three-Day Event, Team",BRA,Equestrianism,0,0,0,4,4
2016,"Equestrianism Mixed Three-Day Event, Team",CAN,Equestrianism,0,0,0,4,4
2016,"Equestrianism Mixed Three-Day Event, Team",FRA,Equestrianism,4,0,0,0,4
2016,"Equestrianism Mixed Three-Day Event, Team",GBR,Equestrianism,0,0,0,4,4
2016,"Equestrianism Mixed Three-Day Event, Team",GER,Equestrianism,0,4,0,0,4
2016,"Equestrianism Mixed Three-Day Event, Team",IRL,Equestrianism,0,0,0,4,4
2016,"Equestrianism Mixed Three-Day Event, Team",ITA,Equestrianism,0,0,0,4,4
2016,"Equestrianism Mixed Three-Day Event, Team",NED,Equestrianism,0,0,0,4,4
2016,"Equestrianism Mixed Three-Day Event, Team",NZL,Equestrianism,0,0,0,4,4
2016,"Equestrianism Mixed Three-Day Event, Team",RUS,Equestrianism,0,0,0,3,3
2016,"Equestrianism Mixed Three-Day Event, Team",SWE,Equestrianism,0,0,0,4,4
2016,"Equestrianism Mixed Three-Day Event, Team",USA,Equestrianism,0,0,0,4,4
