Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1896,"Fencing Men's Foil, Individual",FRA,Fencing,1,1,0,1,3
1896,"Fencing Men's Foil, Individual",GRE,Fencing,0,0,2,3,5
1900,"Fencing Men's Foil, Individual",AUT,Fencing,0,0,0,3,3
1900,"Fencing Men's Foil, Individual",BEL,Fencing,0,0,0,1,1
1900,"Fencing Men's Foil, Individual",ESP,Fencing,0,0,0,1,1
1900,"Fencing Men's Foil, Individual",FRA,Fencing,1,1,1,36,39
1900,"Fencing Men's Foil, Individual",HAI,Fencing,0,0,0,1,1
1900,"Fencing Men's Foil, Individual",ITA,Fencing,0,0,0,4,4
1900,"Fencing Men's Foil, Individual",PER,Fencing,0,0,0,1,1
1900,"Fencing Men's Foil, Individual",SUI,Fencing,0,0,0,2,2
1900,"Fencing Men's Foil, Individual",SWE,Fencing,0,0,0,1,1
1900,"Fencing Men's Foil, Individual",USA,Fencing,0,0,0,1,1
1904,"Fencing Men's Foil, Individual",CUB,Fencing,1,0,0,0,1
1904,"Fencing Men's Foil, Individual",GBR,Fencing,0,0,0,1,1
1904,"Fencing Men's Foil, Individual",GER,Fencing,0,0,0,1,1
1904,"Fencing Men's Foil, Individual",USA,Fencing,0,1,1,4,6
1906,"Fencing Men's Foil, Individual",AUT,Fencing,0,0,0,2,2
1906,"Fencing Men's Foil, Individual",BEL,Fencing,0,0,0,3,3
1906,"Fencing Men's Foil, Individual",BOH,Fencing,0,0,0,1,1
1906,"Fencing Men's Foil, Individual",DEN,Fencing,0,0,0,2,2
1906,"Fencing Men's Foil, Individual",FRA,Fencing,1,0,1,1,3
1906,"Fencing Men's Foil, Individual",GBR,Fencing,0,0,0,2,2
1906,"Fencing Men's Foil, Individual",GER,Fencing,0,1,0,3,4
1906,"Fencing Men's Foil, Individual",GRE,Fencing,0,0,0,4,4
1906,"Fencing Men's Foil, Individual",HUN,Fencing,0,0,0,4,4
1906,"Fencing Men's Foil, Individual",ITA,Fencing,0,0,0,1,1
1906,"Fencing Men's Foil, Individual",NED,Fencing,0,0,0,9,9
1906,"Fencing Men's Foil, Individual",SWE,Fencing,0,0,0,2,2
1912,"Fencing Men's Foil, Individual",AUT,Fencing,0,0,1,6,7
1912,"Fencing Men's Foil, Individual",BEL,Fencing,0,0,0,9,9
1912,"Fencing Men's Foil, Individual",BOH,Fencing,0,0,0,7,7
1912,"Fencing Men's Foil, Individual",DEN,Fencing,0,0,0,6,6
1912,"Fencing Men's Foil, Individual",GBR,Fencing,0,0,0,8,8
1912,"Fencing Men's Foil, Individual",GER,Fencing,0,0,0,9,9
1912,"Fencing Men's Foil, Individual",GRE,Fencing,0,0,0,1,1
1912,"Fencing Men's Foil, Individual",HUN,Fencing,0,0,0,8,8
1912,"Fencing Men's Foil, Individual",ITA,Fencing,1,1,0,3,5
1912,"Fencing Men's Foil, Individual",NED,Fencing,0,0,0,1,1
1912,"Fencing Men's Foil, Individual",NOR,Fencing,0,0,0,3,3
1912,"Fencing Men's Foil, Individual",RSA,Fencing,0,0,0,1,1
1912,"Fencing Men's Foil, Individual",RUS,Fencing,0,0,0,12,12
1912,"Fencing Men's Foil, Individual",SWE,Fencing,0,0,0,6,6
1912,"Fencing Men's Foil, Individual",USA,Fencing,0,0,0,11,11
1920,"Fencing Men's Foil, Individual",BEL,Fencing,0,0,0,8,8
1920,"Fencing Men's Foil, Individual",DEN,Fencing,0,0,0,6,6
1920,"Fencing Men's Foil, Individual",EGY,Fencing,0,0,0,1,1
1920,"Fencing Men's Foil, Individual",FRA,Fencing,0,1,1,4,6
1920,"Fencing Men's Foil, Individual",GBR,Fencing,0,0,0,7,7
1920,"Fencing Men's Foil, Individual",ITA,Fencing,1,0,0,7,8
1920,"Fencing Men's Foil, Individual",NED,Fencing,0,0,0,5,5
1920,"Fencing Men's Foil, Individual",SWE,Fencing,0,0,0,4,4
1920,"Fencing Men's Foil, Individual",TCH,Fencing,0,0,0,5,5
1920,"Fencing Men's Foil, Individual",USA,Fencing,0,0,0,6,6
1924,"Fencing Men's Foil, Individual",ARG,Fencing,0,0,0,3,3
1924,"Fencing Men's Foil, Individual",AUT,Fencing,0,0,0,3,3
1924,"Fencing Men's Foil, Individual",BEL,Fencing,0,0,1,3,4
1924,"Fencing Men's Foil, Individual",DEN,Fencing,0,0,0,4,4
1924,"Fencing Men's Foil, Individual",ESP,Fencing,0,0,0,4,4
1924,"Fencing Men's Foil, Individual",FRA,Fencing,1,1,0,1,3
1924,"Fencing Men's Foil, Individual",GBR,Fencing,0,0,0,4,4
1924,"Fencing Men's Foil, Individual",GRE,Fencing,0,0,0,1,1
1924,"Fencing Men's Foil, Individual",HUN,Fencing,0,0,0,1,1
1924,"Fencing Men's Foil, Individual",NED,Fencing,0,0,0,3,3
1924,"Fencing Men's Foil, Individual",NOR,Fencing,0,0,0,3,3
1924,"Fencing Men's Foil, Individual",POL,Fencing,0,0,0,1,1
1924,"Fencing Men's Foil, Individual",POR,Fencing,0,0,0,2,2
1924,"Fencing Men's Foil, Individual",SUI,Fencing,0,0,0,4,4
1924,"Fencing Men's Foil, Individual",TCH,Fencing,0,0,0,2,2
1924,"Fencing Men's Foil, Individual",URU,Fencing,0,0,0,3,3
1924,"Fencing Men's Foil, Individual",USA,Fencing,0,0,0,4,4
1928,"Fencing Men's Foil, Individual",ARG,Fencing,0,0,0,1,1
1928,"Fencing Men's Foil, Individual",AUT,Fencing,0,0,0,3,3
1928,"Fencing Men's Foil, Individual",BEL,Fencing,0,0,0,3,3
1928,"Fencing Men's Foil, Individual",CHI,Fencing,0,0,0,1,1
1928,"Fencing Men's Foil, Individual",DEN,Fencing,0,0,0,3,3
1928,"Fencing Men's Foil, Individual",EGY,Fencing,0,0,0,3,3
1928,"Fencing Men's Foil, Individual",ESP,Fencing,0,0,0,3,3
1928,"Fencing Men's Foil, Individual",FIN,Fencing,0,0,0,1,1
1928,"Fencing Men's Foil, Individual",FRA,Fencing,1,0,0,2,3
1928,"Fencing Men's Foil, Individual",GBR,Fencing,0,0,0,3,3
1928,"Fencing Men's Foil, Individual",GER,Fencing,0,1,0,2,3
1928,"Fencing Men's Foil, Individual",GRE,Fencing,0,0,0,2,2
1928,"Fencing Men's Foil, Individual",HUN,Fencing,0,0,0,3,3
1928,"Fencing Men's Foil, Individual",ITA,Fencing,0,0,1,2,3
1928,"Fencing Men's Foil, Individual",NED,Fencing,0,0,0,3,3
1928,"Fencing Men's Foil, Individual",NOR,Fencing,0,0,0,3,3
1928,"Fencing Men's Foil, Individual",POL,Fencing,0,0,0,1,1
1928,"Fencing Men's Foil, Individual",POR,Fencing,0,0,0,1,1
1928,"Fencing Men's Foil, Individual",ROU,Fencing,0,0,0,2,2
1928,"Fencing Men's Foil, Individual",SUI,Fencing,0,0,0,3,3
1928,"Fencing Men's Foil, Individual",SWE,Fencing,0,0,0,2,2
1928,"Fencing Men's Foil, Individual",USA,Fencing,0,0,0,3,3
1928,"Fencing Men's Foil, Individual",YUG,Fencing,0,0,0,1,1
