Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1906,"Fencing Men's Sabre, Team",GER,Fencing,4,0,0,0,4
1906,"Fencing Men's Sabre, Team",GRE,Fencing,0,4,0,0,4
1906,"Fencing Men's Sabre, Team",HUN,Fencing,0,0,0,4,4
1906,"Fencing Men's Sabre, Team",NED,Fencing,0,0,4,0,4
1908,"Fencing Men's Sabre, Team",BEL,Fencing,0,0,0,4,4
1908,"Fencing Men's Sabre, Team",BOH,Fencing,0,0,5,0,5
1908,"Fencing Men's Sabre, Team",FRA,Fencing,0,0,0,4,4
1908,"Fencing Men's Sabre, Team",GBR,Fencing,0,0,0,4,4
1908,"Fencing Men's Sabre, Team",GER,Fencing,0,0,0,4,4
1908,"Fencing Men's Sabre, Team",HUN,Fencing,5,0,0,0,5
1908,"Fencing Men's Sabre, Team",ITA,Fencing,0,5,0,0,5
1908,"Fencing Men's Sabre, Team",NED,Fencing,0,0,0,4,4
1912,"Fencing Men's Sabre, Team",AUT,Fencing,0,7,0,0,7
1912,"Fencing Men's Sabre, Team",BEL,Fencing,0,0,0,5,5
1912,"Fencing Men's Sabre, Team",BOH,Fencing,0,0,0,5,5
1912,"Fencing Men's Sabre, Team",DEN,Fencing,0,0,0,5,5
1912,"Fencing Men's Sabre, Team",GBR,Fencing,0,0,0,6,6
1912,"Fencing Men's Sabre, Team",GER,Fencing,0,0,0,9,9
1912,"Fencing Men's Sabre, Team",HUN,Fencing,8,0,0,0,8
1912,"Fencing Men's Sabre, Team",ITA,Fencing,0,0,0,6,6
1912,"Fencing Men's Sabre, Team",NED,Fencing,0,0,6,0,6
1912,"Fencing Men's Sabre, Team",RUS,Fencing,0,0,0,8,8
1912,"Fencing Men's Sabre, Team",SWE,Fencing,0,0,0,4,4
1920,"Fencing Men's Sabre, Team",BEL,Fencing,0,0,0,7,7
1920,"Fencing Men's Sabre, Team",DEN,Fencing,0,0,0,5,5
1920,"Fencing Men's Sabre, Team",FRA,Fencing,0,4,0,0,4
1920,"Fencing Men's Sabre, Team",GBR,Fencing,0,0,0,7,7
1920,"Fencing Men's Sabre, Team",ITA,Fencing,7,0,0,0,7
1920,"Fencing Men's Sabre, Team",NED,Fencing,0,0,7,0,7
1920,"Fencing Men's Sabre, Team",TCH,Fencing,0,0,0,5,5
1920,"Fencing Men's Sabre, Team",USA,Fencing,0,0,0,8,8
1924,"Fencing Men's Sabre, Team",ARG,Fencing,0,0,0,5,5
1924,"Fencing Men's Sabre, Team",BEL,Fencing,0,0,0,5,5
1924,"Fencing Men's Sabre, Team",DEN,Fencing,0,0,0,5,5
1924,"Fencing Men's Sabre, Team",ESP,Fencing,0,0,0,5,5
1924,"Fencing Men's Sabre, Team",FRA,Fencing,0,0,0,6,6
1924,"Fencing Men's Sabre, Team",GBR,Fencing,0,0,0,6,6
1924,"Fencing Men's Sabre, Team",GRE,Fencing,0,0,0,4,4
1924,"Fencing Men's Sabre, Team",HUN,Fencing,0,8,0,0,8
1924,"Fencing Men's Sabre, Team",ITA,Fencing,8,0,0,0,8
1924,"Fencing Men's Sabre, Team",NED,Fencing,0,0,6,0,6
1924,"Fencing Men's Sabre, Team",POL,Fencing,0,0,0,4,4
1924,"Fencing Men's Sabre, Team",TCH,Fencing,0,0,0,5,5
1924,"Fencing Men's Sabre, Team",URU,Fencing,0,0,0,5,5
1924,"Fencing Men's Sabre, Team",USA,Fencing,0,0,0,8,8
1928,"Fencing Men's Sabre, Team",BEL,Fencing,0,0,0,5,5
1928,"Fencing Men's Sabre, Team",CHI,Fencing,0,0,0,6,6
1928,"Fencing Men's Sabre, Team",FRA,Fencing,0,0,0,6,6
1928,"Fencing Men's Sabre, Team",GBR,Fencing,0,0,0,6,6
1928,"Fencing Men's Sabre, Team",GER,Fencing,0,0,0,4,4
1928,"Fencing Men's Sabre, Team",GRE,Fencing,0,0,0,4,4
1928,"Fencing Men's Sabre, Team",HUN,Fencing,6,0,0,0,6
1928,"Fencing Men's Sabre, Team",ITA,Fencing,0,6,0,0,6
