Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1900,"Fencing Men's epee, Individual",ARG,Fencing,0,0,0,1,1
1900,"Fencing Men's epee, Individual",BEL,Fencing,0,0,0,1,1
1900,"Fencing Men's epee, Individual",CUB,Fencing,1,0,0,0,1
1900,"Fencing Men's epee, Individual",ESP,Fencing,0,0,0,1,1
1900,"Fencing Men's epee, Individual",FRA,Fencing,0,1,1,87,89
1900,"Fencing Men's epee, Individual",GBR,Fencing,0,0,0,2,2
1900,"Fencing Men's epee, Individual",IRI,Fencing,0,0,0,1,1
1900,"Fencing Men's epee, Individual",ITA,Fencing,0,0,0,3,3
1900,"Fencing Men's epee, Individual",PER,Fencing,0,0,0,1,1
1900,"Fencing Men's epee, Individual",SUI,Fencing,0,0,0,1,1
1900,"Fencing Men's epee, Individual",USA,Fencing,0,0,0,1,1
1904,"Fencing Men's epee, Individual",CUB,Fencing,1,0,0,0,1
1904,"Fencing Men's epee, Individual",GER,Fencing,0,0,0,1,1
1904,"Fencing Men's epee, Individual",USA,Fencing,0,1,1,1,3
1906,"Fencing Men's epee, Individual",AUT,Fencing,0,0,0,1,1
1906,"Fencing Men's epee, Individual",BEL,Fencing,0,0,0,2,2
1906,"Fencing Men's epee, Individual",DEN,Fencing,0,0,0,2,2
1906,"Fencing Men's epee, Individual",FRA,Fencing,1,1,0,1,3
1906,"Fencing Men's epee, Individual",GBR,Fencing,0,0,0,1,1
1906,"Fencing Men's epee, Individual",GER,Fencing,0,0,0,1,1
1906,"Fencing Men's epee, Individual",GRE,Fencing,0,0,0,5,5
1906,"Fencing Men's epee, Individual",HUN,Fencing,0,0,0,2,2
1906,"Fencing Men's epee, Individual",NED,Fencing,0,0,1,10,11
1906,"Fencing Men's epee, Individual",SWE,Fencing,0,0,0,1,1
1908,"Fencing Men's epee, Individual",BEL,Fencing,0,0,0,9,9
1908,"Fencing Men's epee, Individual",BOH,Fencing,0,0,0,7,7
1908,"Fencing Men's epee, Individual",CAN,Fencing,0,0,0,1,1
1908,"Fencing Men's epee, Individual",DEN,Fencing,0,0,0,6,6
1908,"Fencing Men's epee, Individual",FRA,Fencing,1,1,1,8,11
1908,"Fencing Men's epee, Individual",GBR,Fencing,0,0,0,12,12
1908,"Fencing Men's epee, Individual",GER,Fencing,0,0,0,10,10
1908,"Fencing Men's epee, Individual",HUN,Fencing,0,0,0,3,3
1908,"Fencing Men's epee, Individual",ITA,Fencing,0,0,0,9,9
1908,"Fencing Men's epee, Individual",NED,Fencing,0,0,0,8,8
1908,"Fencing Men's epee, Individual",NOR,Fencing,0,0,0,1,1
1908,"Fencing Men's epee, Individual",RSA,Fencing,0,0,0,1,1
1908,"Fencing Men's epee, Individual",SWE,Fencing,0,0,0,7,7
1912,"Fencing Men's epee, Individual",AUT,Fencing,0,0,0,1,1
1912,"Fencing Men's epee, Individual",BEL,Fencing,1,0,1,8,10
1912,"Fencing Men's epee, Individual",BOH,Fencing,0,0,0,9,9
1912,"Fencing Men's epee, Individual",DEN,Fencing,0,1,0,5,6
1912,"Fencing Men's epee, Individual",GBR,Fencing,0,0,0,12,12
1912,"Fencing Men's epee, Individual",GER,Fencing,0,0,0,7,7
1912,"Fencing Men's epee, Individual",GRE,Fencing,0,0,0,6,6
1912,"Fencing Men's epee, Individual",HUN,Fencing,0,0,0,2,2
1912,"Fencing Men's epee, Individual",NED,Fencing,0,0,0,8,8
1912,"Fencing Men's epee, Individual",NOR,Fencing,0,0,0,7,7
1912,"Fencing Men's epee, Individual",POR,Fencing,0,0,0,1,1
1912,"Fencing Men's epee, Individual",RSA,Fencing,0,0,0,1,1
1912,"Fencing Men's epee, Individual",RUS,Fencing,0,0,0,6,6
1912,"Fencing Men's epee, Individual",SWE,Fencing,0,0,0,6,6
1912,"Fencing Men's epee, Individual",USA,Fencing,0,0,0,11,11
1920,"Fencing Men's epee, Individual",BEL,Fencing,0,0,0,8,8
1920,"Fencing Men's epee, Individual",DEN,Fencing,0,0,0,7,7
1920,"Fencing Men's epee, Individual",EGY,Fencing,0,0,0,1,1
1920,"Fencing Men's epee, Individual",FRA,Fencing,1,1,1,5,8
1920,"Fencing Men's epee, Individual",GBR,Fencing,0,0,0,8,8
1920,"Fencing Men's epee, Individual",GRE,Fencing,0,0,0,3,3
1920,"Fencing Men's epee, Individual",ITA,Fencing,0,0,0,6,6
1920,"Fencing Men's epee, Individual",NED,Fencing,0,0,0,8,8
1920,"Fencing Men's epee, Individual",POR,Fencing,0,0,0,8,8
1920,"Fencing Men's epee, Individual",SUI,Fencing,0,0,0,5,5
1920,"Fencing Men's epee, Individual",SWE,Fencing,0,0,0,8,8
1920,"Fencing Men's epee, Individual",TCH,Fencing,0,0,0,5,5
1920,"Fencing Men's epee, Individual",USA,Fencing,0,0,0,5,5
1924,"Fencing Men's epee, Individual",ARG,Fencing,0,0,0,4,4
1924,"Fencing Men's epee, Individual",BEL,Fencing,1,0,0,3,4
1924,"Fencing Men's epee, Individual",CUB,Fencing,0,0,0,4,4
1924,"Fencing Men's epee, Individual",DEN,Fencing,0,0,0,4,4
1924,"Fencing Men's epee, Individual",EGY,Fencing,0,0,0,3,3
1924,"Fencing Men's epee, Individual",ESP,Fencing,0,0,0,4,4
1924,"Fencing Men's epee, Individual",FRA,Fencing,0,1,0,3,4
1924,"Fencing Men's epee, Individual",GBR,Fencing,0,0,0,4,4
1924,"Fencing Men's epee, Individual",GRE,Fencing,0,0,0,3,3
1924,"Fencing Men's epee, Individual",ITA,Fencing,0,0,0,2,2
1924,"Fencing Men's epee, Individual",NED,Fencing,0,0,0,4,4
1924,"Fencing Men's epee, Individual",NOR,Fencing,0,0,0,4,4
1924,"Fencing Men's epee, Individual",POR,Fencing,0,0,0,4,4
1924,"Fencing Men's epee, Individual",SUI,Fencing,0,0,0,4,4
1924,"Fencing Men's epee, Individual",SWE,Fencing,0,0,1,3,4
1924,"Fencing Men's epee, Individual",TCH,Fencing,0,0,0,3,3
1924,"Fencing Men's epee, Individual",URU,Fencing,0,0,0,4,4
1924,"Fencing Men's epee, Individual",USA,Fencing,0,0,0,4,4
1928,"Fencing Men's epee, Individual",ARG,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",BEL,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",BUL,Fencing,0,0,0,1,1
1928,"Fencing Men's epee, Individual",CHI,Fencing,0,0,0,1,1
1928,"Fencing Men's epee, Individual",DEN,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",EGY,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",ESP,Fencing,0,0,0,2,2
1928,"Fencing Men's epee, Individual",FIN,Fencing,0,0,0,2,2
1928,"Fencing Men's epee, Individual",FRA,Fencing,1,1,0,1,3
1928,"Fencing Men's epee, Individual",GBR,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",GER,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",GRE,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",HUN,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",MEX,Fencing,0,0,0,2,2
1928,"Fencing Men's epee, Individual",NED,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",NOR,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",POR,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",ROU,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",SUI,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",SWE,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",TCH,Fencing,0,0,0,3,3
1928,"Fencing Men's epee, Individual",USA,Fencing,0,0,1,2,3
1932,"Fencing Men's epee, Individual",ARG,Fencing,0,0,0,1,1
1932,"Fencing Men's epee, Individual",BEL,Fencing,0,0,0,3,3
1932,"Fencing Men's epee, Individual",CAN,Fencing,0,0,0,3,3
1932,"Fencing Men's epee, Individual",DEN,Fencing,0,0,0,2,2
1932,"Fencing Men's epee, Individual",FRA,Fencing,0,1,0,2,3
1932,"Fencing Men's epee, Individual",HUN,Fencing,0,0,0,2,2
1932,"Fencing Men's epee, Individual",ITA,Fencing,1,0,1,1,3
1932,"Fencing Men's epee, Individual",MEX,Fencing,0,0,0,3,3
1932,"Fencing Men's epee, Individual",NED,Fencing,0,0,0,1,1
1932,"Fencing Men's epee, Individual",SUI,Fencing,0,0,0,1,1
1932,"Fencing Men's epee, Individual",SWE,Fencing,0,0,0,3,3
1932,"Fencing Men's epee, Individual",USA,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",ARG,Fencing,0,0,0,2,2
1936,"Fencing Men's epee, Individual",AUT,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",BEL,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",BRA,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",BUL,Fencing,0,0,0,1,1
1936,"Fencing Men's epee, Individual",CAN,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",CHI,Fencing,0,0,0,2,2
1936,"Fencing Men's epee, Individual",DEN,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",EGY,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",FRA,Fencing,0,0,0,2,2
1936,"Fencing Men's epee, Individual",GBR,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",GER,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",GRE,Fencing,0,0,0,2,2
1936,"Fencing Men's epee, Individual",HUN,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",ITA,Fencing,1,1,1,0,3
1936,"Fencing Men's epee, Individual",MEX,Fencing,0,0,0,2,2
1936,"Fencing Men's epee, Individual",NED,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",NOR,Fencing,0,0,0,2,2
1936,"Fencing Men's epee, Individual",POL,Fencing,0,0,0,2,2
1936,"Fencing Men's epee, Individual",POR,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",ROU,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",SUI,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",SWE,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",TCH,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",USA,Fencing,0,0,0,3,3
1936,"Fencing Men's epee, Individual",YUG,Fencing,0,0,0,2,2
1948,"Fencing Men's epee, Individual",ARG,Fencing,0,0,0,3,3
1948,"Fencing Men's epee, Individual",BEL,Fencing,0,0,0,3,3
1948,"Fencing Men's epee, Individual",BRA,Fencing,0,0,0,3,3
1948,"Fencing Men's epee, Individual",CAN,Fencing,0,0,0,3,3
