Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1996,"Fencing Women's epee, Team",CUB,Fencing,0,0,0,3,3
1996,"Fencing Women's epee, Team",EST,Fencing,0,0,0,3,3
1996,"Fencing Women's epee, Team",FRA,Fencing,3,0,0,0,3
1996,"Fencing Women's epee, Team",GER,Fencing,0,0,0,3,3
1996,"Fencing Women's epee, Team",HUN,Fencing,0,0,0,3,3
1996,"Fencing Women's epee, Team",ITA,Fencing,0,3,0,0,3
1996,"Fencing Women's epee, Team",JPN,Fencing,0,0,0,3,3
1996,"Fencing Women's epee, Team",KOR,Fencing,0,0,0,3,3
1996,"Fencing Women's epee, Team",RUS,Fencing,0,0,3,0,3
1996,"Fencing Women's epee, Team",SUI,Fencing,0,0,0,3,3
1996,"Fencing Women's epee, Team",USA,Fencing,0,0,0,3,3
2000,"Fencing Women's epee, Team",CHN,Fencing,0,0,3,0,3
2000,"Fencing Women's epee, Team",CUB,Fencing,0,0,0,3,3
2000,"Fencing Women's epee, Team",FRA,Fencing,0,0,0,4,4
2000,"Fencing Women's epee, Team",GER,Fencing,0,0,0,3,3
2000,"Fencing Women's epee, Team",HUN,Fencing,0,0,0,3,3
2000,"Fencing Women's epee, Team",NOR,Fencing,0,0,0,3,3
2000,"Fencing Women's epee, Team",RUS,Fencing,4,0,0,0,4
2000,"Fencing Women's epee, Team",SUI,Fencing,0,3,0,0,3
2004,"Fencing Women's epee, Team",CAN,Fencing,0,0,0,3,3
2004,"Fencing Women's epee, Team",CHN,Fencing,0,0,0,4,4
2004,"Fencing Women's epee, Team",FRA,Fencing,0,0,4,0,4
2004,"Fencing Women's epee, Team",GER,Fencing,0,3,0,0,3
2004,"Fencing Women's epee, Team",GRE,Fencing,0,0,0,3,3
2004,"Fencing Women's epee, Team",HUN,Fencing,0,0,0,4,4
2004,"Fencing Women's epee, Team",KOR,Fencing,0,0,0,4,4
2004,"Fencing Women's epee, Team",RSA,Fencing,0,0,0,3,3
2004,"Fencing Women's epee, Team",RUS,Fencing,4,0,0,0,4
2012,"Fencing Women's epee, Team",CHN,Fencing,4,0,0,0,4
2012,"Fencing Women's epee, Team",GER,Fencing,0,0,0,3,3
2012,"Fencing Women's epee, Team",ITA,Fencing,0,0,0,4,4
2012,"Fencing Women's epee, Team",KOR,Fencing,0,4,0,0,4
2012,"Fencing Women's epee, Team",ROU,Fencing,0,0,0,4,4
2012,"Fencing Women's epee, Team",RUS,Fencing,0,0,0,4,4
2012,"Fencing Women's epee, Team",UKR,Fencing,0,0,0,4,4
2012,"Fencing Women's epee, Team",USA,Fencing,0,0,4,0,4
2016,"Fencing Women's epee, Team",BRA,Fencing,0,0,0,4,4
2016,"Fencing Women's epee, Team",CHN,Fencing,0,4,0,0,4
2016,"Fencing Women's epee, Team",EST,Fencing,0,0,0,4,4
2016,"Fencing Women's epee, Team",FRA,Fencing,0,0,0,4,4
2016,"Fencing Women's epee, Team",KOR,Fencing,0,0,0,4,4
2016,"Fencing Women's epee, Team",ROU,Fencing,4,0,0,0,4
2016,"Fencing Women's epee, Team",RUS,Fencing,0,0,4,0,4
2016,"Fencing Women's epee, Team",UKR,Fencing,0,0,0,4,4
2016,"Fencing Women's epee, Team",USA,Fencing,0,0,0,4,4
