Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Sabre Individual,ALG,Fencing,0,0,0,1,1
2020,Women's Sabre Individual,ARG,Fencing,0,0,0,1,1
2020,Women's Sabre Individual,AZE,Fencing,0,0,0,1,1
2020,Women's Sabre Individual,CAN,Fencing,0,0,0,1,1
2020,Women's Sabre Individual,CHN,Fencing,0,0,0,3,3
2020,Women's Sabre Individual,EGY,Fencing,0,0,0,1,1
2020,Women's Sabre Individual,FRA,Fencing,0,0,1,2,3
2020,Women's Sabre Individual,GRE,Fencing,0,0,0,1,1
2020,Women's Sabre Individual,HUN,Fencing,0,0,0,3,3
2020,Women's Sabre Individual,IND,Fencing,0,0,0,1,1
2020,Women's Sabre Individual,ITA,Fencing,0,0,0,3,3
2020,Women's Sabre Individual,JPN,Fencing,0,0,0,3,3
2020,Women's Sabre Individual,KOR,Fencing,0,0,0,3,3
2020,Women's Sabre Individual,ROC,Fencing,1,1,0,1,3
2020,Women's Sabre Individual,TUN,Fencing,0,0,0,3,3
2020,Women's Sabre Individual,UKR,Fencing,0,0,0,1,1
2020,Women's Sabre Individual,USA,Fencing,0,0,0,3,3
2020,Women's Sabre Individual,UZB,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,ALG,Fencing,0,0,0,3,3
2024,Women's Sabre Individual,AZE,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,BUL,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,CAN,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,CHN,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,EGY,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,ESP,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,FRA,Fencing,1,1,0,1,3
2024,Women's Sabre Individual,GRE,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,HUN,Fencing,0,0,0,3,3
2024,Women's Sabre Individual,ITA,Fencing,0,0,0,3,3
2024,Women's Sabre Individual,JPN,Fencing,0,0,0,3,3
2024,Women's Sabre Individual,KAZ,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,KOR,Fencing,0,0,0,3,3
2024,Women's Sabre Individual,TUN,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,TUR,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,UKR,Fencing,0,0,1,2,3
2024,Women's Sabre Individual,USA,Fencing,0,0,0,3,3
2024,Women's Sabre Individual,UZB,Fencing,0,0,0,1,1
2024,Women's Sabre Individual,VEN,Fencing,0,0,0,1,1
