Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Épée Individual,BRA,Fencing,0,0,0,1,1
2020,Women's Épée Individual,CHN,Fencing,1,0,0,2,3
2020,Women's Épée Individual,EST,Fencing,0,0,1,2,3
2020,Women's Épée Individual,FRA,Fencing,0,0,0,1,1
2020,Women's Épée Individual,HKG,Fencing,0,0,0,3,3
2020,Women's Épée Individual,ITA,Fencing,0,0,0,3,3
2020,Women's Épée Individual,JPN,Fencing,0,0,0,1,1
2020,Women's Épée Individual,KOR,Fencing,0,0,0,3,3
2020,Women's Épée Individual,PER,Fencing,0,0,0,1,1
2020,Women's Épée Individual,POL,Fencing,0,0,0,3,3
2020,Women's Épée Individual,ROC,Fencing,0,0,0,3,3
2020,Women's Épée Individual,ROU,Fencing,0,1,0,0,1
2020,Women's Épée Individual,SEN,Fencing,0,0,0,1,1
2020,Women's Épée Individual,SGP,Fencing,0,0,0,1,1
2020,Women's Épée Individual,TUN,Fencing,0,0,0,1,1
2020,Women's Épée Individual,UKR,Fencing,0,0,0,1,1
2020,Women's Épée Individual,USA,Fencing,0,0,0,3,3
2020,Women's Épée Individual,UZB,Fencing,0,0,0,1,1
2024,Women's Épée Individual,BRA,Fencing,0,0,0,1,1
2024,Women's Épée Individual,CAN,Fencing,0,0,0,1,1
2024,Women's Épée Individual,CHN,Fencing,0,0,0,3,3
2024,Women's Épée Individual,EGY,Fencing,0,0,0,3,3
2024,Women's Épée Individual,EST,Fencing,0,0,0,1,1
2024,Women's Épée Individual,FRA,Fencing,0,1,0,2,3
2024,Women's Épée Individual,HKG,Fencing,1,0,0,0,1
2024,Women's Épée Individual,HUN,Fencing,0,0,1,0,1
2024,Women's Épée Individual,ITA,Fencing,0,0,0,3,3
2024,Women's Épée Individual,JPN,Fencing,0,0,0,1,1
2024,Women's Épée Individual,KEN,Fencing,0,0,0,1,1
2024,Women's Épée Individual,KOR,Fencing,0,0,0,3,3
2024,Women's Épée Individual,PER,Fencing,0,0,0,1,1
2024,Women's Épée Individual,POL,Fencing,0,0,0,3,3
2024,Women's Épée Individual,RWA,Fencing,0,0,0,1,1
2024,Women's Épée Individual,SEN,Fencing,0,0,0,1,1
2024,Women's Épée Individual,SGP,Fencing,0,0,0,1,1
2024,Women's Épée Individual,SUI,Fencing,0,0,0,1,1
2024,Women's Épée Individual,UKR,Fencing,0,0,0,3,3
2024,Women's Épée Individual,USA,Fencing,0,0,0,3,3
