Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1900,Gymnastics Men's Individual All-Around,BEL,Gymnastics,0,0,0,2,2
1900,Gymnastics Men's Individual All-Around,BOH,Gymnastics,0,0,0,1,1
1900,Gymnastics Men's Individual All-Around,FRA,Gymnastics,1,1,1,105,108
1900,Gymnastics Men's Individual All-Around,GBR,Gymnastics,0,0,0,4,4
1900,Gymnastics Men's Individual All-Around,GER,Gymnastics,0,0,0,14,14
1900,Gymnastics Men's Individual All-Around,HUN,Gymnastics,0,0,0,2,2
1900,Gymnastics Men's Individual All-Around,ITA,Gymnastics,0,0,0,1,1
1900,Gymnastics Men's Individual All-Around,SUI,Gymnastics,0,0,0,3,3
1904,Gymnastics Men's Individual All-Around,AUT,Gymnastics,1,0,0,0,1
1904,Gymnastics Men's Individual All-Around,GER,Gymnastics,0,1,0,7,8
1904,Gymnastics Men's Individual All-Around,NOR,Gymnastics,0,0,0,1,1
1904,Gymnastics Men's Individual All-Around,SUI,Gymnastics,0,0,1,1,2
1904,Gymnastics Men's Individual All-Around,USA,Gymnastics,0,0,0,104,104
1906,Gymnastics Men's Individual All-Around,BOH,Gymnastics,0,0,0,1,1
1906,Gymnastics Men's Individual All-Around,FRA,Gymnastics,1,0,1,2,4
1906,Gymnastics Men's Individual All-Around,GBR,Gymnastics,0,0,0,1,1
1906,Gymnastics Men's Individual All-Around,GER,Gymnastics,0,0,0,10,10
1906,Gymnastics Men's Individual All-Around,GRE,Gymnastics,0,0,0,1,1
1906,Gymnastics Men's Individual All-Around,HUN,Gymnastics,0,0,0,5,5
1906,Gymnastics Men's Individual All-Around,ITA,Gymnastics,0,1,0,2,3
1908,Gymnastics Men's Individual All-Around,BEL,Gymnastics,0,0,0,2,2
1908,Gymnastics Men's Individual All-Around,BOH,Gymnastics,0,0,0,2,2
1908,Gymnastics Men's Individual All-Around,CAN,Gymnastics,0,0,0,2,2
1908,Gymnastics Men's Individual All-Around,FIN,Gymnastics,0,0,0,5,5
1908,Gymnastics Men's Individual All-Around,FRA,Gymnastics,0,0,1,18,19
1908,Gymnastics Men's Individual All-Around,GBR,Gymnastics,0,1,0,19,20
1908,Gymnastics Men's Individual All-Around,GER,Gymnastics,0,0,0,11,11
1908,Gymnastics Men's Individual All-Around,HUN,Gymnastics,0,0,0,6,6
1908,Gymnastics Men's Individual All-Around,ITA,Gymnastics,1,0,0,2,3
1908,Gymnastics Men's Individual All-Around,NED,Gymnastics,0,0,0,17,17
1908,Gymnastics Men's Individual All-Around,NOR,Gymnastics,0,0,0,8,8
1912,Gymnastics Men's Individual All-Around,BOH,Gymnastics,0,0,0,1,1
1912,Gymnastics Men's Individual All-Around,DEN,Gymnastics,0,0,0,6,6
1912,Gymnastics Men's Individual All-Around,FIN,Gymnastics,0,0,0,5,5
1912,Gymnastics Men's Individual All-Around,FRA,Gymnastics,0,1,0,5,6
1912,Gymnastics Men's Individual All-Around,GBR,Gymnastics,0,0,0,6,6
1912,Gymnastics Men's Individual All-Around,HUN,Gymnastics,0,0,0,4,4
1912,Gymnastics Men's Individual All-Around,ITA,Gymnastics,1,0,1,4,6
1912,Gymnastics Men's Individual All-Around,LUX,Gymnastics,0,0,0,6,6
1912,Gymnastics Men's Individual All-Around,RUS,Gymnastics,0,0,0,4,4
1920,Gymnastics Men's Individual All-Around,BEL,Gymnastics,0,0,0,5,5
1920,Gymnastics Men's Individual All-Around,EGY,Gymnastics,0,0,0,2,2
1920,Gymnastics Men's Individual All-Around,FRA,Gymnastics,0,1,1,4,6
1920,Gymnastics Men's Individual All-Around,ITA,Gymnastics,1,0,0,4,5
1920,Gymnastics Men's Individual All-Around,MON,Gymnastics,0,0,0,2,2
1920,Gymnastics Men's Individual All-Around,NOR,Gymnastics,0,0,0,1,1
1920,Gymnastics Men's Individual All-Around,USA,Gymnastics,0,0,0,4,4
1924,Gymnastics Men's Individual All-Around,FIN,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Individual All-Around,FRA,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Individual All-Around,GBR,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Individual All-Around,ITA,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Individual All-Around,LUX,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Individual All-Around,SUI,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Individual All-Around,TCH,Gymnastics,0,1,1,6,8
1924,Gymnastics Men's Individual All-Around,USA,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Individual All-Around,YUG,Gymnastics,1,0,0,7,8
1928,Gymnastics Men's Individual All-Around,FIN,Gymnastics,0,0,0,8,8
1928,Gymnastics Men's Individual All-Around,FRA,Gymnastics,0,0,0,8,8
1928,Gymnastics Men's Individual All-Around,GBR,Gymnastics,0,0,0,8,8
1928,Gymnastics Men's Individual All-Around,HUN,Gymnastics,0,0,0,8,8
1928,Gymnastics Men's Individual All-Around,ITA,Gymnastics,0,0,0,8,8
1928,Gymnastics Men's Individual All-Around,LUX,Gymnastics,0,0,0,8,8
1928,Gymnastics Men's Individual All-Around,NED,Gymnastics,0,0,0,8,8
1928,Gymnastics Men's Individual All-Around,SUI,Gymnastics,1,1,0,6,8
1928,Gymnastics Men's Individual All-Around,TCH,Gymnastics,0,0,0,8,8
1928,Gymnastics Men's Individual All-Around,USA,Gymnastics,0,0,0,8,8
1928,Gymnastics Men's Individual All-Around,YUG,Gymnastics,0,0,1,7,8
1932,Gymnastics Men's Individual All-Around,FIN,Gymnastics,0,0,1,4,5
1932,Gymnastics Men's Individual All-Around,HUN,Gymnastics,0,1,0,3,4
1932,Gymnastics Men's Individual All-Around,ITA,Gymnastics,1,0,0,4,5
1932,Gymnastics Men's Individual All-Around,JPN,Gymnastics,0,0,0,5,5
1932,Gymnastics Men's Individual All-Around,USA,Gymnastics,0,0,0,5,5
1936,Gymnastics Men's Individual All-Around,AUT,Gymnastics,0,0,0,8,8
1936,Gymnastics Men's Individual All-Around,BUL,Gymnastics,0,0,0,7,7
1936,Gymnastics Men's Individual All-Around,FIN,Gymnastics,0,0,0,8,8
1936,Gymnastics Men's Individual All-Around,FRA,Gymnastics,0,0,0,8,8
1936,Gymnastics Men's Individual All-Around,GER,Gymnastics,1,0,1,6,8
1936,Gymnastics Men's Individual All-Around,HUN,Gymnastics,0,0,0,8,8
1936,Gymnastics Men's Individual All-Around,ITA,Gymnastics,0,0,0,8,8
1936,Gymnastics Men's Individual All-Around,JPN,Gymnastics,0,0,0,8,8
1936,Gymnastics Men's Individual All-Around,LUX,Gymnastics,0,0,0,8,8
1936,Gymnastics Men's Individual All-Around,ROU,Gymnastics,0,0,0,8,8
1936,Gymnastics Men's Individual All-Around,SUI,Gymnastics,0,1,0,7,8
1936,Gymnastics Men's Individual All-Around,TCH,Gymnastics,0,0,0,8,8
1936,Gymnastics Men's Individual All-Around,USA,Gymnastics,0,0,0,8,8
1936,Gymnastics Men's Individual All-Around,YUG,Gymnastics,0,0,0,8,8
1948,Gymnastics Men's Individual All-Around,ARG,Gymnastics,0,0,0,7,7
1948,Gymnastics Men's Individual All-Around,AUT,Gymnastics,0,0,0,8,8
1948,Gymnastics Men's Individual All-Around,CUB,Gymnastics,0,0,0,7,7
1948,Gymnastics Men's Individual All-Around,DEN,Gymnastics,0,0,0,8,8
1948,Gymnastics Men's Individual All-Around,EGY,Gymnastics,0,0,0,8,8
1948,Gymnastics Men's Individual All-Around,FIN,Gymnastics,1,0,1,6,8
1948,Gymnastics Men's Individual All-Around,FRA,Gymnastics,0,0,0,8,8
1948,Gymnastics Men's Individual All-Around,GBR,Gymnastics,0,0,0,8,8
1948,Gymnastics Men's Individual All-Around,HUN,Gymnastics,0,0,0,8,8
1948,Gymnastics Men's Individual All-Around,ITA,Gymnastics,0,0,0,8,8
1948,Gymnastics Men's Individual All-Around,LUX,Gymnastics,0,0,0,8,8
1948,Gymnastics Men's Individual All-Around,MEX,Gymnastics,0,0,0,5,5
1948,Gymnastics Men's Individual All-Around,SUI,Gymnastics,0,1,0,7,8
1948,Gymnastics Men's Individual All-Around,TCH,Gymnastics,0,0,0,8,8
1948,Gymnastics Men's Individual All-Around,USA,Gymnastics,0,0,0,8,8
1948,Gymnastics Men's Individual All-Around,YUG,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,ARG,Gymnastics,0,0,0,2,2
1952,Gymnastics Men's Individual All-Around,AUT,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,BEL,Gymnastics,0,0,0,3,3
1952,Gymnastics Men's Individual All-Around,BUL,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,CUB,Gymnastics,0,0,0,3,3
1952,Gymnastics Men's Individual All-Around,DEN,Gymnastics,0,0,0,7,7
1952,Gymnastics Men's Individual All-Around,EGY,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,ESP,Gymnastics,0,0,0,1,1
1952,Gymnastics Men's Individual All-Around,FIN,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,FRA,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,GBR,Gymnastics,0,0,0,6,6
1952,Gymnastics Men's Individual All-Around,GER,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,HUN,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,IND,Gymnastics,0,0,0,2,2
1952,Gymnastics Men's Individual All-Around,ITA,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,JPN,Gymnastics,0,0,0,5,5
1952,Gymnastics Men's Individual All-Around,LUX,Gymnastics,0,0,0,6,6
1952,Gymnastics Men's Individual All-Around,NOR,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,POL,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,POR,Gymnastics,0,0,0,6,6
1952,Gymnastics Men's Individual All-Around,ROU,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,RSA,Gymnastics,0,0,0,3,3
1952,Gymnastics Men's Individual All-Around,SAA,Gymnastics,0,0,0,6,6
1952,Gymnastics Men's Individual All-Around,SUI,Gymnastics,0,0,1,7,8
1952,Gymnastics Men's Individual All-Around,SWE,Gymnastics,0,0,0,7,7
1952,Gymnastics Men's Individual All-Around,TCH,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,URS,Gymnastics,1,1,0,6,8
1952,Gymnastics Men's Individual All-Around,USA,Gymnastics,0,0,0,8,8
1952,Gymnastics Men's Individual All-Around,YUG,Gymnastics,0,0,0,8,8
1956,Gymnastics Men's Individual All-Around,AUS,Gymnastics,0,0,0,6,6
1956,Gymnastics Men's Individual All-Around,AUT,Gymnastics,0,0,0,1,1
1956,Gymnastics Men's Individual All-Around,BUL,Gymnastics,0,0,0,3,3
1956,Gymnastics Men's Individual All-Around,CAN,Gymnastics,0,0,0,1,1
1956,Gymnastics Men's Individual All-Around,CUB,Gymnastics,0,0,0,1,1
1956,Gymnastics Men's Individual All-Around,FIN,Gymnastics,0,0,0,6,6
