Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1904,Gymnastics Men's Side Horse,USA,Gymnastics,1,1,1,0,3
1924,Gymnastics Men's Side Horse,FIN,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Side Horse,FRA,Gymnastics,1,2,0,5,8
1924,Gymnastics Men's Side Horse,GBR,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Side Horse,ITA,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Side Horse,LUX,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Side Horse,SUI,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Side Horse,TCH,Gymnastics,0,0,0,6,6
1924,Gymnastics Men's Side Horse,USA,Gymnastics,0,0,0,8,8
1924,Gymnastics Men's Side Horse,YUG,Gymnastics,0,0,0,8,8
