Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1952,Gymnastics Women's Uneven Bars,AUT,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,BUL,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,FIN,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,FRA,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,GBR,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,GER,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,HUN,Gymnastics,1,0,1,6,8
1952,Gymnastics Women's Uneven Bars,ITA,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,NED,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,NOR,Gymnastics,0,0,0,3,3
1952,Gymnastics Women's Uneven Bars,POL,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,POR,Gymnastics,0,0,0,3,3
1952,Gymnastics Women's Uneven Bars,ROU,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,SWE,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,TCH,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,URS,Gymnastics,0,1,0,7,8
1952,Gymnastics Women's Uneven Bars,USA,Gymnastics,0,0,0,8,8
1952,Gymnastics Women's Uneven Bars,YUG,Gymnastics,0,0,0,8,8
1956,Gymnastics Women's Uneven Bars,AUS,Gymnastics,0,0,0,3,3
1956,Gymnastics Women's Uneven Bars,BUL,Gymnastics,0,0,0,3,3
1956,Gymnastics Women's Uneven Bars,CAN,Gymnastics,0,0,0,1,1
1956,Gymnastics Women's Uneven Bars,FRA,Gymnastics,0,0,0,2,2
1956,Gymnastics Women's Uneven Bars,GBR,Gymnastics,0,0,0,1,1
1956,Gymnastics Women's Uneven Bars,HUN,Gymnastics,1,0,0,5,6
1956,Gymnastics Women's Uneven Bars,ITA,Gymnastics,0,0,0,6,6
1956,Gymnastics Women's Uneven Bars,JPN,Gymnastics,0,0,0,6,6
1956,Gymnastics Women's Uneven Bars,LUX,Gymnastics,0,0,0,1,1
1956,Gymnastics Women's Uneven Bars,POL,Gymnastics,0,0,0,6,6
1956,Gymnastics Women's Uneven Bars,ROU,Gymnastics,0,0,0,6,6
1956,Gymnastics Women's Uneven Bars,SWE,Gymnastics,0,0,0,6,6
1956,Gymnastics Women's Uneven Bars,TCH,Gymnastics,0,0,0,6,6
1956,Gymnastics Women's Uneven Bars,URS,Gymnastics,0,1,1,4,6
1956,Gymnastics Women's Uneven Bars,USA,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,AUS,Gymnastics,0,0,0,2,2
1960,Gymnastics Women's Uneven Bars,AUT,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,BEL,Gymnastics,0,0,0,3,3
1960,Gymnastics Women's Uneven Bars,BUL,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,CAN,Gymnastics,0,0,0,2,2
1960,Gymnastics Women's Uneven Bars,CUB,Gymnastics,0,0,0,2,2
1960,Gymnastics Women's Uneven Bars,ESP,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,FIN,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,FRA,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,GBR,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,GER,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,HUN,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,ISR,Gymnastics,0,0,0,3,3
1960,Gymnastics Women's Uneven Bars,ITA,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,JPN,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,KOR,Gymnastics,0,0,0,1,1
1960,Gymnastics Women's Uneven Bars,LUX,Gymnastics,0,0,0,2,2
1960,Gymnastics Women's Uneven Bars,NED,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,POL,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,POR,Gymnastics,0,0,0,3,3
1960,Gymnastics Women's Uneven Bars,ROU,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,RSA,Gymnastics,0,0,0,1,1
1960,Gymnastics Women's Uneven Bars,SWE,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,TCH,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,URS,Gymnastics,1,1,1,3,6
1960,Gymnastics Women's Uneven Bars,USA,Gymnastics,0,0,0,6,6
1960,Gymnastics Women's Uneven Bars,YUG,Gymnastics,0,0,0,3,3
1964,Gymnastics Women's Uneven Bars,AUS,Gymnastics,0,0,0,5,5
1964,Gymnastics Women's Uneven Bars,AUT,Gymnastics,0,0,0,1,1
1964,Gymnastics Women's Uneven Bars,BEL,Gymnastics,0,0,0,1,1
1964,Gymnastics Women's Uneven Bars,BUL,Gymnastics,0,0,0,2,2
1964,Gymnastics Women's Uneven Bars,CAN,Gymnastics,0,0,0,1,1
1964,Gymnastics Women's Uneven Bars,FIN,Gymnastics,0,0,0,2,2
1964,Gymnastics Women's Uneven Bars,FRA,Gymnastics,0,0,0,3,3
1964,Gymnastics Women's Uneven Bars,GBR,Gymnastics,0,0,0,2,2
1964,Gymnastics Women's Uneven Bars,GER,Gymnastics,0,0,0,6,6
1964,Gymnastics Women's Uneven Bars,HUN,Gymnastics,0,1,0,5,6
1964,Gymnastics Women's Uneven Bars,IRI,Gymnastics,0,0,0,1,1
1964,Gymnastics Women's Uneven Bars,JPN,Gymnastics,0,0,0,6,6
1964,Gymnastics Women's Uneven Bars,KOR,Gymnastics,0,0,0,3,3
1964,Gymnastics Women's Uneven Bars,MGL,Gymnastics,0,0,0,2,2
1964,Gymnastics Women's Uneven Bars,NZL,Gymnastics,0,0,0,3,3
1964,Gymnastics Women's Uneven Bars,PHI,Gymnastics,0,0,0,1,1
1964,Gymnastics Women's Uneven Bars,POL,Gymnastics,0,0,0,6,6
1964,Gymnastics Women's Uneven Bars,POR,Gymnastics,0,0,0,1,1
1964,Gymnastics Women's Uneven Bars,ROU,Gymnastics,0,0,0,6,6
1964,Gymnastics Women's Uneven Bars,SWE,Gymnastics,0,0,0,6,6
1964,Gymnastics Women's Uneven Bars,TCH,Gymnastics,0,0,0,6,6
1964,Gymnastics Women's Uneven Bars,TPE,Gymnastics,0,0,0,1,1
1964,Gymnastics Women's Uneven Bars,URS,Gymnastics,1,0,1,4,6
1964,Gymnastics Women's Uneven Bars,USA,Gymnastics,0,0,0,6,6
1968,Gymnastics Women's Uneven Bars,AUS,Gymnastics,0,0,0,1,1
1968,Gymnastics Women's Uneven Bars,BEL,Gymnastics,0,0,0,2,2
1968,Gymnastics Women's Uneven Bars,BUL,Gymnastics,0,0,0,5,5
1968,Gymnastics Women's Uneven Bars,CAN,Gymnastics,0,0,0,5,5
1968,Gymnastics Women's Uneven Bars,CUB,Gymnastics,0,0,0,6,6
1968,Gymnastics Women's Uneven Bars,DEN,Gymnastics,0,0,0,1,1
1968,Gymnastics Women's Uneven Bars,FRA,Gymnastics,0,0,0,6,6
1968,Gymnastics Women's Uneven Bars,FRG,Gymnastics,0,0,0,6,6
1968,Gymnastics Women's Uneven Bars,GBR,Gymnastics,0,0,0,2,2
1968,Gymnastics Women's Uneven Bars,GDR,Gymnastics,0,1,0,5,6
1968,Gymnastics Women's Uneven Bars,HUN,Gymnastics,0,0,0,6,6
1968,Gymnastics Women's Uneven Bars,ITA,Gymnastics,0,0,0,3,3
1968,Gymnastics Women's Uneven Bars,JPN,Gymnastics,0,0,0,6,6
1968,Gymnastics Women's Uneven Bars,MEX,Gymnastics,0,0,0,6,6
1968,Gymnastics Women's Uneven Bars,MGL,Gymnastics,0,0,0,3,3
1968,Gymnastics Women's Uneven Bars,NOR,Gymnastics,0,0,0,6,6
1968,Gymnastics Women's Uneven Bars,POL,Gymnastics,0,0,0,6,6
1968,Gymnastics Women's Uneven Bars,POR,Gymnastics,0,0,0,1,1
1968,Gymnastics Women's Uneven Bars,SWE,Gymnastics,0,0,0,3,3
1968,Gymnastics Women's Uneven Bars,TCH,Gymnastics,1,0,0,5,6
1968,Gymnastics Women's Uneven Bars,TPE,Gymnastics,0,0,0,2,2
1968,Gymnastics Women's Uneven Bars,URS,Gymnastics,0,0,1,5,6
1968,Gymnastics Women's Uneven Bars,USA,Gymnastics,0,0,0,6,6
1968,Gymnastics Women's Uneven Bars,YUG,Gymnastics,0,0,0,1,1
1972,Gymnastics Women's Uneven Bars,AUS,Gymnastics,0,0,0,1,1
1972,Gymnastics Women's Uneven Bars,BUL,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,CAN,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,ESP,Gymnastics,0,0,0,1,1
1972,Gymnastics Women's Uneven Bars,FRA,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,FRG,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,GBR,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,GDR,Gymnastics,1,1,0,4,6
1972,Gymnastics Women's Uneven Bars,HUN,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,ITA,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,JPN,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,MEX,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,NED,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,NOR,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,NZL,Gymnastics,0,0,0,1,1
1972,Gymnastics Women's Uneven Bars,POL,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,ROU,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,SUI,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,SWE,Gymnastics,0,0,0,1,1
1972,Gymnastics Women's Uneven Bars,TCH,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,URS,Gymnastics,0,1,0,5,6
1972,Gymnastics Women's Uneven Bars,USA,Gymnastics,0,0,0,6,6
1972,Gymnastics Women's Uneven Bars,YUG,Gymnastics,0,0,0,6,6
1976,Gymnastics Women's Uneven Bars,AUS,Gymnastics,0,0,0,1,1
1976,Gymnastics Women's Uneven Bars,BEL,Gymnastics,0,0,0,2,2
1976,Gymnastics Women's Uneven Bars,BUL,Gymnastics,0,0,0,6,6
1976,Gymnastics Women's Uneven Bars,CAN,Gymnastics,0,0,0,6,6
1976,Gymnastics Women's Uneven Bars,ESP,Gymnastics,0,0,0,3,3
1976,Gymnastics Women's Uneven Bars,FRA,Gymnastics,0,0,0,3,3
1976,Gymnastics Women's Uneven Bars,FRG,Gymnastics,0,0,0,6,6
1976,Gymnastics Women's Uneven Bars,GBR,Gymnastics,0,0,0,3,3
1976,Gymnastics Women's Uneven Bars,GDR,Gymnastics,0,0,0,6,6
1976,Gymnastics Women's Uneven Bars,HUN,Gymnastics,0,0,1,5,6
1976,Gymnastics Women's Uneven Bars,ITA,Gymnastics,0,0,0,6,6
1976,Gymnastics Women's Uneven Bars,JPN,Gymnastics,0,0,0,6,6
1976,Gymnastics Women's Uneven Bars,MEX,Gymnastics,0,0,0,2,2
1976,Gymnastics Women's Uneven Bars,NED,Gymnastics,0,0,0,6,6
1976,Gymnastics Women's Uneven Bars,ROU,Gymnastics,1,1,0,4,6
1976,Gymnastics Women's Uneven Bars,TCH,Gymnastics,0,0,0,6,6
1976,Gymnastics Women's Uneven Bars,URS,Gymnastics,0,0,0,6,6
1976,Gymnastics Women's Uneven Bars,USA,Gymnastics,0,0,0,6,6
1980,Gymnastics Women's Uneven Bars,AUS,Gymnastics,0,0,0,2,2
1980,Gymnastics Women's Uneven Bars,BRA,Gymnastics,0,0,0,1,1
