Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Women,ANG,Handball,0,0,0,15,15
2024,Women,BRA,Handball,0,0,0,17,17
2024,Women,DEN,Handball,0,0,15,2,17
2024,Women,ESP,Handball,0,0,0,17,17
2024,Women,FRA,Handball,0,17,0,0,17
2024,Women,GER,Handball,0,0,0,17,17
2024,Women,HUN,Handball,0,0,0,17,17
2024,Women,KOR,Handball,0,0,0,17,17
2024,Women,NED,Handball,0,0,0,17,17
2024,Women,NOR,Handball,15,0,0,2,17
2024,Women,SLO,Handball,0,0,0,17,17
2024,Women,SWE,Handball,0,0,0,17,17
