Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1908,Hockey Men's Hockey,FRA,Hockey,0,0,0,12,12
1908,Hockey Men's Hockey,GBR,Hockey,11,12,22,0,45
1908,Hockey Men's Hockey,GER,Hockey,0,0,0,11,11
1920,Hockey Men's Hockey,BEL,Hockey,0,0,14,0,14
1920,Hockey Men's Hockey,DEN,Hockey,0,12,0,0,12
1920,Hockey Men's Hockey,FRA,Hockey,0,0,0,11,11
1920,Hockey Men's Hockey,GBR,Hockey,14,0,0,0,14
1928,Hockey Men's Hockey,AUT,Hockey,0,0,0,16,16
1928,Hockey Men's Hockey,BEL,Hockey,0,0,0,18,18
1928,Hockey Men's Hockey,DEN,Hockey,0,0,0,13,13
1928,Hockey Men's Hockey,ESP,Hockey,0,0,0,15,15
1928,Hockey Men's Hockey,FRA,Hockey,0,0,0,15,15
1928,Hockey Men's Hockey,GER,Hockey,0,0,19,0,19
1928,Hockey Men's Hockey,IND,Hockey,14,0,0,0,14
1928,Hockey Men's Hockey,NED,Hockey,0,11,0,0,11
1928,Hockey Men's Hockey,SUI,Hockey,0,0,0,16,16
1932,Hockey Men's Hockey,IND,Hockey,15,0,0,0,15
1932,Hockey Men's Hockey,JPN,Hockey,0,11,0,0,11
1932,Hockey Men's Hockey,USA,Hockey,0,0,14,0,14
1936,Hockey Men's Hockey,AFG,Hockey,0,0,0,13,13
1936,Hockey Men's Hockey,BEL,Hockey,0,0,0,14,14
1936,Hockey Men's Hockey,DEN,Hockey,0,0,0,16,16
1936,Hockey Men's Hockey,FRA,Hockey,0,0,0,18,18
1936,Hockey Men's Hockey,GER,Hockey,0,22,0,0,22
1936,Hockey Men's Hockey,HUN,Hockey,0,0,0,15,15
1936,Hockey Men's Hockey,IND,Hockey,19,0,0,0,19
1936,Hockey Men's Hockey,JPN,Hockey,0,0,0,11,11
1936,Hockey Men's Hockey,NED,Hockey,0,0,12,0,12
1936,Hockey Men's Hockey,SUI,Hockey,0,0,0,13,13
1936,Hockey Men's Hockey,USA,Hockey,0,0,0,14,14
1948,Hockey Men's Hockey,AFG,Hockey,0,0,0,12,12
1948,Hockey Men's Hockey,ARG,Hockey,0,0,0,12,12
1948,Hockey Men's Hockey,AUT,Hockey,0,0,0,12,12
1948,Hockey Men's Hockey,BEL,Hockey,0,0,0,13,13
1948,Hockey Men's Hockey,DEN,Hockey,0,0,0,16,16
1948,Hockey Men's Hockey,ESP,Hockey,0,0,0,14,14
1948,Hockey Men's Hockey,FRA,Hockey,0,0,0,14,14
1948,Hockey Men's Hockey,GBR,Hockey,0,12,0,0,12
1948,Hockey Men's Hockey,IND,Hockey,20,0,0,0,20
1948,Hockey Men's Hockey,NED,Hockey,0,0,12,0,12
1948,Hockey Men's Hockey,PAK,Hockey,0,0,0,18,18
1948,Hockey Men's Hockey,SUI,Hockey,0,0,0,15,15
1948,Hockey Men's Hockey,USA,Hockey,0,0,0,14,14
1952,Hockey Men's Hockey,AUT,Hockey,0,0,0,13,13
1952,Hockey Men's Hockey,BEL,Hockey,0,0,0,13,13
1952,Hockey Men's Hockey,FIN,Hockey,0,0,0,11,11
1952,Hockey Men's Hockey,FRA,Hockey,0,0,0,14,14
1952,Hockey Men's Hockey,GBR,Hockey,0,0,13,0,13
1952,Hockey Men's Hockey,GER,Hockey,0,0,0,15,15
1952,Hockey Men's Hockey,IND,Hockey,14,0,0,0,14
1952,Hockey Men's Hockey,ITA,Hockey,0,0,0,15,15
1952,Hockey Men's Hockey,NED,Hockey,0,11,0,0,11
1952,Hockey Men's Hockey,PAK,Hockey,0,0,0,12,12
1952,Hockey Men's Hockey,POL,Hockey,0,0,0,14,14
1952,Hockey Men's Hockey,SUI,Hockey,0,0,0,12,12
1956,Hockey Men's Hockey,AFG,Hockey,0,0,0,12,12
1956,Hockey Men's Hockey,AUS,Hockey,0,0,0,18,18
1956,Hockey Men's Hockey,BEL,Hockey,0,0,0,12,12
1956,Hockey Men's Hockey,GBR,Hockey,0,0,0,14,14
1956,Hockey Men's Hockey,GER,Hockey,0,0,11,0,11
1956,Hockey Men's Hockey,IND,Hockey,17,0,0,0,17
1956,Hockey Men's Hockey,KEN,Hockey,0,0,0,14,14
1956,Hockey Men's Hockey,MAL,Hockey,0,0,0,17,17
