Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men Team,ARG,Hockey,0,0,0,18,18
2020,Men Team,AUS,Hockey,0,18,0,0,18
2020,Men Team,BEL,Hockey,18,0,0,0,18
2020,Men Team,CAN,Hockey,0,0,0,18,18
2020,Men Team,ESP,Hockey,0,0,0,18,18
2020,Men Team,GBR,Hockey,0,0,0,18,18
2020,Men Team,GER,Hockey,0,0,0,18,18
2020,Men Team,IND,Hockey,0,0,18,0,18
2020,Men Team,JPN,Hockey,0,0,0,18,18
2020,Men Team,NED,Hockey,0,0,0,18,18
2020,Men Team,NZL,Hockey,0,0,0,18,18
2020,Men Team,RSA,Hockey,0,0,0,18,18
