Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1980,Judo Men's Half-Lightweight,AUS,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,BRA,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,BUL,Judo,0,0,1,0,1
1980,Judo Men's Half-Lightweight,CMR,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,CRC,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,CUB,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,CYP,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,ECU,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,FRA,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,GBR,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,GDR,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,GUI,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,HUN,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,KUW,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,MAD,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,MEX,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,MGL,Judo,0,1,0,0,1
1980,Judo Men's Half-Lightweight,MLI,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,POL,Judo,0,0,1,0,1
1980,Judo Men's Half-Lightweight,POR,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,ROU,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,SEN,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,SWE,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,SYR,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,TCH,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,URS,Judo,1,0,0,0,1
1980,Judo Men's Half-Lightweight,YUG,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,ZAM,Judo,0,0,0,1,1
1980,Judo Men's Half-Lightweight,ZIM,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,AUT,Judo,0,0,1,0,1
1984,Judo Men's Half-Lightweight,BEL,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,BOL,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,BRA,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,CAN,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,CGO,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,CHN,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,CMR,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,CRC,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,ECU,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,EGY,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,ESA,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,ESP,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,FRA,Judo,0,0,1,0,1
1984,Judo Men's Half-Lightweight,FRG,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,GBR,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,HKG,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,HON,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,ITA,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,JPN,Judo,1,0,0,0,1
1984,Judo Men's Half-Lightweight,KOR,Judo,0,1,0,0,1
1984,Judo Men's Half-Lightweight,KUW,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,LIB,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,MEX,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,NOR,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,PAR,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,POR,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,ROU,Judo,0,0,0,1,1
1984,Judo Men's Half-Lightweight,SUI,Judo,0,0,0,1,1
