Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1964,Judo Men's Lightweight,ARG,Judo,0,0,0,1,1
1964,Judo Men's Lightweight,AUS,Judo,0,0,0,2,2
1964,Judo Men's Lightweight,AUT,Judo,0,0,0,2,2
1964,Judo Men's Lightweight,FRA,Judo,0,0,0,2,2
1964,Judo Men's Lightweight,GBR,Judo,0,0,0,1,1
1964,Judo Men's Lightweight,GER,Judo,0,0,0,1,1
1964,Judo Men's Lightweight,ITA,Judo,0,0,0,1,1
1964,Judo Men's Lightweight,JPN,Judo,1,0,0,0,1
1964,Judo Men's Lightweight,KOR,Judo,0,0,0,2,2
1964,Judo Men's Lightweight,MEX,Judo,0,0,0,1,1
1964,Judo Men's Lightweight,PAN,Judo,0,0,0,1,1
1964,Judo Men's Lightweight,PHI,Judo,0,0,0,1,1
1964,Judo Men's Lightweight,SUI,Judo,0,1,0,0,1
1964,Judo Men's Lightweight,THA,Judo,0,0,0,2,2
1964,Judo Men's Lightweight,TPE,Judo,0,0,0,1,1
1964,Judo Men's Lightweight,URS,Judo,0,0,2,0,2
1964,Judo Men's Lightweight,USA,Judo,0,0,0,1,1
1964,Judo Men's Lightweight,VNM,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,AUS,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,AUT,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,BEL,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,CAN,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,CUB,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,DOM,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,FRA,Judo,0,0,1,0,1
1972,Judo Men's Lightweight,FRG,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,GBR,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,GDR,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,HUN,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,IRL,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,ITA,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,JPN,Judo,1,0,0,0,1
1972,Judo Men's Lightweight,KOR,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,MAD,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,MAR,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,MGL,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,PHI,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,POL,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,PRK,Judo,0,0,1,0,1
1972,Judo Men's Lightweight,PUR,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,SEN,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,SUI,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,SUR,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,TPE,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,URS,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,USA,Judo,0,0,0,1,1
1972,Judo Men's Lightweight,YUG,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,AUS,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,AUT,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,BUL,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,CAN,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,CUB,Judo,1,0,0,0,1
1976,Judo Men's Lightweight,ECU,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,FRA,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,FRG,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,GBR,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,HUN,Judo,0,0,1,0,1
1976,Judo Men's Lightweight,ITA,Judo,0,0,1,0,1
1976,Judo Men's Lightweight,JPN,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,KOR,Judo,0,1,0,0,1
1976,Judo Men's Lightweight,KUW,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,LIB,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,MEX,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,MGL,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,POL,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,POR,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,PUR,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,SEN,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,THA,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,TUR,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,URS,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,USA,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,VEN,Judo,0,0,0,1,1
1976,Judo Men's Lightweight,YUG,Judo,0,0,0,1,1
