Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1964,Judo Men's Middleweight,ARG,Judo,0,0,0,1,1
1964,Judo Men's Middleweight,AUS,Judo,0,0,0,1,1
1964,Judo Men's Middleweight,AUT,Judo,0,0,0,1,1
1964,Judo Men's Middleweight,BRA,Judo,0,0,0,1,1
1964,Judo Men's Middleweight,CRC,Judo,0,0,0,2,2
1964,Judo Men's Middleweight,FRA,Judo,0,0,0,2,2
1964,Judo Men's Middleweight,GBR,Judo,0,0,0,1,1
1964,Judo Men's Middleweight,GER,Judo,0,1,0,0,1
1964,Judo Men's Middleweight,JPN,Judo,1,0,0,0,1
1964,Judo Men's Middleweight,KOR,Judo,0,0,1,0,1
1964,Judo Men's Middleweight,MAS,Judo,0,0,0,1,1
1964,Judo Men's Middleweight,MEX,Judo,0,0,0,1,1
1964,Judo Men's Middleweight,NED,Judo,0,0,0,2,2
1964,Judo Men's Middleweight,PHI,Judo,0,0,0,2,2
1964,Judo Men's Middleweight,POR,Judo,0,0,0,1,1
1964,Judo Men's Middleweight,THA,Judo,0,0,0,1,1
1964,Judo Men's Middleweight,TPE,Judo,0,0,0,1,1
1964,Judo Men's Middleweight,USA,Judo,0,0,1,0,1
1964,Judo Men's Middleweight,VEN,Judo,0,0,0,1,1
1964,Judo Men's Middleweight,VNM,Judo,0,0,0,2,2
1972,Judo Men's Middleweight,ARG,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,AUS,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,AUT,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,BRA,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,CAN,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,CUB,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,DOM,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,FIN,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,FRA,Judo,0,0,1,0,1
1972,Judo Men's Middleweight,FRG,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,GBR,Judo,0,0,1,0,1
1972,Judo Men's Middleweight,GDR,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,HUN,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,IRL,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,JPN,Judo,1,0,0,0,1
1972,Judo Men's Middleweight,KOR,Judo,0,1,0,0,1
1972,Judo Men's Middleweight,LIB,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,MAD,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,MAR,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,MEX,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,MGL,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,MLI,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,NED,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,NZL,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,POL,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,POR,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,SEN,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,SUI,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,SWE,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,TCH,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,THA,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,TPE,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,URS,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,USA,Judo,0,0,0,1,1
1972,Judo Men's Middleweight,YUG,Judo,0,0,0,1,1
1976,Judo Men's Middleweight,AUS,Judo,0,0,0,1,1
1976,Judo Men's Middleweight,AUT,Judo,0,0,0,1,1
1976,Judo Men's Middleweight,BEL,Judo,0,0,0,1,1
