Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men -90 kg,AZE,Judo,0,0,0,1,1
2020,Men -90 kg,BEN,Judo,0,0,0,1,1
2020,Men -90 kg,BRA,Judo,0,0,0,1,1
2020,Men -90 kg,CUB,Judo,0,0,0,1,1
2020,Men -90 kg,CZE,Judo,0,0,0,1,1
2020,Men -90 kg,DOM,Judo,0,0,0,1,1
2020,Men -90 kg,EOR,Judo,0,0,0,1,1
2020,Men -90 kg,ESP,Judo,0,0,0,1,1
2020,Men -90 kg,FRA,Judo,0,0,0,1,1
2020,Men -90 kg,GEO,Judo,1,0,0,0,1
2020,Men -90 kg,GER,Judo,0,1,0,0,1
2020,Men -90 kg,GHA,Judo,0,0,0,1,1
2020,Men -90 kg,HUN,Judo,0,0,1,0,1
2020,Men -90 kg,ISR,Judo,0,0,0,1,1
2020,Men -90 kg,ITA,Judo,0,0,0,1,1
2020,Men -90 kg,JPN,Judo,0,0,0,1,1
2020,Men -90 kg,KAZ,Judo,0,0,0,1,1
2020,Men -90 kg,KOR,Judo,0,0,0,1,1
2020,Men -90 kg,LIE,Judo,0,0,0,1,1
2020,Men -90 kg,MGL,Judo,0,0,0,1,1
2020,Men -90 kg,MRI,Judo,0,0,0,1,1
2020,Men -90 kg,NED,Judo,0,0,0,1,1
2020,Men -90 kg,POL,Judo,0,0,0,1,1
2020,Men -90 kg,ROC,Judo,0,0,0,1,1
2020,Men -90 kg,SEY,Judo,0,0,0,1,1
2020,Men -90 kg,SMR,Judo,0,0,0,1,1
2020,Men -90 kg,SRB,Judo,0,0,0,1,1
2020,Men -90 kg,SWE,Judo,0,0,0,1,1
2020,Men -90 kg,TJK,Judo,0,0,0,1,1
2020,Men -90 kg,TUR,Judo,0,0,0,1,1
2020,Men -90 kg,UKR,Judo,0,0,0,1,1
2020,Men -90 kg,USA,Judo,0,0,0,1,1
2020,Men -90 kg,UZB,Judo,0,0,1,0,1
2024,Men -90 kg,AZE,Judo,0,0,0,1,1
2024,Men -90 kg,BRA,Judo,0,0,0,1,1
2024,Men -90 kg,BUL,Judo,0,0,0,1,1
2024,Men -90 kg,BUR,Judo,0,0,0,1,1
2024,Men -90 kg,CUB,Judo,0,0,0,1,1
2024,Men -90 kg,CZE,Judo,0,0,0,1,1
2024,Men -90 kg,DOM,Judo,0,0,0,1,1
2024,Men -90 kg,ESP,Judo,0,0,0,1,1
2024,Men -90 kg,EST,Judo,0,0,0,1,1
2024,Men -90 kg,FRA,Judo,0,0,1,0,1
2024,Men -90 kg,GEO,Judo,1,0,0,0,1
2024,Men -90 kg,GER,Judo,0,0,0,1,1
2024,Men -90 kg,GRE,Judo,0,0,1,0,1
2024,Men -90 kg,HUN,Judo,0,0,0,1,1
2024,Men -90 kg,ITA,Judo,0,0,0,1,1
2024,Men -90 kg,JPN,Judo,0,1,0,0,1
2024,Men -90 kg,KGZ,Judo,0,0,0,1,1
2024,Men -90 kg,KOR,Judo,0,0,0,1,1
2024,Men -90 kg,LBN,Judo,0,0,0,1,1
2024,Men -90 kg,MRI,Judo,0,0,0,1,1
2024,Men -90 kg,NED,Judo,0,0,0,1,1
2024,Men -90 kg,ROU,Judo,0,0,0,1,1
2024,Men -90 kg,SRB,Judo,0,0,0,1,1
2024,Men -90 kg,SWE,Judo,0,0,0,1,1
2024,Men -90 kg,TJK,Judo,0,0,0,1,1
2024,Men -90 kg,TUR,Judo,0,0,0,1,1
2024,Men -90 kg,UAE,Judo,0,0,0,1,1
2024,Men -90 kg,USA,Judo,0,0,0,1,1
2024,Men -90 kg,UZB,Judo,0,0,0,1,1
