Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women +78 kg,ALG,Judo,0,0,0,1,1
2020,Women +78 kg,AZE,Judo,0,0,1,0,1
2020,Women +78 kg,BIH,Judo,0,0,0,1,1
2020,Women +78 kg,BLR,Judo,0,0,0,1,1
2020,Women +78 kg,BRA,Judo,0,0,0,1,1
2020,Women +78 kg,CHN,Judo,0,0,0,1,1
2020,Women +78 kg,CMR,Judo,0,0,0,1,1
2020,Women +78 kg,CRO,Judo,0,0,0,1,1
2020,Women +78 kg,CUB,Judo,0,1,0,0,1
2020,Women +78 kg,FRA,Judo,0,0,1,0,1
2020,Women +78 kg,GBR,Judo,0,0,0,1,1
2020,Women +78 kg,GER,Judo,0,0,0,1,1
2020,Women +78 kg,ISR,Judo,0,0,0,1,1
2020,Women +78 kg,JPN,Judo,1,0,0,0,1
2020,Women +78 kg,KOR,Judo,0,0,0,1,1
2020,Women +78 kg,KSA,Judo,0,0,0,1,1
2020,Women +78 kg,LTU,Judo,0,0,0,1,1
2020,Women +78 kg,NCA,Judo,0,0,0,1,1
2020,Women +78 kg,NED,Judo,0,0,0,1,1
2020,Women +78 kg,POR,Judo,0,0,0,1,1
2020,Women +78 kg,PUR,Judo,0,0,0,1,1
2020,Women +78 kg,SLO,Judo,0,0,0,1,1
2020,Women +78 kg,TTO,Judo,0,0,0,1,1
2020,Women +78 kg,TUN,Judo,0,0,0,1,1
2020,Women +78 kg,TUR,Judo,0,0,0,1,1
2020,Women +78 kg,UKR,Judo,0,0,0,1,1
2020,Women +78 kg,USA,Judo,0,0,0,1,1
2024,Women +78 kg,BIH,Judo,0,0,0,1,1
2024,Women +78 kg,BRA,Judo,1,0,0,0,1
2024,Women +78 kg,CAN,Judo,0,0,0,1,1
2024,Women +78 kg,CHN,Judo,0,0,0,1,1
2024,Women +78 kg,CMR,Judo,0,0,0,1,1
2024,Women +78 kg,CUB,Judo,0,0,0,1,1
2024,Women +78 kg,DOM,Judo,0,0,0,1,1
2024,Women +78 kg,EOR,Judo,0,0,0,1,1
2024,Women +78 kg,FRA,Judo,0,0,1,0,1
2024,Women +78 kg,GEO,Judo,0,0,0,1,1
2024,Women +78 kg,GER,Judo,0,0,0,1,1
2024,Women +78 kg,IND,Judo,0,0,0,1,1
2024,Women +78 kg,ISR,Judo,0,1,0,0,1
2024,Women +78 kg,ITA,Judo,0,0,0,1,1
2024,Women +78 kg,JPN,Judo,0,0,0,1,1
2024,Women +78 kg,KAZ,Judo,0,0,0,1,1
2024,Women +78 kg,KOR,Judo,0,0,1,0,1
2024,Women +78 kg,MGL,Judo,0,0,0,1,1
2024,Women +78 kg,NCA,Judo,0,0,0,1,1
2024,Women +78 kg,NED,Judo,0,0,0,1,1
2024,Women +78 kg,NZL,Judo,0,0,0,1,1
2024,Women +78 kg,POR,Judo,0,0,0,1,1
2024,Women +78 kg,SRB,Judo,0,0,0,1,1
2024,Women +78 kg,TUN,Judo,0,0,0,1,1
2024,Women +78 kg,TUR,Judo,0,0,0,1,1
2024,Women +78 kg,UKR,Judo,0,0,0,1,1
