Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women -57 kg,ANG,Judo,0,0,0,1,1
2020,Women -57 kg,AUT,Judo,0,0,0,1,1
2020,Women -57 kg,BUL,Judo,0,0,0,1,1
2020,Women -57 kg,CAN,Judo,0,0,1,0,1
2020,Women -57 kg,CHN,Judo,0,0,0,1,1
2020,Women -57 kg,CIV,Judo,0,0,0,1,1
2020,Women -57 kg,EOR,Judo,0,0,0,1,1
2020,Women -57 kg,FRA,Judo,0,1,0,0,1
2020,Women -57 kg,GEO,Judo,0,0,0,1,1
2020,Women -57 kg,GER,Judo,0,0,0,1,1
2020,Women -57 kg,HUN,Judo,0,0,0,1,1
2020,Women -57 kg,ISR,Judo,0,0,0,1,1
2020,Women -57 kg,JPN,Judo,0,0,1,0,1
2020,Women -57 kg,KOR,Judo,0,0,0,1,1
2020,Women -57 kg,KOS,Judo,1,0,0,0,1
2020,Women -57 kg,MGL,Judo,0,0,0,1,1
2020,Women -57 kg,NED,Judo,0,0,0,1,1
2020,Women -57 kg,PAN,Judo,0,0,0,1,1
2020,Women -57 kg,POL,Judo,0,0,0,1,1
2020,Women -57 kg,POR,Judo,0,0,0,1,1
2020,Women -57 kg,ROC,Judo,0,0,0,1,1
2020,Women -57 kg,SLO,Judo,0,0,0,1,1
2020,Women -57 kg,SRB,Judo,0,0,0,1,1
2020,Women -57 kg,TPE,Judo,0,0,0,1,1
2020,Women -57 kg,TUN,Judo,0,0,0,1,1
2024,Women -57 kg,BRA,Judo,0,0,0,1,1
2024,Women -57 kg,CAN,Judo,1,0,0,0,1
2024,Women -57 kg,CHN,Judo,0,0,0,1,1
2024,Women -57 kg,CIV,Judo,0,0,0,1,1
2024,Women -57 kg,EOR,Judo,0,0,0,1,1
2024,Women -57 kg,FRA,Judo,0,0,1,0,1
2024,Women -57 kg,GBR,Judo,0,0,0,1,1
2024,Women -57 kg,GEO,Judo,0,0,0,1,1
2024,Women -57 kg,GER,Judo,0,0,0,1,1
2024,Women -57 kg,GUI,Judo,0,0,0,1,1
2024,Women -57 kg,GUM,Judo,0,0,0,1,1
2024,Women -57 kg,ISR,Judo,0,0,0,1,1
2024,Women -57 kg,ITA,Judo,0,0,0,1,1
2024,Women -57 kg,JPN,Judo,0,0,1,0,1
2024,Women -57 kg,KIR,Judo,0,0,0,1,1
2024,Women -57 kg,KOR,Judo,0,1,0,0,1
2024,Women -57 kg,KOS,Judo,0,0,0,1,1
2024,Women -57 kg,MGL,Judo,0,0,0,1,1
2024,Women -57 kg,NED,Judo,0,0,0,1,1
2024,Women -57 kg,NEP,Judo,0,0,0,1,1
2024,Women -57 kg,PAN,Judo,0,0,0,1,1
2024,Women -57 kg,SLE,Judo,0,0,0,1,1
2024,Women -57 kg,SLO,Judo,0,0,0,1,1
2024,Women -57 kg,SRB,Judo,0,0,0,1,1
2024,Women -57 kg,TKM,Judo,0,0,0,1,1
2024,Women -57 kg,TPE,Judo,0,0,0,1,1
2024,Women -57 kg,UKR,Judo,0,0,0,1,1
2024,Women -57 kg,UZB,Judo,0,0,0,1,1
