Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Men's 10km,AUT,"Marathon Swimming, Swimming",0,0,0,1,1
2024,Men's 10km,BRA,"Marathon Swimming, Swimming",0,0,0,1,1
2024,Men's 10km,ESP,"Marathon Swimming, Swimming",0,0,0,1,1
2024,Men's 10km,GER,"Marathon Swimming, Swimming",0,0,0,2,2
2024,Men's 10km,HUN,"Marathon Swimming, Swimming",0,0,0,1,1
2024,Men's 10km,IRL,"Marathon Swimming, Swimming",0,0,0,1,1
2024,Men's 10km,ITA,"Marathon Swimming, Swimming",0,0,0,1,1
2024,Men's 10km,NOR,"Marathon Swimming, Swimming",0,0,0,1,1
2024,Men's 10km,SWE,"Marathon Swimming, Swimming",0,0,0,1,1
2024,Men's 10km,TUN,"Marathon Swimming, Swimming",0,0,0,1,1
2024,Men's 10km,TUR,"Marathon Swimming, Swimming",0,0,0,2,2
