Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Individual,ARG,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,AUS,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,AUT,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,BLR,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,CHI,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,CHN,Modern Pentathlon,0,0,0,2,2
2020,Men's Individual,CUB,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,CZE,Modern Pentathlon,0,0,0,2,2
2020,Men's Individual,EGY,Modern Pentathlon,0,1,0,1,2
2020,Men's Individual,ESP,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,FRA,Modern Pentathlon,0,0,0,2,2
2020,Men's Individual,GBR,Modern Pentathlon,1,0,0,1,2
2020,Men's Individual,GER,Modern Pentathlon,0,0,0,2,2
2020,Men's Individual,GUA,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,HUN,Modern Pentathlon,0,0,0,2,2
2020,Men's Individual,JPN,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,KAZ,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,KOR,Modern Pentathlon,0,0,1,1,2
2020,Men's Individual,LAT,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,LTU,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,MEX,Modern Pentathlon,0,0,0,2,2
2020,Men's Individual,POL,Modern Pentathlon,0,0,0,2,2
2020,Men's Individual,ROC,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,UKR,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,USA,Modern Pentathlon,0,0,0,1,1
2020,Men's Individual,UZB,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,ARG,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,BUL,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,CHI,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,CHN,Modern Pentathlon,0,0,0,2,2
2024,Men's Individual,CUB,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,CZE,Modern Pentathlon,0,0,0,2,2
2024,Men's Individual,ECU,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,EGY,Modern Pentathlon,1,0,0,1,2
2024,Men's Individual,FRA,Modern Pentathlon,0,0,0,2,2
2024,Men's Individual,GBR,Modern Pentathlon,0,0,0,2,2
2024,Men's Individual,GER,Modern Pentathlon,0,0,0,2,2
2024,Men's Individual,GUA,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,HUN,Modern Pentathlon,0,0,0,2,2
2024,Men's Individual,ITA,Modern Pentathlon,0,0,1,1,2
2024,Men's Individual,JPN,Modern Pentathlon,0,1,0,0,1
2024,Men's Individual,KAZ,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,KOR,Modern Pentathlon,0,0,0,2,2
2024,Men's Individual,LAT,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,MEX,Modern Pentathlon,0,0,0,2,2
2024,Men's Individual,POL,Modern Pentathlon,0,0,0,2,2
2024,Men's Individual,SUI,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,THA,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,TUR,Modern Pentathlon,0,0,0,1,1
2024,Men's Individual,UKR,Modern Pentathlon,0,0,0,2,2
