Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,Modern Pentathlon Men's Individual,AUT,Modern Pentathlon,0,0,0,1,1
1912,Modern Pentathlon Men's Individual,DEN,Modern Pentathlon,0,0,0,4,4
1912,Modern Pentathlon Men's Individual,FRA,Modern Pentathlon,0,0,0,2,2
1912,Modern Pentathlon Men's Individual,GBR,Modern Pentathlon,0,0,0,3,3
1912,Modern Pentathlon Men's Individual,GER,Modern Pentathlon,0,0,0,1,1
1912,Modern Pentathlon Men's Individual,NED,Modern Pentathlon,0,0,0,1,1
1912,Modern Pentathlon Men's Individual,NOR,Modern Pentathlon,0,0,0,2,2
1912,Modern Pentathlon Men's Individual,RUS,Modern Pentathlon,0,0,0,5,5
1912,Modern Pentathlon Men's Individual,SWE,Modern Pentathlon,1,1,1,9,12
1912,Modern Pentathlon Men's Individual,USA,Modern Pentathlon,0,0,0,1,1
1920,Modern Pentathlon Men's Individual,DEN,Modern Pentathlon,0,0,0,4,4
1920,Modern Pentathlon Men's Individual,FIN,Modern Pentathlon,0,0,0,2,2
1920,Modern Pentathlon Men's Individual,FRA,Modern Pentathlon,0,0,0,4,4
1920,Modern Pentathlon Men's Individual,GBR,Modern Pentathlon,0,0,0,4,4
1920,Modern Pentathlon Men's Individual,ITA,Modern Pentathlon,0,0,0,1,1
1920,Modern Pentathlon Men's Individual,NOR,Modern Pentathlon,0,0,0,2,2
1920,Modern Pentathlon Men's Individual,SWE,Modern Pentathlon,1,1,1,1,4
1920,Modern Pentathlon Men's Individual,USA,Modern Pentathlon,0,0,0,2,2
1924,Modern Pentathlon Men's Individual,BEL,Modern Pentathlon,0,0,0,4,4
1924,Modern Pentathlon Men's Individual,DEN,Modern Pentathlon,0,0,0,3,3
1924,Modern Pentathlon Men's Individual,FIN,Modern Pentathlon,0,0,0,3,3
1924,Modern Pentathlon Men's Individual,FRA,Modern Pentathlon,0,0,0,4,4
1924,Modern Pentathlon Men's Individual,GBR,Modern Pentathlon,0,0,0,4,4
1924,Modern Pentathlon Men's Individual,ITA,Modern Pentathlon,0,0,0,4,4
1924,Modern Pentathlon Men's Individual,NED,Modern Pentathlon,0,0,0,4,4
1924,Modern Pentathlon Men's Individual,NOR,Modern Pentathlon,0,0,0,2,2
1924,Modern Pentathlon Men's Individual,SWE,Modern Pentathlon,1,1,1,1,4
1924,Modern Pentathlon Men's Individual,TCH,Modern Pentathlon,0,0,0,2,2
1924,Modern Pentathlon Men's Individual,USA,Modern Pentathlon,0,0,0,4,4
1928,Modern Pentathlon Men's Individual,BEL,Modern Pentathlon,0,0,0,3,3
1928,Modern Pentathlon Men's Individual,DEN,Modern Pentathlon,0,0,0,2,2
1928,Modern Pentathlon Men's Individual,FIN,Modern Pentathlon,0,0,0,3,3
1928,Modern Pentathlon Men's Individual,FRA,Modern Pentathlon,0,0,0,3,3
1928,Modern Pentathlon Men's Individual,GBR,Modern Pentathlon,0,0,0,3,3
1928,Modern Pentathlon Men's Individual,GER,Modern Pentathlon,0,0,1,2,3
1928,Modern Pentathlon Men's Individual,HUN,Modern Pentathlon,0,0,0,1,1
1928,Modern Pentathlon Men's Individual,ITA,Modern Pentathlon,0,0,0,3,3
1928,Modern Pentathlon Men's Individual,NED,Modern Pentathlon,0,0,0,3,3
1928,Modern Pentathlon Men's Individual,POL,Modern Pentathlon,0,0,0,3,3
1928,Modern Pentathlon Men's Individual,POR,Modern Pentathlon,0,0,0,1,1
1928,Modern Pentathlon Men's Individual,SWE,Modern Pentathlon,1,1,0,1,3
1928,Modern Pentathlon Men's Individual,TCH,Modern Pentathlon,0,0,0,3,3
1928,Modern Pentathlon Men's Individual,USA,Modern Pentathlon,0,0,0,3,3
1932,Modern Pentathlon Men's Individual,FRA,Modern Pentathlon,0,0,0,1,1
1932,Modern Pentathlon Men's Individual,GBR,Modern Pentathlon,0,0,0,3,3
1932,Modern Pentathlon Men's Individual,GER,Modern Pentathlon,0,0,0,3,3
1932,Modern Pentathlon Men's Individual,HUN,Modern Pentathlon,0,0,0,3,3
1932,Modern Pentathlon Men's Individual,ITA,Modern Pentathlon,0,0,0,3,3
1932,Modern Pentathlon Men's Individual,MEX,Modern Pentathlon,0,0,0,3,3
1932,Modern Pentathlon Men's Individual,NED,Modern Pentathlon,0,0,0,1,1
1932,Modern Pentathlon Men's Individual,POR,Modern Pentathlon,0,0,0,2,2
1932,Modern Pentathlon Men's Individual,SWE,Modern Pentathlon,1,1,0,1,3
1932,Modern Pentathlon Men's Individual,USA,Modern Pentathlon,0,0,1,2,3
1936,Modern Pentathlon Men's Individual,AUT,Modern Pentathlon,0,0,0,2,2
1936,Modern Pentathlon Men's Individual,BEL,Modern Pentathlon,0,0,0,3,3
1936,Modern Pentathlon Men's Individual,BRA,Modern Pentathlon,0,0,0,3,3
