Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2000,Modern Pentathlon Women's Individual,AUS,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,BLR,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,CHN,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,DEN,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,FRA,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,GBR,Modern Pentathlon,1,0,1,0,2
2000,Modern Pentathlon Women's Individual,GER,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,GRE,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,HUN,Modern Pentathlon,0,0,0,2,2
2000,Modern Pentathlon Women's Individual,ITA,Modern Pentathlon,0,0,0,2,2
2000,Modern Pentathlon Women's Individual,LAT,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,POL,Modern Pentathlon,0,0,0,2,2
2000,Modern Pentathlon Women's Individual,RSA,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,RUS,Modern Pentathlon,0,0,0,2,2
2000,Modern Pentathlon Women's Individual,SUI,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,SWE,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,UKR,Modern Pentathlon,0,0,0,1,1
2000,Modern Pentathlon Women's Individual,USA,Modern Pentathlon,0,1,0,1,2
2004,Modern Pentathlon Women's Individual,AUS,Modern Pentathlon,0,0,0,1,1
2004,Modern Pentathlon Women's Individual,BLR,Modern Pentathlon,0,0,0,2,2
2004,Modern Pentathlon Women's Individual,BRA,Modern Pentathlon,0,0,0,1,1
2004,Modern Pentathlon Women's Individual,CAN,Modern Pentathlon,0,0,0,2,2
2004,Modern Pentathlon Women's Individual,CHN,Modern Pentathlon,0,0,0,2,2
2004,Modern Pentathlon Women's Individual,CZE,Modern Pentathlon,0,0,0,1,1
2004,Modern Pentathlon Women's Individual,EGY,Modern Pentathlon,0,0,0,1,1
2004,Modern Pentathlon Women's Individual,FRA,Modern Pentathlon,0,0,0,2,2
2004,Modern Pentathlon Women's Individual,GBR,Modern Pentathlon,0,0,1,1,2
2004,Modern Pentathlon Women's Individual,GER,Modern Pentathlon,0,0,0,1,1
2004,Modern Pentathlon Women's Individual,GRE,Modern Pentathlon,0,0,0,1,1
2004,Modern Pentathlon Women's Individual,GUA,Modern Pentathlon,0,0,0,1,1
2004,Modern Pentathlon Women's Individual,HUN,Modern Pentathlon,1,0,0,1,2
2004,Modern Pentathlon Women's Individual,ITA,Modern Pentathlon,0,0,0,2,2
2004,Modern Pentathlon Women's Individual,KAZ,Modern Pentathlon,0,0,0,2,2
2004,Modern Pentathlon Women's Individual,KGZ,Modern Pentathlon,0,0,0,1,1
2004,Modern Pentathlon Women's Individual,LAT,Modern Pentathlon,0,1,0,0,1
2004,Modern Pentathlon Women's Individual,POL,Modern Pentathlon,0,0,0,2,2
2004,Modern Pentathlon Women's Individual,RUS,Modern Pentathlon,0,0,0,2,2
2004,Modern Pentathlon Women's Individual,UKR,Modern Pentathlon,0,0,0,1,1
2004,Modern Pentathlon Women's Individual,USA,Modern Pentathlon,0,0,0,2,2
2008,Modern Pentathlon Women's Individual,AUS,Modern Pentathlon,0,0,0,1,1
2008,Modern Pentathlon Women's Individual,BLR,Modern Pentathlon,0,0,0,2,2
2008,Modern Pentathlon Women's Individual,BRA,Modern Pentathlon,0,0,0,1,1
2008,Modern Pentathlon Women's Individual,CAN,Modern Pentathlon,0,0,0,2,2
2008,Modern Pentathlon Women's Individual,CHN,Modern Pentathlon,0,0,0,2,2
2008,Modern Pentathlon Women's Individual,CZE,Modern Pentathlon,0,0,0,1,1
2008,Modern Pentathlon Women's Individual,EGY,Modern Pentathlon,0,0,0,2,2
2008,Modern Pentathlon Women's Individual,FRA,Modern Pentathlon,0,0,0,1,1
2008,Modern Pentathlon Women's Individual,GBR,Modern Pentathlon,0,1,0,1,2
2008,Modern Pentathlon Women's Individual,GER,Modern Pentathlon,1,0,0,1,2
2008,Modern Pentathlon Women's Individual,GUA,Modern Pentathlon,0,0,0,1,1
2008,Modern Pentathlon Women's Individual,HUN,Modern Pentathlon,0,0,0,2,2
2008,Modern Pentathlon Women's Individual,ITA,Modern Pentathlon,0,0,0,2,2
2008,Modern Pentathlon Women's Individual,KAZ,Modern Pentathlon,0,0,0,2,2
2008,Modern Pentathlon Women's Individual,KOR,Modern Pentathlon,0,0,0,1,1
2008,Modern Pentathlon Women's Individual,LAT,Modern Pentathlon,0,0,0,1,1
2008,Modern Pentathlon Women's Individual,LTU,Modern Pentathlon,0,0,0,2,2
2008,Modern Pentathlon Women's Individual,MEX,Modern Pentathlon,0,0,0,1,1
2008,Modern Pentathlon Women's Individual,POL,Modern Pentathlon,0,0,0,2,2
2008,Modern Pentathlon Women's Individual,RUS,Modern Pentathlon,0,0,0,2,2
2008,Modern Pentathlon Women's Individual,SUI,Modern Pentathlon,0,0,0,1,1
2008,Modern Pentathlon Women's Individual,UKR,Modern Pentathlon,0,0,1,0,1
2008,Modern Pentathlon Women's Individual,USA,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,AUS,Modern Pentathlon,0,0,0,1,1
2012,Modern Pentathlon Women's Individual,BLR,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,BRA,Modern Pentathlon,0,0,1,0,1
2012,Modern Pentathlon Women's Individual,CAN,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,CHN,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,CZE,Modern Pentathlon,0,0,0,1,1
2012,Modern Pentathlon Women's Individual,EGY,Modern Pentathlon,0,0,0,1,1
2012,Modern Pentathlon Women's Individual,FRA,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,GBR,Modern Pentathlon,0,1,0,1,2
2012,Modern Pentathlon Women's Individual,GER,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,HUN,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,IRL,Modern Pentathlon,0,0,0,1,1
2012,Modern Pentathlon Women's Individual,ITA,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,JPN,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,KOR,Modern Pentathlon,0,0,0,1,1
2012,Modern Pentathlon Women's Individual,LAT,Modern Pentathlon,0,0,0,1,1
2012,Modern Pentathlon Women's Individual,LTU,Modern Pentathlon,1,0,0,1,2
2012,Modern Pentathlon Women's Individual,MEX,Modern Pentathlon,0,0,0,1,1
2012,Modern Pentathlon Women's Individual,POL,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,RUS,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,UKR,Modern Pentathlon,0,0,0,2,2
2012,Modern Pentathlon Women's Individual,USA,Modern Pentathlon,0,0,0,2,2
2016,Modern Pentathlon Women's Individual,ARG,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,AUS,Modern Pentathlon,1,0,0,0,1
2016,Modern Pentathlon Women's Individual,BLR,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,BRA,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,CAN,Modern Pentathlon,0,0,0,2,2
2016,Modern Pentathlon Women's Individual,CHN,Modern Pentathlon,0,0,0,2,2
2016,Modern Pentathlon Women's Individual,CUB,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,CZE,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,EGY,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,FRA,Modern Pentathlon,0,1,0,0,1
2016,Modern Pentathlon Women's Individual,GBR,Modern Pentathlon,0,0,0,2,2
2016,Modern Pentathlon Women's Individual,GER,Modern Pentathlon,0,0,0,2,2
2016,Modern Pentathlon Women's Individual,GUA,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,HUN,Modern Pentathlon,0,0,0,2,2
2016,Modern Pentathlon Women's Individual,IRL,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,ITA,Modern Pentathlon,0,0,0,2,2
2016,Modern Pentathlon Women's Individual,JPN,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,KAZ,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,KOR,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,LTU,Modern Pentathlon,0,0,0,2,2
2016,Modern Pentathlon Women's Individual,MEX,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,POL,Modern Pentathlon,0,0,1,1,2
2016,Modern Pentathlon Women's Individual,RUS,Modern Pentathlon,0,0,0,2,2
2016,Modern Pentathlon Women's Individual,TUR,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,UKR,Modern Pentathlon,0,0,0,1,1
2016,Modern Pentathlon Women's Individual,USA,Modern Pentathlon,0,0,0,2,2
