Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1984,Rhythmic Gymnastics Women's Individual,AUS,Rhythmic Gymnastics,0,0,0,2,2
1984,Rhythmic Gymnastics Women's Individual,BEL,Rhythmic Gymnastics,0,0,0,1,1
1984,Rhythmic Gymnastics Women's Individual,BRA,Rhythmic Gymnastics,0,0,0,1,1
1984,Rhythmic Gymnastics Women's Individual,CAN,Rhythmic Gymnastics,1,0,0,1,2
1984,Rhythmic Gymnastics Women's Individual,CHN,Rhythmic Gymnastics,0,0,0,2,2
1984,Rhythmic Gymnastics Women's Individual,ESP,Rhythmic Gymnastics,0,0,0,2,2
1984,Rhythmic Gymnastics Women's Individual,FRA,Rhythmic Gymnastics,0,0,0,1,1
1984,Rhythmic Gymnastics Women's Individual,FRG,Rhythmic Gymnastics,0,0,1,1,2
1984,Rhythmic Gymnastics Women's Individual,GBR,Rhythmic Gymnastics,0,0,0,2,2
1984,Rhythmic Gymnastics Women's Individual,ISR,Rhythmic Gymnastics,0,0,0,1,1
1984,Rhythmic Gymnastics Women's Individual,ITA,Rhythmic Gymnastics,0,0,0,2,2
1984,Rhythmic Gymnastics Women's Individual,JPN,Rhythmic Gymnastics,0,0,0,2,2
1984,Rhythmic Gymnastics Women's Individual,NOR,Rhythmic Gymnastics,0,0,0,1,1
1984,Rhythmic Gymnastics Women's Individual,NZL,Rhythmic Gymnastics,0,0,0,1,1
1984,Rhythmic Gymnastics Women's Individual,POR,Rhythmic Gymnastics,0,0,0,2,2
1984,Rhythmic Gymnastics Women's Individual,ROU,Rhythmic Gymnastics,0,1,0,1,2
1984,Rhythmic Gymnastics Women's Individual,SUI,Rhythmic Gymnastics,0,0,0,2,2
1984,Rhythmic Gymnastics Women's Individual,SWE,Rhythmic Gymnastics,0,0,0,1,1
1984,Rhythmic Gymnastics Women's Individual,USA,Rhythmic Gymnastics,0,0,0,2,2
1984,Rhythmic Gymnastics Women's Individual,YUG,Rhythmic Gymnastics,0,0,0,2,2
