Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Men's Double Sculls,CHN,Rowing,0,0,0,2,2
2024,Men's Double Sculls,CRO,Rowing,0,0,0,2,2
2024,Men's Double Sculls,ESP,Rowing,0,0,0,2,2
2024,Men's Double Sculls,FRA,Rowing,0,0,0,2,2
2024,Men's Double Sculls,GER,Rowing,0,0,0,2,2
2024,Men's Double Sculls,IRL,Rowing,0,0,2,0,2
2024,Men's Double Sculls,ITA,Rowing,0,0,0,2,2
2024,Men's Double Sculls,NED,Rowing,0,2,0,0,2
2024,Men's Double Sculls,NOR,Rowing,0,0,0,2,2
2024,Men's Double Sculls,NZL,Rowing,0,0,0,2,2
2024,Men's Double Sculls,ROU,Rowing,2,0,0,0,2
2024,Men's Double Sculls,SRB,Rowing,0,0,0,2,2
2024,Men's Double Sculls,USA,Rowing,0,0,0,2,2
