Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1976,Rowing Men's Quadruple Sculls,BUL,Rowing,0,0,0,4,4
1976,Rowing Men's Quadruple Sculls,CAN,Rowing,0,0,0,4,4
1976,Rowing Men's Quadruple Sculls,CUB,Rowing,0,0,0,5,5
1976,Rowing Men's Quadruple Sculls,FRA,Rowing,0,0,0,4,4
1976,Rowing Men's Quadruple Sculls,FRG,Rowing,0,0,0,4,4
1976,Rowing Men's Quadruple Sculls,GBR,Rowing,0,0,0,4,4
1976,Rowing Men's Quadruple Sculls,GDR,Rowing,4,0,0,0,4
1976,Rowing Men's Quadruple Sculls,SUI,Rowing,0,0,0,4,4
1976,Rowing Men's Quadruple Sculls,TCH,Rowing,0,0,4,0,4
1976,Rowing Men's Quadruple Sculls,URS,Rowing,0,4,0,0,4
1976,Rowing Men's Quadruple Sculls,USA,Rowing,0,0,0,4,4
1980,Rowing Men's Quadruple Sculls,AUT,Rowing,0,0,0,4,4
1980,Rowing Men's Quadruple Sculls,BRA,Rowing,0,0,0,4,4
1980,Rowing Men's Quadruple Sculls,BUL,Rowing,0,0,4,0,4
1980,Rowing Men's Quadruple Sculls,CUB,Rowing,0,0,0,4,4
1980,Rowing Men's Quadruple Sculls,DEN,Rowing,0,0,0,4,4
1980,Rowing Men's Quadruple Sculls,ESP,Rowing,0,0,0,4,4
1980,Rowing Men's Quadruple Sculls,FRA,Rowing,0,0,0,4,4
1980,Rowing Men's Quadruple Sculls,GDR,Rowing,4,0,0,0,4
1980,Rowing Men's Quadruple Sculls,NED,Rowing,0,0,0,4,4
1980,Rowing Men's Quadruple Sculls,POL,Rowing,0,0,0,4,4
1980,Rowing Men's Quadruple Sculls,URS,Rowing,0,4,0,0,4
1980,Rowing Men's Quadruple Sculls,YUG,Rowing,0,0,0,4,4
1984,Rowing Men's Quadruple Sculls,ARG,Rowing,0,0,0,4,4
1984,Rowing Men's Quadruple Sculls,AUS,Rowing,0,4,0,0,4
1984,Rowing Men's Quadruple Sculls,CAN,Rowing,0,0,4,0,4
1984,Rowing Men's Quadruple Sculls,ESP,Rowing,0,0,0,4,4
1984,Rowing Men's Quadruple Sculls,FRA,Rowing,0,0,0,4,4
1984,Rowing Men's Quadruple Sculls,FRG,Rowing,4,0,0,0,4
1984,Rowing Men's Quadruple Sculls,ITA,Rowing,0,0,0,4,4
1984,Rowing Men's Quadruple Sculls,NED,Rowing,0,0,0,4,4
1984,Rowing Men's Quadruple Sculls,NOR,Rowing,0,0,0,4,4
1984,Rowing Men's Quadruple Sculls,USA,Rowing,0,0,0,4,4
1988,Rowing Men's Quadruple Sculls,ARG,Rowing,0,0,0,4,4
1988,Rowing Men's Quadruple Sculls,AUS,Rowing,0,0,0,4,4
1988,Rowing Men's Quadruple Sculls,CAN,Rowing,0,0,0,4,4
1988,Rowing Men's Quadruple Sculls,FRG,Rowing,0,0,0,4,4
1988,Rowing Men's Quadruple Sculls,GDR,Rowing,0,0,4,0,4
1988,Rowing Men's Quadruple Sculls,HUN,Rowing,0,0,0,4,4
1988,Rowing Men's Quadruple Sculls,ITA,Rowing,4,0,0,0,4
1988,Rowing Men's Quadruple Sculls,NED,Rowing,0,0,0,4,4
1988,Rowing Men's Quadruple Sculls,NOR,Rowing,0,4,0,0,4
1988,Rowing Men's Quadruple Sculls,POL,Rowing,0,0,0,4,4
1988,Rowing Men's Quadruple Sculls,TCH,Rowing,0,0,0,4,4
1988,Rowing Men's Quadruple Sculls,URS,Rowing,0,0,0,4,4
1988,Rowing Men's Quadruple Sculls,USA,Rowing,0,0,0,4,4
1992,Rowing Men's Quadruple Sculls,AUS,Rowing,0,0,0,4,4
1992,Rowing Men's Quadruple Sculls,AUT,Rowing,0,0,0,4,4
1992,Rowing Men's Quadruple Sculls,BEL,Rowing,0,0,0,4,4
1992,Rowing Men's Quadruple Sculls,ESP,Rowing,0,0,0,4,4
1992,Rowing Men's Quadruple Sculls,EUN,Rowing,0,0,0,4,4
1992,Rowing Men's Quadruple Sculls,FRA,Rowing,0,0,0,4,4
