Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1976,Rowing Women's Coxed Fours,BUL,Rowing,0,5,0,0,5
1976,Rowing Women's Coxed Fours,CAN,Rowing,0,0,0,5,5
1976,Rowing Women's Coxed Fours,GBR,Rowing,0,0,0,5,5
1976,Rowing Women's Coxed Fours,GDR,Rowing,5,0,0,0,5
1976,Rowing Women's Coxed Fours,NED,Rowing,0,0,0,5,5
1976,Rowing Women's Coxed Fours,ROU,Rowing,0,0,0,5,5
1976,Rowing Women's Coxed Fours,URS,Rowing,0,0,5,0,5
1976,Rowing Women's Coxed Fours,USA,Rowing,0,0,0,5,5
1980,Rowing Women's Coxed Fours,AUS,Rowing,0,0,0,5,5
1980,Rowing Women's Coxed Fours,BUL,Rowing,0,5,0,0,5
1980,Rowing Women's Coxed Fours,GBR,Rowing,0,0,0,5,5
1980,Rowing Women's Coxed Fours,GDR,Rowing,5,0,0,0,5
1980,Rowing Women's Coxed Fours,ROU,Rowing,0,0,0,5,5
1980,Rowing Women's Coxed Fours,URS,Rowing,0,0,6,0,6
1984,Rowing Women's Coxed Fours,AUS,Rowing,0,0,5,0,5
1984,Rowing Women's Coxed Fours,CAN,Rowing,0,5,0,0,5
1984,Rowing Women's Coxed Fours,CHN,Rowing,0,0,0,5,5
1984,Rowing Women's Coxed Fours,FRG,Rowing,0,0,0,5,5
1984,Rowing Women's Coxed Fours,GBR,Rowing,0,0,0,5,5
1984,Rowing Women's Coxed Fours,KOR,Rowing,0,0,0,5,5
1984,Rowing Women's Coxed Fours,NED,Rowing,0,0,0,5,5
1984,Rowing Women's Coxed Fours,ROU,Rowing,5,0,0,0,5
1984,Rowing Women's Coxed Fours,USA,Rowing,0,0,0,5,5
1988,Rowing Women's Coxed Fours,BUL,Rowing,0,0,0,8,8
1988,Rowing Women's Coxed Fours,CAN,Rowing,0,0,0,5,5
1988,Rowing Women's Coxed Fours,CHN,Rowing,0,5,0,0,5
1988,Rowing Women's Coxed Fours,GBR,Rowing,0,0,0,5,5
1988,Rowing Women's Coxed Fours,GDR,Rowing,5,0,0,0,5
1988,Rowing Women's Coxed Fours,KOR,Rowing,0,0,0,5,5
1988,Rowing Women's Coxed Fours,POL,Rowing,0,0,0,5,5
1988,Rowing Women's Coxed Fours,ROU,Rowing,0,0,7,0,7
1988,Rowing Women's Coxed Fours,URS,Rowing,0,0,0,5,5
1988,Rowing Women's Coxed Fours,USA,Rowing,0,0,0,5,5
