Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1996,Rowing Women's Lightweight Double Sculls,AUS,Rowing,0,0,2,0,2
1996,Rowing Women's Lightweight Double Sculls,AUT,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,CAN,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,CHN,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,DEN,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,ESP,Rowing,0,0,0,3,3
1996,Rowing Women's Lightweight Double Sculls,FRA,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,GER,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,GRE,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,ITA,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,JPN,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,MEX,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,NED,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,ROU,Rowing,2,0,0,0,2
1996,Rowing Women's Lightweight Double Sculls,SWE,Rowing,0,0,0,2,2
1996,Rowing Women's Lightweight Double Sculls,USA,Rowing,0,2,0,0,2
2000,Rowing Women's Lightweight Double Sculls,ARG,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,AUS,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,BUL,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,CAN,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,CHN,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,CUB,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,FRA,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,GER,Rowing,0,2,0,0,2
2000,Rowing Women's Lightweight Double Sculls,GRE,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,HUN,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,JPN,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,KOR,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,MEX,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,NED,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,POL,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,ROU,Rowing,2,0,0,0,2
2000,Rowing Women's Lightweight Double Sculls,SUI,Rowing,0,0,0,2,2
2000,Rowing Women's Lightweight Double Sculls,USA,Rowing,0,0,2,0,2
2004,Rowing Women's Lightweight Double Sculls,ARG,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,AUS,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,CAN,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,CHN,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,CUB,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,DEN,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,ESP,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,GBR,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,GER,Rowing,0,2,0,0,2
2004,Rowing Women's Lightweight Double Sculls,GRE,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,HUN,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,JPN,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,MEX,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,NED,Rowing,0,0,2,0,2
2004,Rowing Women's Lightweight Double Sculls,POL,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,ROU,Rowing,2,0,0,0,2
2004,Rowing Women's Lightweight Double Sculls,USA,Rowing,0,0,0,2,2
2004,Rowing Women's Lightweight Double Sculls,VIE,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,AUS,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,BRA,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,CAN,Rowing,0,0,2,0,2
2008,Rowing Women's Lightweight Double Sculls,CHN,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,CUB,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,DEN,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,FIN,Rowing,0,2,0,0,2
2008,Rowing Women's Lightweight Double Sculls,GBR,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,GER,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,GRE,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,JPN,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,KAZ,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,KOR,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,MEX,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,NED,Rowing,2,0,0,0,2
2008,Rowing Women's Lightweight Double Sculls,RSA,Rowing,0,0,0,2,2
2008,Rowing Women's Lightweight Double Sculls,USA,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,ARG,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,AUS,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,BRA,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,CAN,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,CHN,Rowing,0,2,0,0,2
2012,Rowing Women's Lightweight Double Sculls,CUB,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,DEN,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,EGY,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,GBR,Rowing,2,0,0,0,2
2012,Rowing Women's Lightweight Double Sculls,GER,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,GRE,Rowing,0,0,2,0,2
2012,Rowing Women's Lightweight Double Sculls,JPN,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,KOR,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,NED,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,NZL,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,USA,Rowing,0,0,0,2,2
2012,Rowing Women's Lightweight Double Sculls,VIE,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,BRA,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,CAN,Rowing,0,2,0,0,2
2016,Rowing Women's Lightweight Double Sculls,CHI,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,CHN,Rowing,0,0,2,0,2
2016,Rowing Women's Lightweight Double Sculls,CUB,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,DEN,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,GBR,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,GER,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,HKG,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,IRL,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,ITA,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,JPN,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,NED,Rowing,2,0,0,0,2
2016,Rowing Women's Lightweight Double Sculls,NZL,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,POL,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,ROU,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,RSA,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,TUN,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,USA,Rowing,0,0,0,2,2
2016,Rowing Women's Lightweight Double Sculls,VIE,Rowing,0,0,0,2,2
