Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1988,Rowing Women's Quadruple Sculls,BEL,Rowing,0,0,0,4,4
1988,Rowing Women's Quadruple Sculls,BUL,Rowing,0,0,0,4,4
1988,Rowing Women's Quadruple Sculls,FRA,Rowing,0,0,0,4,4
1988,Rowing Women's Quadruple Sculls,GDR,Rowing,4,0,0,0,4
1988,Rowing Women's Quadruple Sculls,HUN,Rowing,0,0,0,4,4
1988,Rowing Women's Quadruple Sculls,NED,Rowing,0,0,0,4,4
1988,Rowing Women's Quadruple Sculls,ROU,Rowing,0,0,5,0,5
1988,Rowing Women's Quadruple Sculls,TCH,Rowing,0,0,0,4,4
1988,Rowing Women's Quadruple Sculls,URS,Rowing,0,4,0,0,4
1988,Rowing Women's Quadruple Sculls,USA,Rowing,0,0,0,4,4
1992,Rowing Women's Quadruple Sculls,BUL,Rowing,0,0,0,4,4
1992,Rowing Women's Quadruple Sculls,CHN,Rowing,0,0,0,4,4
1992,Rowing Women's Quadruple Sculls,DEN,Rowing,0,0,0,4,4
1992,Rowing Women's Quadruple Sculls,EUN,Rowing,0,0,4,0,4
1992,Rowing Women's Quadruple Sculls,GER,Rowing,4,0,0,0,4
1992,Rowing Women's Quadruple Sculls,NED,Rowing,0,0,0,4,4
1992,Rowing Women's Quadruple Sculls,ROU,Rowing,0,4,0,0,4
1992,Rowing Women's Quadruple Sculls,TCH,Rowing,0,0,0,4,4
1992,Rowing Women's Quadruple Sculls,USA,Rowing,0,0,0,4,4
1996,Rowing Women's Quadruple Sculls,AUS,Rowing,0,0,0,4,4
1996,Rowing Women's Quadruple Sculls,CAN,Rowing,0,0,4,0,4
1996,Rowing Women's Quadruple Sculls,CHN,Rowing,0,0,0,4,4
1996,Rowing Women's Quadruple Sculls,DEN,Rowing,0,0,0,4,4
1996,Rowing Women's Quadruple Sculls,GER,Rowing,4,0,0,0,4
1996,Rowing Women's Quadruple Sculls,NED,Rowing,0,0,0,4,4
1996,Rowing Women's Quadruple Sculls,ROU,Rowing,0,0,0,4,4
1996,Rowing Women's Quadruple Sculls,RUS,Rowing,0,0,0,4,4
1996,Rowing Women's Quadruple Sculls,UKR,Rowing,0,4,0,0,4
1996,Rowing Women's Quadruple Sculls,USA,Rowing,0,0,0,4,4
2000,Rowing Women's Quadruple Sculls,AUS,Rowing,0,0,0,4,4
2000,Rowing Women's Quadruple Sculls,CHN,Rowing,0,0,0,4,4
2000,Rowing Women's Quadruple Sculls,DEN,Rowing,0,0,0,4,4
2000,Rowing Women's Quadruple Sculls,GBR,Rowing,0,4,0,0,4
2000,Rowing Women's Quadruple Sculls,GER,Rowing,4,0,0,0,4
2000,Rowing Women's Quadruple Sculls,ROU,Rowing,0,0,0,4,4
2000,Rowing Women's Quadruple Sculls,RUS,Rowing,0,0,4,0,4
2000,Rowing Women's Quadruple Sculls,UKR,Rowing,0,0,0,4,4
2000,Rowing Women's Quadruple Sculls,USA,Rowing,0,0,0,4,4
2004,Rowing Women's Quadruple Sculls,AUS,Rowing,0,0,4,0,4
2004,Rowing Women's Quadruple Sculls,BLR,Rowing,0,0,0,4,4
2004,Rowing Women's Quadruple Sculls,DEN,Rowing,0,0,0,4,4
2004,Rowing Women's Quadruple Sculls,GBR,Rowing,0,4,0,0,4
2004,Rowing Women's Quadruple Sculls,GER,Rowing,4,0,0,0,4
2004,Rowing Women's Quadruple Sculls,RUS,Rowing,0,0,0,4,4
2004,Rowing Women's Quadruple Sculls,UKR,Rowing,0,0,0,4,4
2004,Rowing Women's Quadruple Sculls,USA,Rowing,0,0,0,4,4
2008,Rowing Women's Quadruple Sculls,AUS,Rowing,0,0,0,4,4
2008,Rowing Women's Quadruple Sculls,CAN,Rowing,0,0,0,4,4
2008,Rowing Women's Quadruple Sculls,CHN,Rowing,4,0,0,0,4
2008,Rowing Women's Quadruple Sculls,GBR,Rowing,0,4,0,0,4
2008,Rowing Women's Quadruple Sculls,GER,Rowing,0,0,4,0,4
2008,Rowing Women's Quadruple Sculls,RUS,Rowing,0,0,0,4,4
2008,Rowing Women's Quadruple Sculls,UKR,Rowing,0,0,0,4,4
2008,Rowing Women's Quadruple Sculls,USA,Rowing,0,0,0,4,4
2012,Rowing Women's Quadruple Sculls,AUS,Rowing,0,0,0,4,4
2012,Rowing Women's Quadruple Sculls,CHN,Rowing,0,0,0,4,4
2012,Rowing Women's Quadruple Sculls,GBR,Rowing,0,0,0,4,4
2012,Rowing Women's Quadruple Sculls,GER,Rowing,0,4,0,0,4
2012,Rowing Women's Quadruple Sculls,NZL,Rowing,0,0,0,4,4
2012,Rowing Women's Quadruple Sculls,POL,Rowing,0,0,0,4,4
2012,Rowing Women's Quadruple Sculls,UKR,Rowing,4,0,0,0,4
2012,Rowing Women's Quadruple Sculls,USA,Rowing,0,0,4,0,4
2016,Rowing Women's Quadruple Sculls,AUS,Rowing,0,0,0,4,4
2016,Rowing Women's Quadruple Sculls,CHN,Rowing,0,0,0,4,4
2016,Rowing Women's Quadruple Sculls,GER,Rowing,4,0,0,0,4
2016,Rowing Women's Quadruple Sculls,NED,Rowing,0,4,0,0,4
2016,Rowing Women's Quadruple Sculls,POL,Rowing,0,0,4,0,4
2016,Rowing Women's Quadruple Sculls,UKR,Rowing,0,0,0,4,4
2016,Rowing Women's Quadruple Sculls,USA,Rowing,0,0,0,4,4
