Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Pair Team,AUS,Rowing,0,0,0,2,2
2020,Women's Pair Team,CAN,Rowing,0,0,2,0,2
2020,Women's Pair Team,CHN,Rowing,0,0,0,2,2
2020,Women's Pair Team,DEN,Rowing,0,0,0,2,2
2020,Women's Pair Team,ESP,Rowing,0,0,0,2,2
2020,Women's Pair Team,GBR,Rowing,0,0,0,2,2
2020,Women's Pair Team,GRE,Rowing,0,0,0,2,2
2020,Women's Pair Team,IRL,Rowing,0,0,0,2,2
2020,Women's Pair Team,ITA,Rowing,0,0,0,2,2
2020,Women's Pair Team,NZL,Rowing,2,0,0,0,2
2020,Women's Pair Team,ROC,Rowing,0,2,0,0,2
2020,Women's Pair Team,ROU,Rowing,0,0,0,2,2
2020,Women's Pair Team,USA,Rowing,0,0,0,2,2
