Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Women's Pair,AUS,Rowing,0,0,2,0,2
2024,Women's Pair,CHI,Rowing,0,0,0,2,2
2024,Women's Pair,CZE,Rowing,0,0,0,2,2
2024,Women's Pair,DEN,Rowing,0,0,0,2,2
2024,Women's Pair,ESP,Rowing,0,0,0,2,2
2024,Women's Pair,GBR,Rowing,0,0,0,2,2
2024,Women's Pair,GRE,Rowing,0,0,0,2,2
2024,Women's Pair,IRL,Rowing,0,0,0,2,2
2024,Women's Pair,LTU,Rowing,0,0,0,2,2
2024,Women's Pair,NED,Rowing,2,0,0,0,2
2024,Women's Pair,NZL,Rowing,0,0,0,2,2
2024,Women's Pair,ROU,Rowing,0,2,0,0,2
2024,Women's Pair,USA,Rowing,0,0,0,2,2
