Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Single Sculls,AUT,Rowing,0,0,1,0,1
2020,Women's Single Sculls,BLR,Rowing,0,0,0,1,1
2020,Women's Single Sculls,CAN,Rowing,0,0,0,1,1
2020,Women's Single Sculls,CHN,Rowing,0,0,0,1,1
2020,Women's Single Sculls,CUB,Rowing,0,0,0,1,1
2020,Women's Single Sculls,GBR,Rowing,0,0,0,1,1
2020,Women's Single Sculls,GRE,Rowing,0,0,0,1,1
2020,Women's Single Sculls,HKG,Rowing,0,0,0,1,1
2020,Women's Single Sculls,IRI,Rowing,0,0,0,1,1
2020,Women's Single Sculls,IRL,Rowing,0,0,0,1,1
2020,Women's Single Sculls,KOR,Rowing,0,0,0,1,1
2020,Women's Single Sculls,MAR,Rowing,0,0,0,1,1
2020,Women's Single Sculls,MEX,Rowing,0,0,0,1,1
2020,Women's Single Sculls,NAM,Rowing,0,0,0,1,1
2020,Women's Single Sculls,NCA,Rowing,0,0,0,1,1
2020,Women's Single Sculls,NED,Rowing,0,0,0,1,1
2020,Women's Single Sculls,NGR,Rowing,0,0,0,1,1
2020,Women's Single Sculls,NZL,Rowing,1,0,0,0,1
2020,Women's Single Sculls,PAR,Rowing,0,0,0,1,1
2020,Women's Single Sculls,PUR,Rowing,0,0,0,1,1
2020,Women's Single Sculls,QAT,Rowing,0,0,0,1,1
2020,Women's Single Sculls,ROC,Rowing,0,1,0,0,1
2020,Women's Single Sculls,SGP,Rowing,0,0,0,1,1
2020,Women's Single Sculls,SRB,Rowing,0,0,0,1,1
2020,Women's Single Sculls,SUD,Rowing,0,0,0,1,1
2020,Women's Single Sculls,SUI,Rowing,0,0,0,1,1
2020,Women's Single Sculls,SWE,Rowing,0,0,0,1,1
2020,Women's Single Sculls,TOG,Rowing,0,0,0,1,1
2020,Women's Single Sculls,TPE,Rowing,0,0,0,1,1
2020,Women's Single Sculls,TTO,Rowing,0,0,0,1,1
2020,Women's Single Sculls,UGA,Rowing,0,0,0,1,1
2020,Women's Single Sculls,USA,Rowing,0,0,0,1,1
2024,Women's Single Sculls,AIN,Rowing,0,0,0,1,1
2024,Women's Single Sculls,ALG,Rowing,0,0,0,1,1
2024,Women's Single Sculls,AUS,Rowing,0,0,0,1,1
2024,Women's Single Sculls,AUT,Rowing,0,0,0,1,1
2024,Women's Single Sculls,AZE,Rowing,0,0,0,1,1
2024,Women's Single Sculls,BRA,Rowing,0,0,0,1,1
2024,Women's Single Sculls,BUL,Rowing,0,0,0,1,1
2024,Women's Single Sculls,CUB,Rowing,0,0,0,1,1
2024,Women's Single Sculls,ESP,Rowing,0,0,0,1,1
2024,Women's Single Sculls,GER,Rowing,0,0,0,1,1
2024,Women's Single Sculls,IRI,Rowing,0,0,0,1,1
2024,Women's Single Sculls,KUW,Rowing,0,0,0,1,1
2024,Women's Single Sculls,LTU,Rowing,0,0,1,0,1
2024,Women's Single Sculls,MAR,Rowing,0,0,0,1,1
2024,Women's Single Sculls,MEX,Rowing,0,0,0,1,1
2024,Women's Single Sculls,NCA,Rowing,0,0,0,1,1
2024,Women's Single Sculls,NED,Rowing,1,0,0,0,1
2024,Women's Single Sculls,NZL,Rowing,0,1,0,0,1
2024,Women's Single Sculls,PAR,Rowing,0,0,0,1,1
2024,Women's Single Sculls,PER,Rowing,0,0,0,1,1
2024,Women's Single Sculls,PHI,Rowing,0,0,0,1,1
2024,Women's Single Sculls,RSA,Rowing,0,0,0,1,1
2024,Women's Single Sculls,SGP,Rowing,0,0,0,1,1
2024,Women's Single Sculls,SLO,Rowing,0,0,0,1,1
2024,Women's Single Sculls,SRB,Rowing,0,0,0,1,1
2024,Women's Single Sculls,SUI,Rowing,0,0,0,1,1
2024,Women's Single Sculls,TOG,Rowing,0,0,0,1,1
2024,Women's Single Sculls,TUR,Rowing,0,0,0,1,1
2024,Women's Single Sculls,UGA,Rowing,0,0,0,1,1
2024,Women's Single Sculls,USA,Rowing,0,0,0,1,1
2024,Women's Single Sculls,UZB,Rowing,0,0,0,1,1
2024,Women's Single Sculls,VIE,Rowing,0,0,0,1,1
