Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men Team,ARG,Rugby Sevens,0,0,13,0,13
2020,Men Team,AUS,Rugby Sevens,0,0,0,13,13
2020,Men Team,CAN,Rugby Sevens,0,0,0,13,13
2020,Men Team,FIJ,Rugby Sevens,13,0,0,0,13
2020,Men Team,GBR,Rugby Sevens,0,0,0,13,13
2020,Men Team,IRL,Rugby Sevens,0,0,0,13,13
2020,Men Team,JPN,Rugby Sevens,0,0,0,13,13
2020,Men Team,KEN,Rugby Sevens,0,0,0,13,13
2020,Men Team,KOR,Rugby Sevens,0,0,0,13,13
2020,Men Team,NZL,Rugby Sevens,0,13,0,0,13
2020,Men Team,RSA,Rugby Sevens,0,0,0,13,13
2020,Men Team,USA,Rugby Sevens,0,0,0,13,13
