Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Men,ARG,Rugby Sevens,0,0,0,14,14
2024,Men,AUS,Rugby Sevens,0,0,0,12,12
2024,Men,FIJ,Rugby Sevens,0,14,0,0,14
2024,Men,FRA,Rugby Sevens,13,0,0,0,13
2024,Men,IRL,Rugby Sevens,0,0,0,14,14
2024,Men,JPN,Rugby Sevens,0,0,0,13,13
2024,Men,KEN,Rugby Sevens,0,0,0,13,13
2024,Men,NZL,Rugby Sevens,0,0,0,13,13
2024,Men,RSA,Rugby Sevens,0,0,13,0,13
2024,Men,SAM,Rugby Sevens,0,0,0,12,12
2024,Men,URU,Rugby Sevens,0,0,0,14,14
2024,Men,USA,Rugby Sevens,0,0,0,14,14
