Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1900,Rugby Men's Rugby,FRA,Rugby,15,0,0,0,15
1900,Rugby Men's Rugby,GBR,Rugby,0,15,0,0,15
1900,Rugby Men's Rugby,GER,Rugby,0,15,0,0,15
1900,Rugby Men's Rugby,HAI,Rugby,1,0,0,0,1
1900,Rugby Men's Rugby,USA,Rugby,1,0,0,0,1
1908,Rugby Men's Rugby,ANZ,Rugby,15,0,0,0,15
1908,Rugby Men's Rugby,GBR,Rugby,0,15,0,0,15
1920,Rugby Men's Rugby,FRA,Rugby,0,15,0,0,15
1920,Rugby Men's Rugby,USA,Rugby,15,0,0,0,15
1924,Rugby Men's Rugby,FRA,Rugby,0,19,0,0,19
1924,Rugby Men's Rugby,ROU,Rugby,0,0,16,0,16
1924,Rugby Men's Rugby,USA,Rugby,19,0,0,0,19
