Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's One Person Dinghy (Heavyweight) - Finn,ARG,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,AUS,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,BRA,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,CAN,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,CHN,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,ESP,Sailing,0,0,1,0,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,GBR,Sailing,1,0,0,0,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,GRE,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,HUN,Sailing,0,1,0,0,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,JPN,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,MEX,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,NED,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,NOR,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,NZL,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,RSA,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,SWE,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,TUR,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,USA,Sailing,0,0,0,1,1
2020,Men's One Person Dinghy (Heavyweight) - Finn,VEN,Sailing,0,0,0,1,1
