Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Men's Windsurfer - RS:X,ALG,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,ARG,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,BLR,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,CHN,Sailing,0,0,1,0,1
2020,Men's Windsurfer - RS:X,CYP,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,CZE,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,ESP,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,FRA,Sailing,0,1,0,0,1
2020,Men's Windsurfer - RS:X,GBR,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,GRE,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,HKG,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,ISR,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,ITA,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,JPN,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,KOR,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,LTU,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,MEX,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,NED,Sailing,1,0,0,0,1
2020,Men's Windsurfer - RS:X,NOR,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,POL,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,ROC,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,SUI,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,THA,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,TUR,Sailing,0,0,0,1,1
2020,Men's Windsurfer - RS:X,USA,Sailing,0,0,0,1,1
