Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Men's Windsurfing,ALG,Sailing,0,0,0,1,1
2024,Men's Windsurfing,ARG,Sailing,0,0,0,1,1
2024,Men's Windsurfing,ARU,Sailing,0,0,0,1,1
2024,Men's Windsurfing,AUS,Sailing,0,1,0,0,1
2024,Men's Windsurfing,BRA,Sailing,0,0,0,1,1
2024,Men's Windsurfing,CHN,Sailing,0,0,0,1,1
2024,Men's Windsurfing,DEN,Sailing,0,0,0,1,1
2024,Men's Windsurfing,ESP,Sailing,0,0,0,1,1
2024,Men's Windsurfing,FIN,Sailing,0,0,0,1,1
2024,Men's Windsurfing,FRA,Sailing,0,0,0,1,1
2024,Men's Windsurfing,GBR,Sailing,0,0,0,1,1
2024,Men's Windsurfing,GER,Sailing,0,0,0,1,1
2024,Men's Windsurfing,GRE,Sailing,0,0,0,1,1
2024,Men's Windsurfing,HKG,Sailing,0,0,0,1,1
2024,Men's Windsurfing,ISR,Sailing,1,0,0,0,1
2024,Men's Windsurfing,ITA,Sailing,0,0,0,1,1
2024,Men's Windsurfing,JPN,Sailing,0,0,0,1,1
2024,Men's Windsurfing,LTU,Sailing,0,0,0,1,1
2024,Men's Windsurfing,NED,Sailing,0,0,1,0,1
2024,Men's Windsurfing,NZL,Sailing,0,0,0,1,1
2024,Men's Windsurfing,POL,Sailing,0,0,0,1,1
2024,Men's Windsurfing,SUI,Sailing,0,0,0,1,1
2024,Men's Windsurfing,SVK,Sailing,0,0,0,1,1
2024,Men's Windsurfing,USA,Sailing,0,0,0,1,1
