Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2012,Sailing Men's Skiff,AUS,Sailing,2,0,0,0,2
2012,Sailing Men's Skiff,AUT,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,BER,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,CAN,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,CRO,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,DEN,Sailing,0,0,2,0,2
2012,Sailing Men's Skiff,ESP,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,FIN,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,FRA,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,GBR,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,GER,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,GRE,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,IRL,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,ITA,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,JPN,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,NZL,Sailing,0,2,0,0,2
2012,Sailing Men's Skiff,POL,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,POR,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,SWE,Sailing,0,0,0,2,2
2012,Sailing Men's Skiff,USA,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,ARG,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,AUS,Sailing,0,2,0,0,2
2016,Sailing Men's Skiff,AUT,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,BEL,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,BRA,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,CHI,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,CRO,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,DEN,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,ESP,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,FRA,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,GBR,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,GER,Sailing,0,0,2,0,2
2016,Sailing Men's Skiff,IRL,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,ITA,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,JPN,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,NZL,Sailing,2,0,0,0,2
2016,Sailing Men's Skiff,POL,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,POR,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,SUI,Sailing,0,0,0,2,2
2016,Sailing Men's Skiff,USA,Sailing,0,0,0,2,2
