Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1988,Sailing Men's Two Person Dinghy,ARG,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,AUT,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,BRA,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,CAN,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,CHN,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,CYP,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,DEN,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,ESP,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,FIN,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,FRA,Sailing,2,0,0,0,2
1988,Sailing Men's Two Person Dinghy,FRG,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,GBR,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,GDR,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,HUN,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,IND,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,ISL,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,ISR,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,ITA,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,JPN,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,KOR,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,NED,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,NOR,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,NZL,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,PAK,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,SGP,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,SUI,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,SWE,Sailing,0,0,0,2,2
1988,Sailing Men's Two Person Dinghy,URS,Sailing,0,2,0,0,2
1988,Sailing Men's Two Person Dinghy,USA,Sailing,0,0,2,0,2
1992,Sailing Men's Two Person Dinghy,AND,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,ANG,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,ARG,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,AUT,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,BEL,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,BER,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,BRA,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,CAN,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,CYP,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,DEN,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,ESP,Sailing,2,0,0,0,2
1992,Sailing Men's Two Person Dinghy,EST,Sailing,0,0,2,0,2
1992,Sailing Men's Two Person Dinghy,EUN,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,FIN,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,FRA,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,GBR,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,GER,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,GRE,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,HUN,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,IND,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,ISR,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,ITA,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,JAM,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,JPN,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,KOR,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,LTU,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,NED,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,NOR,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,NZL,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,PAK,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,POL,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,POR,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,RSA,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,SGP,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,SUI,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,SWE,Sailing,0,0,0,2,2
1992,Sailing Men's Two Person Dinghy,USA,Sailing,0,2,0,0,2
1996,Sailing Men's Two Person Dinghy,AND,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,ARG,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,AUS,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,BRA,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,CAN,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,CRO,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,CUB,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,CYP,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,ESP,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,EST,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,FIN,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,FRA,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,GBR,Sailing,0,2,0,0,2
1996,Sailing Men's Two Person Dinghy,GER,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,GRE,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,HKG,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,HUN,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,ISR,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,ITA,Sailing,0,0,0,2,2
1996,Sailing Men's Two Person Dinghy,JAM,Sailing,0,0,0,2,2
