Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1952,Sailing Mixed 5.5 metres,ARG,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,BAH,Sailing,0,0,0,4,4
1952,Sailing Mixed 5.5 metres,DEN,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,FIN,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,FRA,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,GBR,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,GER,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,ITA,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,NED,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,NOR,Sailing,0,3,0,0,3
1952,Sailing Mixed 5.5 metres,POR,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,RSA,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,SUI,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,SWE,Sailing,0,0,3,0,3
1952,Sailing Mixed 5.5 metres,URS,Sailing,0,0,0,3,3
1952,Sailing Mixed 5.5 metres,USA,Sailing,4,0,0,0,4
1956,Sailing Mixed 5.5 metres,AUS,Sailing,0,0,3,0,3
1956,Sailing Mixed 5.5 metres,FRA,Sailing,0,0,0,3,3
1956,Sailing Mixed 5.5 metres,GBR,Sailing,0,4,0,0,4
1956,Sailing Mixed 5.5 metres,GER,Sailing,0,0,0,3,3
1956,Sailing Mixed 5.5 metres,ITA,Sailing,0,0,0,4,4
1956,Sailing Mixed 5.5 metres,NOR,Sailing,0,0,0,3,3
1956,Sailing Mixed 5.5 metres,RSA,Sailing,0,0,0,3,3
1956,Sailing Mixed 5.5 metres,SWE,Sailing,3,0,0,0,3
1956,Sailing Mixed 5.5 metres,URS,Sailing,0,0,0,3,3
1956,Sailing Mixed 5.5 metres,USA,Sailing,0,0,0,4,4
1960,Sailing Mixed 5.5 metres,ARG,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,AUS,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,AUT,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,BAH,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,BER,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,CAN,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,DEN,Sailing,0,3,0,0,3
1960,Sailing Mixed 5.5 metres,ESP,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,FIN,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,FRA,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,GBR,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,GER,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,ITA,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,NOR,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,POR,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,SUI,Sailing,0,0,3,0,3
1960,Sailing Mixed 5.5 metres,SWE,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,URS,Sailing,0,0,0,3,3
1960,Sailing Mixed 5.5 metres,USA,Sailing,3,0,0,0,3
1964,Sailing Mixed 5.5 metres,AUS,Sailing,3,0,0,0,3
1964,Sailing Mixed 5.5 metres,BAH,Sailing,0,0,0,3,3
1964,Sailing Mixed 5.5 metres,CAN,Sailing,0,0,0,3,3
1964,Sailing Mixed 5.5 metres,DEN,Sailing,0,0,0,3,3
1964,Sailing Mixed 5.5 metres,FIN,Sailing,0,0,0,3,3
1964,Sailing Mixed 5.5 metres,GBR,Sailing,0,0,0,3,3
1964,Sailing Mixed 5.5 metres,GER,Sailing,0,0,0,4,4
1964,Sailing Mixed 5.5 metres,ITA,Sailing,0,0,0,3,3
1964,Sailing Mixed 5.5 metres,JPN,Sailing,0,0,0,3,3
1964,Sailing Mixed 5.5 metres,MEX,Sailing,0,0,0,3,3
1964,Sailing Mixed 5.5 metres,NOR,Sailing,0,0,0,3,3
1964,Sailing Mixed 5.5 metres,SUI,Sailing,0,0,0,3,3
