Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1908,Sailing Mixed 6 metres,BEL,Sailing,0,3,0,0,3
1908,Sailing Mixed 6 metres,FRA,Sailing,0,0,3,0,3
1908,Sailing Mixed 6 metres,GBR,Sailing,3,0,0,3,6
1908,Sailing Mixed 6 metres,SWE,Sailing,0,0,0,3,3
1912,Sailing Mixed 6 metres,DEN,Sailing,0,3,0,0,3
1912,Sailing Mixed 6 metres,FIN,Sailing,0,0,0,3,3
1912,Sailing Mixed 6 metres,FRA,Sailing,3,0,0,0,3
1912,Sailing Mixed 6 metres,NOR,Sailing,0,0,0,3,3
1912,Sailing Mixed 6 metres,SWE,Sailing,0,0,3,3,6
1920,Sailing Mixed 6 metres,BEL,Sailing,3,3,0,3,9
1920,Sailing Mixed 6 metres,NOR,Sailing,3,3,3,0,9
1924,Sailing Mixed 6 metres,BEL,Sailing,0,0,0,3,3
1924,Sailing Mixed 6 metres,CUB,Sailing,0,0,0,3,3
1924,Sailing Mixed 6 metres,DEN,Sailing,0,3,0,0,3
1924,Sailing Mixed 6 metres,ESP,Sailing,0,0,0,3,3
1924,Sailing Mixed 6 metres,FRA,Sailing,0,0,0,3,3
1924,Sailing Mixed 6 metres,ITA,Sailing,0,0,0,3,3
1924,Sailing Mixed 6 metres,NED,Sailing,0,0,3,0,3
1924,Sailing Mixed 6 metres,NOR,Sailing,3,0,0,0,3
1924,Sailing Mixed 6 metres,SWE,Sailing,0,0,0,3,3
1928,Sailing Mixed 6 metres,BEL,Sailing,0,0,0,5,5
1928,Sailing Mixed 6 metres,DEN,Sailing,0,4,0,0,4
1928,Sailing Mixed 6 metres,ESP,Sailing,0,0,0,5,5
1928,Sailing Mixed 6 metres,EST,Sailing,0,0,5,0,5
1928,Sailing Mixed 6 metres,FRA,Sailing,0,0,0,5,5
1928,Sailing Mixed 6 metres,GER,Sailing,0,0,0,5,5
1928,Sailing Mixed 6 metres,HUN,Sailing,0,0,0,5,5
1928,Sailing Mixed 6 metres,ITA,Sailing,0,0,0,5,5
1928,Sailing Mixed 6 metres,NED,Sailing,0,0,0,5,5
1928,Sailing Mixed 6 metres,NOR,Sailing,4,0,0,0,4
1928,Sailing Mixed 6 metres,POR,Sailing,0,0,0,4,4
1928,Sailing Mixed 6 metres,SWE,Sailing,0,0,0,4,4
1928,Sailing Mixed 6 metres,USA,Sailing,0,0,0,5,5
1932,Sailing Mixed 6 metres,CAN,Sailing,0,0,4,0,4
1932,Sailing Mixed 6 metres,SWE,Sailing,4,0,0,0,4
1932,Sailing Mixed 6 metres,USA,Sailing,0,5,0,0,5
1936,Sailing Mixed 6 metres,ARG,Sailing,0,0,0,5,5
1936,Sailing Mixed 6 metres,FIN,Sailing,0,0,0,5,5
1936,Sailing Mixed 6 metres,FRA,Sailing,0,0,0,5,5
1936,Sailing Mixed 6 metres,GBR,Sailing,5,0,0,0,5
1936,Sailing Mixed 6 metres,GER,Sailing,0,0,0,5,5
1936,Sailing Mixed 6 metres,ITA,Sailing,0,0,0,5,5
1936,Sailing Mixed 6 metres,NED,Sailing,0,0,0,5,5
1936,Sailing Mixed 6 metres,NOR,Sailing,0,5,0,0,5
1936,Sailing Mixed 6 metres,POL,Sailing,0,0,0,5,5
1936,Sailing Mixed 6 metres,SUI,Sailing,0,0,0,5,5
1936,Sailing Mixed 6 metres,SWE,Sailing,0,0,5,0,5
1936,Sailing Mixed 6 metres,USA,Sailing,0,0,0,5,5
1948,Sailing Mixed 6 metres,ARG,Sailing,0,5,0,0,5
1948,Sailing Mixed 6 metres,BEL,Sailing,0,0,0,5,5
1948,Sailing Mixed 6 metres,DEN,Sailing,0,0,0,5,5
1948,Sailing Mixed 6 metres,FIN,Sailing,0,0,0,6,6
1948,Sailing Mixed 6 metres,FRA,Sailing,0,0,0,5,5
1948,Sailing Mixed 6 metres,GBR,Sailing,0,0,0,4,4
1948,Sailing Mixed 6 metres,ITA,Sailing,0,0,0,7,7
1948,Sailing Mixed 6 metres,NOR,Sailing,0,0,0,5,5
1948,Sailing Mixed 6 metres,SUI,Sailing,0,0,0,6,6
1948,Sailing Mixed 6 metres,SWE,Sailing,0,0,5,0,5
1948,Sailing Mixed 6 metres,USA,Sailing,5,0,0,0,5
1952,Sailing Mixed 6 metres,ARG,Sailing,0,0,0,5,5
1952,Sailing Mixed 6 metres,CAN,Sailing,0,0,0,5,5
1952,Sailing Mixed 6 metres,FIN,Sailing,0,0,5,0,5
1952,Sailing Mixed 6 metres,GBR,Sailing,0,0,0,5,5
1952,Sailing Mixed 6 metres,GER,Sailing,0,0,0,5,5
1952,Sailing Mixed 6 metres,ITA,Sailing,0,0,0,5,5
1952,Sailing Mixed 6 metres,NOR,Sailing,0,5,0,0,5
1952,Sailing Mixed 6 metres,SUI,Sailing,0,0,0,5,5
1952,Sailing Mixed 6 metres,SWE,Sailing,0,0,0,5,5
1952,Sailing Mixed 6 metres,URS,Sailing,0,0,0,5,5
1952,Sailing Mixed 6 metres,USA,Sailing,6,0,0,0,6
