Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1948,Sailing Mixed Three Person Keelboat,ARG,Sailing,0,0,0,3,3
1948,Sailing Mixed Three Person Keelboat,BEL,Sailing,0,0,0,6,6
1948,Sailing Mixed Three Person Keelboat,DEN,Sailing,0,0,3,0,3
1948,Sailing Mixed Three Person Keelboat,FIN,Sailing,0,0,0,3,3
1948,Sailing Mixed Three Person Keelboat,FRA,Sailing,0,0,0,3,3
1948,Sailing Mixed Three Person Keelboat,GBR,Sailing,0,0,0,3,3
1948,Sailing Mixed Three Person Keelboat,ITA,Sailing,0,0,0,3,3
1948,Sailing Mixed Three Person Keelboat,NED,Sailing,0,0,0,3,3
1948,Sailing Mixed Three Person Keelboat,NOR,Sailing,3,0,0,0,3
1948,Sailing Mixed Three Person Keelboat,POR,Sailing,0,0,0,4,4
1948,Sailing Mixed Three Person Keelboat,SWE,Sailing,0,3,0,0,3
1948,Sailing Mixed Three Person Keelboat,USA,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,ARG,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,AUS,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,BEL,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,BRA,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,CAN,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,DEN,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,FIN,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,FRA,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,GBR,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,GER,Sailing,0,0,3,0,3
1952,Sailing Mixed Three Person Keelboat,ITA,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,NED,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,NOR,Sailing,3,0,0,0,3
1952,Sailing Mixed Three Person Keelboat,POR,Sailing,0,0,0,3,3
1952,Sailing Mixed Three Person Keelboat,SWE,Sailing,0,3,0,0,3
