Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1932,Sailing Mixed Two Person Keelboat,CAN,Sailing,0,0,0,2,2
1932,Sailing Mixed Two Person Keelboat,FRA,Sailing,0,0,0,2,2
1932,Sailing Mixed Two Person Keelboat,GBR,Sailing,0,2,0,0,2
1932,Sailing Mixed Two Person Keelboat,NED,Sailing,0,0,0,2,2
1932,Sailing Mixed Two Person Keelboat,RSA,Sailing,0,0,0,2,2
1932,Sailing Mixed Two Person Keelboat,SWE,Sailing,0,0,2,0,2
1932,Sailing Mixed Two Person Keelboat,USA,Sailing,2,0,0,0,2
1936,Sailing Mixed Two Person Keelboat,BEL,Sailing,0,0,0,2,2
1936,Sailing Mixed Two Person Keelboat,FRA,Sailing,0,0,0,2,2
1936,Sailing Mixed Two Person Keelboat,GBR,Sailing,0,0,0,2,2
1936,Sailing Mixed Two Person Keelboat,GER,Sailing,2,0,0,0,2
1936,Sailing Mixed Two Person Keelboat,ITA,Sailing,0,0,0,2,2
1936,Sailing Mixed Two Person Keelboat,JPN,Sailing,0,0,0,2,2
1936,Sailing Mixed Two Person Keelboat,NED,Sailing,0,0,2,0,2
1936,Sailing Mixed Two Person Keelboat,NOR,Sailing,0,0,0,2,2
1936,Sailing Mixed Two Person Keelboat,POR,Sailing,0,0,0,2,2
1936,Sailing Mixed Two Person Keelboat,SWE,Sailing,0,2,0,0,2
1936,Sailing Mixed Two Person Keelboat,TUR,Sailing,0,0,0,2,2
1936,Sailing Mixed Two Person Keelboat,USA,Sailing,0,0,0,2,2
1948,Sailing Mixed Two Person Keelboat,ARG,Sailing,0,0,0,4,4
1948,Sailing Mixed Two Person Keelboat,AUS,Sailing,0,0,0,2,2
1948,Sailing Mixed Two Person Keelboat,AUT,Sailing,0,0,0,3,3
1948,Sailing Mixed Two Person Keelboat,BRA,Sailing,0,0,0,4,4
1948,Sailing Mixed Two Person Keelboat,CAN,Sailing,0,0,0,4,4
1948,Sailing Mixed Two Person Keelboat,CUB,Sailing,0,2,0,0,2
1948,Sailing Mixed Two Person Keelboat,DEN,Sailing,0,0,0,2,2
1948,Sailing Mixed Two Person Keelboat,ESP,Sailing,0,0,0,3,3
1948,Sailing Mixed Two Person Keelboat,FIN,Sailing,0,0,0,2,2
1948,Sailing Mixed Two Person Keelboat,FRA,Sailing,0,0,0,4,4
1948,Sailing Mixed Two Person Keelboat,GBR,Sailing,2,0,0,2,4
1948,Sailing Mixed Two Person Keelboat,GRE,Sailing,0,0,0,4,4
1948,Sailing Mixed Two Person Keelboat,IRL,Sailing,0,0,0,2,2
1948,Sailing Mixed Two Person Keelboat,ITA,Sailing,0,0,0,4,4
1948,Sailing Mixed Two Person Keelboat,NED,Sailing,0,0,2,2,4
1948,Sailing Mixed Two Person Keelboat,NOR,Sailing,0,0,0,2,2
1948,Sailing Mixed Two Person Keelboat,POR,Sailing,0,2,0,2,4
1948,Sailing Mixed Two Person Keelboat,SUI,Sailing,0,0,0,2,2
1948,Sailing Mixed Two Person Keelboat,SWE,Sailing,0,0,0,4,4
1948,Sailing Mixed Two Person Keelboat,URU,Sailing,0,0,0,2,2
1948,Sailing Mixed Two Person Keelboat,USA,Sailing,2,0,2,0,4
1952,Sailing Mixed Two Person Keelboat,ARG,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,AUS,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,AUT,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,BAH,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,BRA,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,CAN,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,CUB,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,FIN,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,FRA,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,GBR,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,GER,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,GRE,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,ITA,Sailing,2,0,0,0,2
1952,Sailing Mixed Two Person Keelboat,MON,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,NED,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,POR,Sailing,0,0,2,0,2
1952,Sailing Mixed Two Person Keelboat,SUI,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,SWE,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,URS,Sailing,0,0,0,2,2
1952,Sailing Mixed Two Person Keelboat,USA,Sailing,0,2,0,0,2
1952,Sailing Mixed Two Person Keelboat,YUG,Sailing,0,0,0,2,2
1956,Sailing Mixed Two Person Keelboat,ARG,Sailing,0,0,0,2,2
1956,Sailing Mixed Two Person Keelboat,AUS,Sailing,0,0,0,2,2
1956,Sailing Mixed Two Person Keelboat,BAH,Sailing,0,0,2,0,2
1956,Sailing Mixed Two Person Keelboat,CAN,Sailing,0,0,0,2,2
1956,Sailing Mixed Two Person Keelboat,CUB,Sailing,0,0,0,2,2
1956,Sailing Mixed Two Person Keelboat,FRA,Sailing,0,0,0,2,2
1956,Sailing Mixed Two Person Keelboat,GBR,Sailing,0,0,0,2,2
1956,Sailing Mixed Two Person Keelboat,ITA,Sailing,0,2,0,0,2
1956,Sailing Mixed Two Person Keelboat,POR,Sailing,0,0,0,2,2
1956,Sailing Mixed Two Person Keelboat,THA,Sailing,0,0,0,2,2
1956,Sailing Mixed Two Person Keelboat,URS,Sailing,0,0,0,2,2
1956,Sailing Mixed Two Person Keelboat,USA,Sailing,2,0,0,0,2
1960,Sailing Mixed Two Person Keelboat,ARG,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,AUS,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,AUT,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,BAH,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,BRA,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,CAN,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,CUB,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,ESP,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,FIN,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,FRA,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,GBR,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,GER,Sailing,0,0,0,3,3
1960,Sailing Mixed Two Person Keelboat,GRE,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,HUN,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,ITA,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,JPN,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,MEX,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,MLT,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,POR,Sailing,0,2,0,0,2
1960,Sailing Mixed Two Person Keelboat,SUI,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,SWE,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,THA,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,URS,Sailing,2,0,0,0,2
1960,Sailing Mixed Two Person Keelboat,USA,Sailing,0,0,2,0,2
1960,Sailing Mixed Two Person Keelboat,VEN,Sailing,0,0,0,2,2
1960,Sailing Mixed Two Person Keelboat,YUG,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,ARG,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,AUS,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,BAH,Sailing,2,0,0,0,2
1964,Sailing Mixed Two Person Keelboat,BRA,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,CAM,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,CAN,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,FIN,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,GER,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,ITA,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,JPN,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,MEX,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,POR,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,SUI,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,SWE,Sailing,0,0,2,0,2
1964,Sailing Mixed Two Person Keelboat,URS,Sailing,0,0,0,2,2
1964,Sailing Mixed Two Person Keelboat,USA,Sailing,0,2,0,0,2
1964,Sailing Mixed Two Person Keelboat,VEN,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,ARG,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,AUS,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,BAH,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,BRA,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,CAN,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,DEN,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,ESP,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,FIN,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,FRG,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,GBR,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,GDR,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,HUN,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,ITA,Sailing,0,0,2,0,2
1968,Sailing Mixed Two Person Keelboat,MEX,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,NOR,Sailing,0,2,0,0,2
1968,Sailing Mixed Two Person Keelboat,POR,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,SUI,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,SWE,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,URS,Sailing,0,0,0,2,2
1968,Sailing Mixed Two Person Keelboat,USA,Sailing,2,0,0,0,2
1972,Sailing Mixed Two Person Keelboat,ARG,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,AUS,Sailing,2,0,0,2,4
1972,Sailing Mixed Two Person Keelboat,AUT,Sailing,0,0,0,4,4
1972,Sailing Mixed Two Person Keelboat,BAH,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,BRA,Sailing,0,0,0,4,4
1972,Sailing Mixed Two Person Keelboat,CAN,Sailing,0,0,0,4,4
1972,Sailing Mixed Two Person Keelboat,DEN,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,FRA,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,FRG,Sailing,0,0,2,2,4
1972,Sailing Mixed Two Person Keelboat,GBR,Sailing,0,2,0,2,4
1972,Sailing Mixed Two Person Keelboat,GDR,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,HKG,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,HUN,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,IRL,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,ISV,Sailing,0,0,0,4,4
1972,Sailing Mixed Two Person Keelboat,ITA,Sailing,0,0,0,4,4
1972,Sailing Mixed Two Person Keelboat,NED,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,NOR,Sailing,0,0,0,4,4
1972,Sailing Mixed Two Person Keelboat,POL,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,POR,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,PUR,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,SUI,Sailing,0,0,0,4,4
1972,Sailing Mixed Two Person Keelboat,SWE,Sailing,0,2,0,2,4
1972,Sailing Mixed Two Person Keelboat,THA,Sailing,0,0,0,2,2
1972,Sailing Mixed Two Person Keelboat,URS,Sailing,2,0,0,2,4
1972,Sailing Mixed Two Person Keelboat,USA,Sailing,0,0,2,2,4
1976,Sailing Mixed Two Person Keelboat,AUS,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,AUT,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,CAN,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,DEN,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,ESP,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,FRG,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,GBR,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,IRL,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,ISV,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,ITA,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,NED,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,PHI,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,PUR,Sailing,0,0,0,2,2
1976,Sailing Mixed Two Person Keelboat,SWE,Sailing,2,0,0,0,2
1976,Sailing Mixed Two Person Keelboat,URS,Sailing,0,2,0,0,2
1976,Sailing Mixed Two Person Keelboat,USA,Sailing,0,0,2,0,2
1980,Sailing Mixed Two Person Keelboat,AUT,Sailing,0,2,0,0,2
1980,Sailing Mixed Two Person Keelboat,BRA,Sailing,0,0,0,2,2
1980,Sailing Mixed Two Person Keelboat,DEN,Sailing,0,0,0,2,2
1980,Sailing Mixed Two Person Keelboat,ESP,Sailing,0,0,0,2,2
1980,Sailing Mixed Two Person Keelboat,FIN,Sailing,0,0,0,2,2
1980,Sailing Mixed Two Person Keelboat,GDR,Sailing,0,0,0,3,3
1980,Sailing Mixed Two Person Keelboat,HUN,Sailing,0,0,0,2,2
1980,Sailing Mixed Two Person Keelboat,ITA,Sailing,0,0,2,0,2
1980,Sailing Mixed Two Person Keelboat,NED,Sailing,0,0,0,2,2
1980,Sailing Mixed Two Person Keelboat,POL,Sailing,0,0,0,2,2
1980,Sailing Mixed Two Person Keelboat,SUI,Sailing,0,0,0,3,3
1980,Sailing Mixed Two Person Keelboat,SWE,Sailing,0,0,0,2,2
1980,Sailing Mixed Two Person Keelboat,URS,Sailing,2,0,0,0,2
1984,Sailing Mixed Two Person Keelboat,AUS,Sailing,0,0,0,2,2
1984,Sailing Mixed Two Person Keelboat,AUT,Sailing,0,0,0,2,2
