Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,Women's Skiff - 49er  Team,ARG,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,AUS,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,AUT,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,BEL,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,BRA,Sailing,2,0,0,0,2
2020,Women's Skiff - 49er  Team,CAN,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,CHN,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,DEN,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,ESP,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,FRA,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,GBR,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,GER,Sailing,0,2,0,0,2
2020,Women's Skiff - 49er  Team,JPN,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,NED,Sailing,0,0,2,0,2
2020,Women's Skiff - 49er  Team,NOR,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,NZL,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,PER,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,POL,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,SGP,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,TUN,Sailing,0,0,0,2,2
2020,Women's Skiff - 49er  Team,USA,Sailing,0,0,0,2,2
