Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2024,Women's Skiff,AUS,Sailing,0,0,0,2,2
2024,Women's Skiff,BEL,Sailing,0,0,0,2,2
2024,Women's Skiff,BRA,Sailing,0,0,0,2,2
2024,Women's Skiff,CAN,Sailing,0,0,0,2,2
2024,Women's Skiff,CHN,Sailing,0,0,0,2,2
2024,Women's Skiff,CZE,Sailing,0,0,0,2,2
2024,Women's Skiff,DEN,Sailing,0,0,0,2,2
2024,Women's Skiff,ESP,Sailing,0,0,0,2,2
2024,Women's Skiff,FIN,Sailing,0,0,0,2,2
2024,Women's Skiff,FRA,Sailing,0,0,2,0,2
2024,Women's Skiff,GBR,Sailing,0,0,0,2,2
2024,Women's Skiff,GER,Sailing,0,0,0,2,2
2024,Women's Skiff,ITA,Sailing,0,0,0,2,2
2024,Women's Skiff,JPN,Sailing,0,0,0,2,2
2024,Women's Skiff,NED,Sailing,2,0,0,0,2
2024,Women's Skiff,NOR,Sailing,0,0,0,2,2
2024,Women's Skiff,NZL,Sailing,0,0,0,2,2
2024,Women's Skiff,POL,Sailing,0,0,0,2,2
2024,Women's Skiff,SWE,Sailing,0,2,0,0,2
2024,Women's Skiff,USA,Sailing,0,0,0,2,2
