Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,10m Air Pistol Mixed Team,AUS,Shooting,0,0,0,2,2
2020,10m Air Pistol Mixed Team,CHN,Shooting,2,0,0,2,4
2020,10m Air Pistol Mixed Team,CUB,Shooting,0,0,0,2,2
2020,10m Air Pistol Mixed Team,EGY,Shooting,0,0,0,2,2
2020,10m Air Pistol Mixed Team,GER,Shooting,0,0,0,2,2
2020,10m Air Pistol Mixed Team,IND,Shooting,0,0,0,4,4
2020,10m Air Pistol Mixed Team,IRI,Shooting,0,0,0,2,2
2020,10m Air Pistol Mixed Team,JPN,Shooting,0,0,0,2,2
2020,10m Air Pistol Mixed Team,KOR,Shooting,0,0,0,4,4
2020,10m Air Pistol Mixed Team,MGL,Shooting,0,0,0,2,2
2020,10m Air Pistol Mixed Team,ROC,Shooting,0,2,0,2,4
2020,10m Air Pistol Mixed Team,SRB,Shooting,0,0,0,2,2
2020,10m Air Pistol Mixed Team,TUN,Shooting,0,0,0,2,2
2020,10m Air Pistol Mixed Team,UKR,Shooting,0,0,2,0,2
2020,10m Air Pistol Mixed Team,USA,Shooting,0,0,0,4,4
2024,10m Air Pistol Mixed Team,BUL,Shooting,0,0,0,2,2
2024,10m Air Pistol Mixed Team,CHN,Shooting,0,0,0,4,4
2024,10m Air Pistol Mixed Team,FRA,Shooting,0,0,0,2,2
2024,10m Air Pistol Mixed Team,GER,Shooting,0,0,0,4,4
2024,10m Air Pistol Mixed Team,IND,Shooting,0,0,2,2,4
2024,10m Air Pistol Mixed Team,KAZ,Shooting,0,0,0,2,2
2024,10m Air Pistol Mixed Team,KOR,Shooting,0,0,0,4,4
2024,10m Air Pistol Mixed Team,LAT,Shooting,0,0,0,2,2
2024,10m Air Pistol Mixed Team,PAK,Shooting,0,0,0,2,2
2024,10m Air Pistol Mixed Team,SRB,Shooting,2,0,0,0,2
2024,10m Air Pistol Mixed Team,TUR,Shooting,0,2,0,2,4
2024,10m Air Pistol Mixed Team,UKR,Shooting,0,0,0,2,2
