Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,10m Air Pistol Women,ALB,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,ARM,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,AUS,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,AUT,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,BLR,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,BUL,Shooting,0,1,0,1,2
2020,10m Air Pistol Women,CAN,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,CHN,Shooting,0,0,1,1,2
2020,10m Air Pistol Women,CUB,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,ECU,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,EGY,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,FRA,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,GEO,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,GER,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,GRE,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,HUN,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,IND,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,IRI,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,IRQ,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,JOR,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,JPN,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,KOR,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,LAT,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,MDA,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,MGL,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,MLT,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,MNE,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,POL,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,ROC,Shooting,1,0,0,1,2
2020,10m Air Pistol Women,SRB,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,SUI,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,THA,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,TPE,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,TUN,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,UKR,Shooting,0,0,0,1,1
2020,10m Air Pistol Women,USA,Shooting,0,0,0,2,2
2020,10m Air Pistol Women,YEM,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,ALB,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,ARM,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,AUS,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,AUT,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,BUL,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,CHN,Shooting,0,0,0,2,2
2024,10m Air Pistol Women,CUB,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,ECU,Shooting,0,0,0,2,2
2024,10m Air Pistol Women,EGY,Shooting,0,0,0,2,2
2024,10m Air Pistol Women,FRA,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,GEO,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,GER,Shooting,0,0,0,2,2
2024,10m Air Pistol Women,GRE,Shooting,0,0,0,2,2
2024,10m Air Pistol Women,HUN,Shooting,0,0,0,2,2
2024,10m Air Pistol Women,IND,Shooting,0,0,1,1,2
2024,10m Air Pistol Women,IRI,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,KAZ,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,KOR,Shooting,1,1,0,0,2
2024,10m Air Pistol Women,LAT,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,MDA,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,MEX,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,PAK,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,POL,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,SGP,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,SRB,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,THA,Shooting,0,0,0,2,2
2024,10m Air Pistol Women,TPE,Shooting,0,0,0,2,2
2024,10m Air Pistol Women,TUN,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,TUR,Shooting,0,0,0,2,2
2024,10m Air Pistol Women,UKR,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,USA,Shooting,0,0,0,2,2
2024,10m Air Pistol Women,VIE,Shooting,0,0,0,1,1
2024,10m Air Pistol Women,YEM,Shooting,0,0,0,1,1
