Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
2020,10m Air Rifle Women,ALG,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,ARG,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,AUS,Shooting,0,0,0,2,2
2020,10m Air Rifle Women,BEL,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,BHU,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,BIH,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,BLR,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,CHN,Shooting,1,0,0,1,2
2020,10m Air Rifle Women,CRO,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,CUB,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,CZE,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,DEN,Shooting,0,0,0,2,2
2020,10m Air Rifle Women,EGY,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,EOR,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,FRA,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,GBR,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,GER,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,HUN,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,INA,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,IND,Shooting,0,0,0,2,2
2020,10m Air Rifle Women,IRI,Shooting,0,0,0,2,2
2020,10m Air Rifle Women,ITA,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,JPN,Shooting,0,0,0,2,2
2020,10m Air Rifle Women,KGZ,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,KOR,Shooting,0,0,0,2,2
2020,10m Air Rifle Women,MGL,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,NEP,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,NOR,Shooting,0,0,0,2,2
2020,10m Air Rifle Women,POL,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,ROC,Shooting,0,1,0,1,2
2020,10m Air Rifle Women,ROU,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,SGP,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,SLO,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,SRB,Shooting,0,0,0,2,2
2020,10m Air Rifle Women,SRI,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,SUI,Shooting,0,0,1,0,1
2020,10m Air Rifle Women,TPE,Shooting,0,0,0,1,1
2020,10m Air Rifle Women,USA,Shooting,0,0,0,2,2
2020,10m Air Rifle Women,UZB,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,ALG,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,ARG,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,AUT,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,BRA,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,CHN,Shooting,0,1,0,1,2
2024,10m Air Rifle Women,CUB,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,CZE,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,DEN,Shooting,0,0,0,2,2
2024,10m Air Rifle Women,EGY,Shooting,0,0,0,2,2
2024,10m Air Rifle Women,EOR,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,FRA,Shooting,0,0,0,2,2
2024,10m Air Rifle Women,GBR,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,GER,Shooting,0,0,0,2,2
2024,10m Air Rifle Women,HUN,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,IND,Shooting,0,0,0,2,2
2024,10m Air Rifle Women,IRI,Shooting,0,0,0,2,2
2024,10m Air Rifle Women,ITA,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,JPN,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,KAZ,Shooting,0,0,0,2,2
2024,10m Air Rifle Women,KOR,Shooting,1,0,0,1,2
2024,10m Air Rifle Women,MEX,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,MGL,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,MKD,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,NCA,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,NEP,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,NOR,Shooting,0,0,0,2,2
2024,10m Air Rifle Women,POL,Shooting,0,0,0,2,2
2024,10m Air Rifle Women,PUR,Shooting,0,0,0,1,1
2024,10m Air Rifle Women,SUI,Shooting,0,0,1,1,2
2024,10m Air Rifle Women,USA,Shooting,0,0,0,2,2
2024,10m Air Rifle Women,VIE,Shooting,0,0,0,1,1
