Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1984,"Shooting Men's Air Rifle, 10 metres",ARG,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",AUT,Shooting,0,1,0,1,2
1984,"Shooting Men's Air Rifle, 10 metres",BEL,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",BRA,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",CAN,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",CHN,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",COL,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",CRC,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",DEN,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",ECU,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",EGY,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",ESP,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",FIN,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",FRA,Shooting,1,0,0,1,2
1984,"Shooting Men's Air Rifle, 10 metres",FRG,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",GBR,Shooting,0,0,1,1,2
1984,"Shooting Men's Air Rifle, 10 metres",GRE,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",IND,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",ISR,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",JPN,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",KOR,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",KSA,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",MEX,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",NED,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",NOR,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",OMA,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",PER,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",ROU,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",SMR,Shooting,0,0,0,1,1
1984,"Shooting Men's Air Rifle, 10 metres",SUI,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",SWE,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",THA,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",USA,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",YUG,Shooting,0,0,0,2,2
1984,"Shooting Men's Air Rifle, 10 metres",ZIM,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",AUS,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",AUT,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",BEL,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",BUL,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",CAN,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",CHN,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",DEN,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",ECU,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",ESP,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",FIN,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",FRA,Shooting,0,1,0,1,2
1988,"Shooting Men's Air Rifle, 10 metres",FRG,Shooting,0,0,1,1,2
1988,"Shooting Men's Air Rifle, 10 metres",GDR,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",HUN,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",ISR,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",JPN,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",KOR,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",LIE,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",LUX,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",NED,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",NOR,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",OMA,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",SRI,Shooting,0,0,0,1,1
1988,"Shooting Men's Air Rifle, 10 metres",SUI,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",SWE,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",TCH,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",URS,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",USA,Shooting,0,0,0,2,2
1988,"Shooting Men's Air Rifle, 10 metres",YUG,Shooting,1,0,0,1,2
1992,"Shooting Men's Air Rifle, 10 metres",ARG,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",AUT,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",BUL,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",CAN,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",CHN,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",ECU,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",ESP,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",EUN,Shooting,1,0,0,1,2
1992,"Shooting Men's Air Rifle, 10 metres",FIN,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",FRA,Shooting,0,1,0,1,2
1992,"Shooting Men's Air Rifle, 10 metres",GBR,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",GER,Shooting,0,0,1,1,2
1992,"Shooting Men's Air Rifle, 10 metres",HUN,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",IOA,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",JPN,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",KOR,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",LIE,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",LUX,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",NED,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",NOR,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",PHI,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",POL,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",SLO,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",SMR,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",SUI,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",TCH,Shooting,0,0,0,2,2
1992,"Shooting Men's Air Rifle, 10 metres",THA,Shooting,0,0,0,1,1
1992,"Shooting Men's Air Rifle, 10 metres",USA,Shooting,0,0,0,2,2
1996,"Shooting Men's Air Rifle, 10 metres",ARG,Shooting,0,0,0,2,2
1996,"Shooting Men's Air Rifle, 10 metres",AUT,Shooting,0,1,0,1,2
1996,"Shooting Men's Air Rifle, 10 metres",BAN,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",BIH,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",BLR,Shooting,0,0,0,2,2
1996,"Shooting Men's Air Rifle, 10 metres",CAN,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",CHN,Shooting,0,0,0,2,2
1996,"Shooting Men's Air Rifle, 10 metres",CZE,Shooting,0,0,0,2,2
1996,"Shooting Men's Air Rifle, 10 metres",ESP,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",FIN,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",FRA,Shooting,0,0,1,1,2
1996,"Shooting Men's Air Rifle, 10 metres",GER,Shooting,0,0,0,2,2
1996,"Shooting Men's Air Rifle, 10 metres",HUN,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",ISR,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",JPN,Shooting,0,0,0,2,2
1996,"Shooting Men's Air Rifle, 10 metres",KAZ,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",KGZ,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",KOR,Shooting,0,0,0,2,2
1996,"Shooting Men's Air Rifle, 10 metres",MKD,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",NCA,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",NOR,Shooting,0,0,0,2,2
1996,"Shooting Men's Air Rifle, 10 metres",OMA,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",POL,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",RUS,Shooting,1,0,0,1,2
1996,"Shooting Men's Air Rifle, 10 metres",SCG,Shooting,0,0,0,2,2
1996,"Shooting Men's Air Rifle, 10 metres",SLO,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",SUI,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",SVK,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",UAE,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",UKR,Shooting,0,0,0,1,1
1996,"Shooting Men's Air Rifle, 10 metres",USA,Shooting,0,0,0,2,2
2000,"Shooting Men's Air Rifle, 10 metres",ARG,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",AUS,Shooting,0,0,0,2,2
2000,"Shooting Men's Air Rifle, 10 metres",AUT,Shooting,0,0,0,3,3
2000,"Shooting Men's Air Rifle, 10 metres",BIH,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",BLR,Shooting,0,0,0,2,2
2000,"Shooting Men's Air Rifle, 10 metres",CAN,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",CHN,Shooting,1,0,0,0,1
2000,"Shooting Men's Air Rifle, 10 metres",CZE,Shooting,0,0,0,2,2
2000,"Shooting Men's Air Rifle, 10 metres",EGY,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",FIN,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",FRA,Shooting,0,0,0,2,2
2000,"Shooting Men's Air Rifle, 10 metres",GER,Shooting,0,0,0,2,2
2000,"Shooting Men's Air Rifle, 10 metres",HUN,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",IND,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",ITA,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",JPN,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",KGZ,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",KOR,Shooting,0,0,0,2,2
2000,"Shooting Men's Air Rifle, 10 metres",LIE,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",MEX,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",NCA,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",NED,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",NOR,Shooting,0,0,0,2,2
2000,"Shooting Men's Air Rifle, 10 metres",OMA,Shooting,0,0,0,1,1
2000,"Shooting Men's Air Rifle, 10 metres",RUS,Shooting,0,1,1,0,2
2000,"Shooting Men's Air Rifle, 10 metres",SCG,Shooting,0,0,0,2,2
