Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1996,Shooting Men's Double Trap,AHO,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,AUS,Shooting,1,0,0,1,2
1996,Shooting Men's Double Trap,BEL,Shooting,0,0,0,2,2
1996,Shooting Men's Double Trap,CAN,Shooting,0,0,0,2,2
1996,Shooting Men's Double Trap,CHN,Shooting,0,0,1,1,2
1996,Shooting Men's Double Trap,CZE,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,FIN,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,FRA,Shooting,0,0,0,2,2
1996,Shooting Men's Double Trap,GBR,Shooting,0,0,0,2,2
1996,Shooting Men's Double Trap,GER,Shooting,0,0,0,2,2
1996,Shooting Men's Double Trap,GRE,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,HUN,Shooting,0,0,0,2,2
1996,Shooting Men's Double Trap,IRL,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,ITA,Shooting,0,1,0,1,2
1996,Shooting Men's Double Trap,KOR,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,KUW,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,LUX,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,MLT,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,PER,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,PHI,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,PUR,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,SVK,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,TPE,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,TUR,Shooting,0,0,0,1,1
1996,Shooting Men's Double Trap,USA,Shooting,0,0,0,2,2
2000,Shooting Men's Double Trap,AHO,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,AUS,Shooting,0,1,0,1,2
2000,Shooting Men's Double Trap,CHN,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,COL,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,CZE,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,EGY,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,ESP,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,FIN,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,FRA,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,GBR,Shooting,1,0,0,0,1
2000,Shooting Men's Double Trap,GER,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,HUN,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,ITA,Shooting,0,0,0,2,2
2000,Shooting Men's Double Trap,KUW,Shooting,0,0,1,1,2
2000,Shooting Men's Double Trap,NZL,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,RUS,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,SWE,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,TUR,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,UAE,Shooting,0,0,0,1,1
2000,Shooting Men's Double Trap,USA,Shooting,0,0,0,3,3
2004,Shooting Men's Double Trap,AUS,Shooting,0,0,0,2,2
2004,Shooting Men's Double Trap,CHN,Shooting,0,0,1,1,2
2004,Shooting Men's Double Trap,FIN,Shooting,0,0,0,1,1
2004,Shooting Men's Double Trap,GBR,Shooting,0,0,0,1,1
2004,Shooting Men's Double Trap,GER,Shooting,0,0,0,1,1
2004,Shooting Men's Double Trap,GRE,Shooting,0,0,0,1,1
2004,Shooting Men's Double Trap,IND,Shooting,0,1,0,0,1
2004,Shooting Men's Double Trap,ITA,Shooting,0,0,0,2,2
2004,Shooting Men's Double Trap,KUW,Shooting,0,0,0,2,2
2004,Shooting Men's Double Trap,MLT,Shooting,0,0,0,1,1
2004,Shooting Men's Double Trap,OMA,Shooting,0,0,0,1,1
2004,Shooting Men's Double Trap,PER,Shooting,0,0,0,1,1
2004,Shooting Men's Double Trap,PUR,Shooting,0,0,0,1,1
2004,Shooting Men's Double Trap,QAT,Shooting,0,0,0,1,1
2004,Shooting Men's Double Trap,RUS,Shooting,0,0,0,2,2
2004,Shooting Men's Double Trap,SWE,Shooting,0,0,0,1,1
2004,Shooting Men's Double Trap,UAE,Shooting,1,0,0,0,1
2004,Shooting Men's Double Trap,USA,Shooting,0,0,0,2,2
2004,Shooting Men's Double Trap,ZIM,Shooting,0,0,0,1,1
2008,Shooting Men's Double Trap,AUS,Shooting,0,0,0,1,1
2008,Shooting Men's Double Trap,CAN,Shooting,0,0,0,1,1
2008,Shooting Men's Double Trap,CHN,Shooting,0,0,1,1,2
2008,Shooting Men's Double Trap,GBR,Shooting,0,0,0,2,2
2008,Shooting Men's Double Trap,HUN,Shooting,0,0,0,1,1
2008,Shooting Men's Double Trap,IND,Shooting,0,0,0,1,1
2008,Shooting Men's Double Trap,ITA,Shooting,0,1,0,1,2
2008,Shooting Men's Double Trap,MLT,Shooting,0,0,0,1,1
2008,Shooting Men's Double Trap,NZL,Shooting,0,0,0,1,1
2008,Shooting Men's Double Trap,PUR,Shooting,0,0,0,1,1
2008,Shooting Men's Double Trap,RUS,Shooting,0,0,0,2,2
2008,Shooting Men's Double Trap,SWE,Shooting,0,0,0,1,1
2008,Shooting Men's Double Trap,UAE,Shooting,0,0,0,1,1
2008,Shooting Men's Double Trap,USA,Shooting,1,0,0,1,2
2012,Shooting Men's Double Trap,AUS,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,BRA,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,CHN,Shooting,0,0,0,2,2
2012,Shooting Men's Double Trap,CRO,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,GBR,Shooting,1,0,0,1,2
2012,Shooting Men's Double Trap,HUN,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,IND,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,ITA,Shooting,0,0,0,2,2
2012,Shooting Men's Double Trap,KUW,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,MLT,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,OMA,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,PUR,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,QAT,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,RSA,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,RUS,Shooting,0,0,1,1,2
2012,Shooting Men's Double Trap,SWE,Shooting,0,1,0,0,1
2012,Shooting Men's Double Trap,UAE,Shooting,0,0,0,1,1
2012,Shooting Men's Double Trap,USA,Shooting,0,0,0,2,2
2016,Shooting Men's Double Trap,AUS,Shooting,0,0,0,1,1
2016,Shooting Men's Double Trap,CHN,Shooting,0,0,0,2,2
2016,Shooting Men's Double Trap,GBR,Shooting,0,0,1,1,2
2016,Shooting Men's Double Trap,GER,Shooting,0,0,0,1,1
2016,Shooting Men's Double Trap,GUA,Shooting,0,0,0,2,2
2016,Shooting Men's Double Trap,IOA,Shooting,1,0,0,1,2
2016,Shooting Men's Double Trap,ITA,Shooting,0,1,0,1,2
2016,Shooting Men's Double Trap,MAR,Shooting,0,0,0,1,1
2016,Shooting Men's Double Trap,MLT,Shooting,0,0,0,1,1
2016,Shooting Men's Double Trap,PAR,Shooting,0,0,0,1,1
2016,Shooting Men's Double Trap,RUS,Shooting,0,0,0,2,2
2016,Shooting Men's Double Trap,SWE,Shooting,0,0,0,1,1
2016,Shooting Men's Double Trap,UAE,Shooting,0,0,0,1,1
2016,Shooting Men's Double Trap,USA,Shooting,0,0,0,2,2
