Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",BEL,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",DEN,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",FIN,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",FRA,Shooting,0,5,0,0,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",GRE,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",HAI,Shooting,0,0,5,0,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",HUN,Shooting,0,0,0,3,3
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",ITA,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",NED,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",NOR,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",POL,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",POR,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",ROU,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",RSA,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",SUI,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",SWE,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",TCH,Shooting,0,0,0,5,5
1924,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",USA,Shooting,5,0,0,0,5
