Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",DEN,Shooting,0,0,0,6,6
1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",FRA,Shooting,0,0,0,6,6
1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",GBR,Shooting,0,6,0,0,6
1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",GRE,Shooting,0,0,0,6,6
1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",HUN,Shooting,0,0,0,6,6
1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",NOR,Shooting,0,0,0,6,6
1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",RSA,Shooting,0,0,0,6,6
1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",RUS,Shooting,0,0,0,6,6
1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",SWE,Shooting,0,0,5,0,5
1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",USA,Shooting,6,0,0,0,6
