Year,Event,NOC,Sport,gold_number,silver_number,bronze_number,no_medal_number,total_number
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",BEL,Shooting,0,0,0,5,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",ESP,Shooting,0,0,0,5,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",FIN,Shooting,0,0,0,5,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",FRA,Shooting,0,0,0,5,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",GRE,Shooting,0,0,0,5,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",ITA,Shooting,0,0,0,5,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",NED,Shooting,0,0,0,5,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",NOR,Shooting,0,5,0,0,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",POR,Shooting,0,0,0,5,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",RSA,Shooting,0,0,0,5,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",SUI,Shooting,0,0,5,0,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",SWE,Shooting,0,0,0,5,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",TCH,Shooting,0,0,0,5,5
1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",USA,Shooting,5,0,0,0,5
